mol_idx,top_score,uq,error,pred_template_orig_freq,tier
36,0.29078013,0.7092199,1,1,1) very rare (1-5)
37,0.015056942,0.98494303,1,1,1) very rare (1-5)
38,0.44654125,0.55345875,1,1,1) very rare (1-5)
39,0.04464518,0.9553548,1,3,1) very rare (1-5)
40,0.048677407,0.9513226,1,4,1) very rare (1-5)
41,0.6512457,0.3487543,0,5,1) very rare (1-5)
42,0.6153473,0.38465267,1,2,1) very rare (1-5)
43,0.21806847,0.7819315,1,1,1) very rare (1-5)
44,0.7728537,0.22714633,1,4,1) very rare (1-5)
45,0.72322786,0.27677214,1,5,1) very rare (1-5)
46,0.051017523,0.9489825,1,1,1) very rare (1-5)
47,0.008535796,0.9914642,1,1,1) very rare (1-5)
48,0.428994,0.571006,1,5,1) very rare (1-5)
49,0.956151,0.04384899,1,1,1) very rare (1-5)
50,0.085610725,0.91438925,1,2,1) very rare (1-5)
51,0.04611209,0.95388794,1,4,1) very rare (1-5)
52,0.057092834,0.94290715,1,3,1) very rare (1-5)
53,0.046275623,0.9537244,1,1,1) very rare (1-5)
54,0.6377804,0.36221957,1,3,1) very rare (1-5)
55,0.17755409,0.8224459,1,2,1) very rare (1-5)
56,0.012150105,0.9878499,1,1,1) very rare (1-5)
57,0.06702422,0.93297577,1,2,1) very rare (1-5)
58,0.62512577,0.37487423,1,2,1) very rare (1-5)
59,0.14443122,0.85556877,1,1,1) very rare (1-5)
60,0.20562172,0.7943783,1,1,1) very rare (1-5)
61,0.74613756,0.25386244,1,5,1) very rare (1-5)
62,0.9259048,0.07409519,0,1,1) very rare (1-5)
63,0.084931105,0.91506886,1,2,1) very rare (1-5)
64,0.044486728,0.9555133,0,1,1) very rare (1-5)
65,0.1918815,0.8081185,1,5,1) very rare (1-5)
66,0.212195,0.787805,1,1,1) very rare (1-5)
67,0.008681972,0.99131805,1,1,1) very rare (1-5)
68,0.29733744,0.7026626,1,1,1) very rare (1-5)
69,0.10264776,0.8973522,1,1,1) very rare (1-5)
70,0.346418,0.653582,1,4,1) very rare (1-5)
71,0.07064978,0.9293502,1,1,1) very rare (1-5)
72,0.3146335,0.6853665,1,5,1) very rare (1-5)
73,0.05034398,0.949656,1,2,1) very rare (1-5)
74,0.18046966,0.81953037,1,3,1) very rare (1-5)
75,0.571743,0.428257,1,2,1) very rare (1-5)
76,0.18673335,0.81326663,1,3,1) very rare (1-5)
77,0.04482918,0.9551708,1,5,1) very rare (1-5)
78,0.13225265,0.86774737,1,1,1) very rare (1-5)
79,0.09904064,0.9009594,1,2,1) very rare (1-5)
80,0.15216367,0.8478363,1,3,1) very rare (1-5)
81,0.08541257,0.91458744,1,2,1) very rare (1-5)
82,0.065124996,0.934875,1,3,1) very rare (1-5)
83,0.31903693,0.68096304,0,5,1) very rare (1-5)
84,0.122414894,0.8775851,1,1,1) very rare (1-5)
85,0.4705456,0.5294544,0,2,1) very rare (1-5)
86,0.06333038,0.9366696,1,3,1) very rare (1-5)
87,0.11851645,0.88148355,1,1,1) very rare (1-5)
88,0.4713994,0.5286006,1,4,1) very rare (1-5)
89,0.060734827,0.9392652,1,5,1) very rare (1-5)
90,0.028316373,0.9716836,1,1,1) very rare (1-5)
91,0.06159201,0.938408,1,1,1) very rare (1-5)
92,0.22931649,0.7706835,1,2,1) very rare (1-5)
93,0.62194055,0.37805945,1,5,1) very rare (1-5)
94,0.95894367,0.041056335,1,2,1) very rare (1-5)
95,0.21575078,0.7842492,1,3,1) very rare (1-5)
96,0.5022852,0.49771482,1,1,1) very rare (1-5)
97,0.23037778,0.7696222,1,3,1) very rare (1-5)
98,0.04532324,0.95467675,1,3,1) very rare (1-5)
99,0.09438147,0.90561855,1,3,1) very rare (1-5)
100,0.57534873,0.42465127,1,4,1) very rare (1-5)
101,0.07719268,0.92280734,1,4,1) very rare (1-5)
102,0.19309519,0.8069048,1,1,1) very rare (1-5)
103,0.029349232,0.9706508,1,1,1) very rare (1-5)
104,0.2320787,0.7679213,1,2,1) very rare (1-5)
105,0.08644248,0.9135575,1,2,1) very rare (1-5)
106,0.05827252,0.94172746,1,4,1) very rare (1-5)
107,0.6231954,0.3768046,1,1,1) very rare (1-5)
108,0.24953891,0.7504611,0,3,1) very rare (1-5)
109,0.09194479,0.9080552,1,1,1) very rare (1-5)
110,0.6867002,0.31329978,1,4,1) very rare (1-5)
111,0.43446884,0.56553113,0,1,1) very rare (1-5)
112,0.48352364,0.5164764,1,5,1) very rare (1-5)
113,0.048378114,0.9516219,1,2,1) very rare (1-5)
114,0.081539124,0.91846085,1,1,1) very rare (1-5)
115,0.08044389,0.91955614,1,2,1) very rare (1-5)
116,0.03942847,0.9605715,1,5,1) very rare (1-5)
117,0.062468514,0.9375315,1,1,1) very rare (1-5)
118,0.032673404,0.9673266,1,3,1) very rare (1-5)
119,0.64619225,0.35380775,1,3,1) very rare (1-5)
120,0.17564616,0.8243538,1,5,1) very rare (1-5)
121,0.20149693,0.79850304,0,2,1) very rare (1-5)
122,0.078716844,0.9212831,1,1,1) very rare (1-5)
123,0.17237751,0.8276225,1,1,1) very rare (1-5)
124,0.26630956,0.73369044,1,2,1) very rare (1-5)
125,0.18084753,0.8191525,1,1,1) very rare (1-5)
126,0.03665075,0.9633492,1,5,1) very rare (1-5)
127,0.9545331,0.0454669,1,4,1) very rare (1-5)
128,0.28429472,0.7157053,1,1,1) very rare (1-5)
129,0.044848885,0.95515114,1,2,1) very rare (1-5)
130,0.037076823,0.96292317,1,1,1) very rare (1-5)
131,0.07392965,0.92607033,1,1,1) very rare (1-5)
132,0.77186817,0.22813183,1,1,1) very rare (1-5)
133,0.01419405,0.9858059,1,1,1) very rare (1-5)
134,0.18152827,0.8184717,1,5,1) very rare (1-5)
135,0.0652165,0.9347835,1,5,1) very rare (1-5)
136,0.22066042,0.77933955,1,2,1) very rare (1-5)
137,0.05745418,0.94254583,1,1,1) very rare (1-5)
138,0.14055339,0.85944664,1,1,1) very rare (1-5)
139,0.019934082,0.98006594,1,5,1) very rare (1-5)
140,0.026858494,0.9731415,1,5,1) very rare (1-5)
141,0.035400696,0.9645993,1,2,1) very rare (1-5)
142,0.37122285,0.62877715,1,2,1) very rare (1-5)
143,0.024523996,0.975476,1,1,1) very rare (1-5)
144,0.5247293,0.4752707,1,4,1) very rare (1-5)
145,0.95206213,0.04793787,1,5,1) very rare (1-5)
146,0.7662671,0.23373288,1,4,1) very rare (1-5)
147,0.07358036,0.9264196,1,1,1) very rare (1-5)
148,0.052233115,0.9477669,1,4,1) very rare (1-5)
149,0.52720207,0.47279793,1,2,1) very rare (1-5)
150,0.03952984,0.96047014,1,1,1) very rare (1-5)
151,0.892666,0.10733402,1,1,1) very rare (1-5)
152,0.1923761,0.80762386,1,4,1) very rare (1-5)
153,0.018111747,0.98188823,1,4,1) very rare (1-5)
154,0.85300136,0.14699864,1,3,1) very rare (1-5)
155,0.7060743,0.2939257,1,5,1) very rare (1-5)
156,0.6158721,0.38412791,1,3,1) very rare (1-5)
157,0.24319729,0.7568027,1,1,1) very rare (1-5)
158,0.2048938,0.7951062,1,1,1) very rare (1-5)
159,0.00974094,0.99025905,1,3,1) very rare (1-5)
160,0.7794391,0.22056091,1,2,1) very rare (1-5)
161,0.012611976,0.987388,1,1,1) very rare (1-5)
162,0.40515828,0.5948417,1,2,1) very rare (1-5)
163,0.08027535,0.91972464,1,1,1) very rare (1-5)
164,0.13569513,0.8643049,1,4,1) very rare (1-5)
165,0.168692,0.831308,1,1,1) very rare (1-5)
166,0.47590095,0.52409905,1,5,1) very rare (1-5)
167,0.06362988,0.93637013,1,3,1) very rare (1-5)
168,0.03281526,0.9671847,1,2,1) very rare (1-5)
169,0.07301311,0.9269869,1,2,1) very rare (1-5)
170,0.12730314,0.8726969,1,1,1) very rare (1-5)
171,0.12166772,0.87833226,1,2,1) very rare (1-5)
172,0.017826773,0.9821732,1,1,1) very rare (1-5)
173,0.6934602,0.30653977,1,2,1) very rare (1-5)
174,0.19754103,0.802459,1,2,1) very rare (1-5)
175,0.09990515,0.90009487,1,1,1) very rare (1-5)
176,0.09566826,0.90433174,1,3,1) very rare (1-5)
177,0.018129267,0.9818707,1,1,1) very rare (1-5)
178,0.06628782,0.9337122,1,1,1) very rare (1-5)
179,0.04674334,0.95325667,1,2,1) very rare (1-5)
180,0.08708214,0.91291785,1,1,1) very rare (1-5)
181,0.5974054,0.40259463,1,5,1) very rare (1-5)
182,0.026564078,0.97343594,1,1,1) very rare (1-5)
183,0.77472544,0.22527456,1,2,1) very rare (1-5)
184,0.39028075,0.6097193,1,2,1) very rare (1-5)
185,0.010030821,0.9899692,1,5,1) very rare (1-5)
186,0.19152763,0.8084724,1,2,1) very rare (1-5)
187,0.39588353,0.60411644,1,1,1) very rare (1-5)
188,0.44063586,0.55936414,1,3,1) very rare (1-5)
189,0.030970054,0.96902996,1,1,1) very rare (1-5)
190,0.06540376,0.93459624,1,5,1) very rare (1-5)
191,0.01606509,0.9839349,1,1,1) very rare (1-5)
192,0.22338752,0.77661246,1,1,1) very rare (1-5)
193,0.04069106,0.9593089,1,1,1) very rare (1-5)
194,0.0738724,0.9261276,1,1,1) very rare (1-5)
195,0.38974753,0.6102525,1,5,1) very rare (1-5)
196,0.039161827,0.9608382,1,1,1) very rare (1-5)
197,0.23097621,0.7690238,1,1,1) very rare (1-5)
198,0.08042035,0.9195796,1,5,1) very rare (1-5)
199,0.19074108,0.80925894,1,1,1) very rare (1-5)
200,0.05417286,0.9458271,1,1,1) very rare (1-5)
201,0.54676956,0.45323044,1,2,1) very rare (1-5)
202,0.17299645,0.82700354,1,1,1) very rare (1-5)
203,0.24352635,0.75647366,1,2,1) very rare (1-5)
204,0.20789659,0.7921034,1,4,1) very rare (1-5)
205,0.023823135,0.97617686,1,3,1) very rare (1-5)
206,0.020444648,0.97955537,1,1,1) very rare (1-5)
207,0.61133695,0.38866305,1,2,1) very rare (1-5)
208,0.40205067,0.5979493,1,1,1) very rare (1-5)
209,0.09869687,0.9013031,1,1,1) very rare (1-5)
210,0.14076093,0.8592391,1,3,1) very rare (1-5)
211,0.09452873,0.90547127,1,1,1) very rare (1-5)
212,0.26617804,0.733822,1,4,1) very rare (1-5)
213,0.06891891,0.93108106,1,1,1) very rare (1-5)
214,0.6649195,0.3350805,1,2,1) very rare (1-5)
215,0.33025655,0.6697434,1,1,1) very rare (1-5)
216,0.13329977,0.86670023,1,1,1) very rare (1-5)
217,0.37491718,0.62508285,1,4,1) very rare (1-5)
218,0.7710594,0.2289406,1,3,1) very rare (1-5)
219,0.3544291,0.6455709,1,4,1) very rare (1-5)
220,0.05669532,0.94330466,1,3,1) very rare (1-5)
221,0.028232882,0.9717671,1,5,1) very rare (1-5)
222,0.18031481,0.8196852,1,4,1) very rare (1-5)
223,0.31329638,0.6867036,1,3,1) very rare (1-5)
224,0.68585056,0.31414944,1,4,1) very rare (1-5)
225,0.22080149,0.7791985,1,1,1) very rare (1-5)
226,0.37732077,0.62267923,1,1,1) very rare (1-5)
227,0.18641144,0.81358856,1,3,1) very rare (1-5)
228,0.119033314,0.88096666,1,4,1) very rare (1-5)
229,0.17795596,0.822044,1,3,1) very rare (1-5)
230,0.039560977,0.960439,1,1,1) very rare (1-5)
231,0.015560915,0.9844391,1,1,1) very rare (1-5)
232,0.18359926,0.81640077,1,2,1) very rare (1-5)
233,0.08060556,0.91939443,1,2,1) very rare (1-5)
234,0.043634605,0.9563654,1,3,1) very rare (1-5)
235,0.1925464,0.80745363,1,2,1) very rare (1-5)
236,0.034108385,0.9658916,1,3,1) very rare (1-5)
237,0.31025264,0.68974733,1,1,1) very rare (1-5)
238,0.019732693,0.9802673,1,2,1) very rare (1-5)
239,0.946117,0.053883016,1,5,1) very rare (1-5)
240,0.03650002,0.96349996,1,4,1) very rare (1-5)
241,0.26360807,0.7363919,1,2,1) very rare (1-5)
242,0.028545033,0.971455,1,1,1) very rare (1-5)
243,0.12930824,0.8706918,1,1,1) very rare (1-5)
244,0.17893596,0.82106405,1,2,1) very rare (1-5)
245,0.732043,0.26795697,1,1,1) very rare (1-5)
246,0.76244724,0.23755276,1,1,1) very rare (1-5)
247,0.04355731,0.9564427,1,5,1) very rare (1-5)
248,0.19863209,0.8013679,1,2,1) very rare (1-5)
249,0.046682615,0.9533174,1,1,1) very rare (1-5)
250,0.33747756,0.66252244,1,1,1) very rare (1-5)
251,0.48951945,0.5104805,1,1,1) very rare (1-5)
252,0.2236122,0.7763878,1,1,1) very rare (1-5)
253,0.04561261,0.95438737,1,4,1) very rare (1-5)
254,0.15524311,0.8447569,1,2,1) very rare (1-5)
255,0.11640164,0.8835983,1,5,1) very rare (1-5)
256,0.6754598,0.3245402,0,2,1) very rare (1-5)
257,0.054267827,0.9457322,1,1,1) very rare (1-5)
258,0.014038094,0.9859619,1,3,1) very rare (1-5)
259,0.20903894,0.790961,1,1,1) very rare (1-5)
260,0.12789053,0.8721095,1,1,1) very rare (1-5)
261,0.075193375,0.9248066,1,1,1) very rare (1-5)
262,0.3870525,0.61294746,1,5,1) very rare (1-5)
263,0.044866733,0.95513326,1,5,1) very rare (1-5)
264,0.24680097,0.75319904,1,2,1) very rare (1-5)
265,0.5014104,0.49858958,1,5,1) very rare (1-5)
266,0.39759883,0.60240114,1,1,1) very rare (1-5)
267,0.31312123,0.6868788,1,2,1) very rare (1-5)
268,0.5333708,0.4666292,1,2,1) very rare (1-5)
269,0.044317994,0.955682,1,2,1) very rare (1-5)
270,0.2020997,0.7979003,1,4,1) very rare (1-5)
271,0.09070362,0.9092964,1,1,1) very rare (1-5)
272,0.13422513,0.86577487,1,3,1) very rare (1-5)
273,0.09508527,0.90491474,1,1,1) very rare (1-5)
274,0.41349685,0.58650315,1,1,1) very rare (1-5)
275,0.21851957,0.78148043,1,1,1) very rare (1-5)
276,0.1850144,0.81498563,1,2,1) very rare (1-5)
277,0.01134242,0.9886576,1,1,1) very rare (1-5)
278,0.16681424,0.8331858,1,1,1) very rare (1-5)
279,0.13664073,0.8633593,1,3,1) very rare (1-5)
280,0.046269376,0.95373064,1,2,1) very rare (1-5)
281,0.15736853,0.84263146,1,1,1) very rare (1-5)
282,0.35128158,0.6487184,1,3,1) very rare (1-5)
283,0.21605039,0.7839496,1,2,1) very rare (1-5)
284,0.05367204,0.946328,1,1,1) very rare (1-5)
285,0.13952619,0.8604738,1,3,1) very rare (1-5)
286,0.0838209,0.9161791,1,3,1) very rare (1-5)
287,0.10453496,0.895465,1,2,1) very rare (1-5)
288,0.20412481,0.7958752,1,3,1) very rare (1-5)
289,0.68127245,0.31872755,1,5,1) very rare (1-5)
290,0.037025798,0.9629742,1,1,1) very rare (1-5)
291,0.23897913,0.7610209,1,5,1) very rare (1-5)
292,0.11688265,0.8831173,1,4,1) very rare (1-5)
293,0.28704897,0.71295106,1,1,1) very rare (1-5)
294,0.05002266,0.94997734,1,5,1) very rare (1-5)
295,0.52037185,0.47962815,1,5,1) very rare (1-5)
296,0.3295821,0.6704179,1,1,1) very rare (1-5)
297,0.53972846,0.46027154,1,2,1) very rare (1-5)
298,0.047008436,0.95299155,1,3,1) very rare (1-5)
299,0.62059766,0.37940234,1,5,1) very rare (1-5)
300,0.05274513,0.9472549,1,5,1) very rare (1-5)
301,0.16594757,0.83405244,1,4,1) very rare (1-5)
302,0.028260414,0.9717396,1,2,1) very rare (1-5)
303,0.65020883,0.34979117,1,1,1) very rare (1-5)
304,0.07888833,0.9211117,1,1,1) very rare (1-5)
305,0.86560255,0.13439745,1,5,1) very rare (1-5)
306,0.41637743,0.5836226,1,2,1) very rare (1-5)
307,0.26089874,0.7391013,1,4,1) very rare (1-5)
308,0.11800385,0.88199615,1,3,1) very rare (1-5)
309,0.92095053,0.07904947,1,1,1) very rare (1-5)
310,0.28038195,0.7196181,1,4,1) very rare (1-5)
311,0.18031813,0.8196819,1,4,1) very rare (1-5)
312,0.8763481,0.12365192,1,3,1) very rare (1-5)
313,0.04731339,0.9526866,1,1,1) very rare (1-5)
314,0.24106392,0.75893605,1,1,1) very rare (1-5)
315,0.057649042,0.942351,1,3,1) very rare (1-5)
316,0.24129108,0.75870895,1,5,1) very rare (1-5)
317,0.107615925,0.89238405,1,1,1) very rare (1-5)
318,0.123874925,0.8761251,1,3,1) very rare (1-5)
319,0.53287005,0.46712995,1,2,1) very rare (1-5)
320,0.09163545,0.90836453,1,1,1) very rare (1-5)
321,0.031060731,0.96893924,1,1,1) very rare (1-5)
322,0.5579082,0.44209182,1,2,1) very rare (1-5)
323,0.0717278,0.9282722,1,1,1) very rare (1-5)
324,0.2893329,0.71066713,0,3,1) very rare (1-5)
325,0.017595489,0.98240453,1,4,1) very rare (1-5)
326,0.071354054,0.92864597,1,1,1) very rare (1-5)
327,0.31135446,0.68864554,1,1,1) very rare (1-5)
328,0.54400074,0.45599926,1,1,1) very rare (1-5)
329,0.26084995,0.73915005,1,1,1) very rare (1-5)
330,0.124628656,0.87537134,1,1,1) very rare (1-5)
331,0.08370213,0.91629785,1,1,1) very rare (1-5)
332,0.060456555,0.9395434,1,1,1) very rare (1-5)
333,0.6904047,0.3095953,1,3,1) very rare (1-5)
334,0.18192822,0.8180718,1,4,1) very rare (1-5)
335,0.38816613,0.6118339,1,1,1) very rare (1-5)
336,0.034975283,0.9650247,1,1,1) very rare (1-5)
337,0.6841534,0.31584662,1,3,1) very rare (1-5)
338,0.044311967,0.95568806,1,1,1) very rare (1-5)
339,0.06846399,0.931536,1,1,1) very rare (1-5)
340,0.6721211,0.3278789,1,2,1) very rare (1-5)
341,0.5715105,0.4284895,1,1,1) very rare (1-5)
342,0.15369815,0.84630185,1,5,1) very rare (1-5)
343,0.010946421,0.9890536,1,1,1) very rare (1-5)
344,0.11753253,0.88246745,1,2,1) very rare (1-5)
345,0.02074876,0.97925127,1,1,1) very rare (1-5)
346,0.29228696,0.707713,0,3,1) very rare (1-5)
347,0.08479429,0.9152057,1,2,1) very rare (1-5)
348,0.046797983,0.953202,1,1,1) very rare (1-5)
349,0.058638964,0.941361,1,4,1) very rare (1-5)
350,0.13754772,0.86245227,1,4,1) very rare (1-5)
351,0.90415204,0.095847964,1,3,1) very rare (1-5)
352,0.11342743,0.8865726,1,1,1) very rare (1-5)
353,0.5568331,0.4431669,1,4,1) very rare (1-5)
354,0.11341442,0.8865856,1,1,1) very rare (1-5)
355,0.05740404,0.94259596,1,2,1) very rare (1-5)
356,0.14670996,0.85329,1,1,1) very rare (1-5)
357,0.022677561,0.97732246,1,1,1) very rare (1-5)
358,0.1907182,0.8092818,1,2,1) very rare (1-5)
359,0.14839514,0.8516049,1,3,1) very rare (1-5)
360,0.11444892,0.8855511,1,1,1) very rare (1-5)
361,0.43139353,0.5686065,1,2,1) very rare (1-5)
362,0.1485722,0.8514278,1,4,1) very rare (1-5)
363,0.011960732,0.98803926,1,1,1) very rare (1-5)
364,0.36613357,0.6338664,1,1,1) very rare (1-5)
365,0.0778883,0.9221117,1,1,1) very rare (1-5)
366,0.030763302,0.9692367,1,1,1) very rare (1-5)
367,0.07391528,0.9260847,1,3,1) very rare (1-5)
368,0.042232845,0.9577671,1,1,1) very rare (1-5)
369,0.35531276,0.64468724,1,4,1) very rare (1-5)
370,0.081908174,0.91809183,1,1,1) very rare (1-5)
371,0.83012706,0.16987294,1,1,1) very rare (1-5)
372,0.112002134,0.88799787,1,1,1) very rare (1-5)
373,0.37027785,0.6297221,1,1,1) very rare (1-5)
374,0.17382331,0.8261767,1,1,1) very rare (1-5)
375,0.17448476,0.8255153,1,3,1) very rare (1-5)
376,0.19021891,0.8097811,1,5,1) very rare (1-5)
377,0.103064544,0.89693546,1,5,1) very rare (1-5)
378,0.08247808,0.9175219,1,1,1) very rare (1-5)
379,0.7019562,0.2980438,1,1,1) very rare (1-5)
380,0.36106417,0.6389358,1,1,1) very rare (1-5)
381,0.18785068,0.8121493,1,1,1) very rare (1-5)
382,0.14425358,0.8557464,1,2,1) very rare (1-5)
383,0.1136578,0.88634217,1,5,1) very rare (1-5)
384,0.15532014,0.84467983,1,3,1) very rare (1-5)
385,0.5287073,0.47129267,1,2,1) very rare (1-5)
386,0.08451391,0.9154861,1,3,1) very rare (1-5)
387,0.7232751,0.27672487,0,1,1) very rare (1-5)
388,0.7250578,0.27494222,1,4,1) very rare (1-5)
389,0.084794596,0.9152054,1,5,1) very rare (1-5)
390,0.051593896,0.9484061,1,1,1) very rare (1-5)
391,0.04608854,0.9539115,1,5,1) very rare (1-5)
392,0.073207684,0.9267923,1,4,1) very rare (1-5)
393,0.098774046,0.9012259,1,2,1) very rare (1-5)
394,0.049300827,0.95069915,1,2,1) very rare (1-5)
395,0.06548845,0.93451154,1,4,1) very rare (1-5)
396,0.038172,0.961828,1,2,1) very rare (1-5)
397,0.06730431,0.9326957,1,1,1) very rare (1-5)
398,0.37727666,0.62272334,1,4,1) very rare (1-5)
399,0.03411449,0.9658855,1,3,1) very rare (1-5)
400,0.30724296,0.692757,1,5,1) very rare (1-5)
401,0.13074853,0.8692515,1,4,1) very rare (1-5)
402,0.25658235,0.7434176,1,1,1) very rare (1-5)
403,0.06164718,0.9383528,1,3,1) very rare (1-5)
404,0.36392382,0.6360762,1,1,1) very rare (1-5)
405,0.085509375,0.91449064,1,1,1) very rare (1-5)
406,0.024713881,0.9752861,1,1,1) very rare (1-5)
407,0.61058325,0.38941675,1,5,1) very rare (1-5)
408,0.0172329,0.9827671,1,1,1) very rare (1-5)
409,0.7011094,0.2988906,1,2,1) very rare (1-5)
410,0.2402973,0.7597027,1,4,1) very rare (1-5)
411,0.07679779,0.9232022,1,1,1) very rare (1-5)
412,0.48868555,0.51131445,1,3,1) very rare (1-5)
413,0.742195,0.257805,1,5,1) very rare (1-5)
414,0.21888185,0.78111815,1,1,1) very rare (1-5)
415,0.09486328,0.9051367,1,1,1) very rare (1-5)
416,0.14980057,0.85019946,1,1,1) very rare (1-5)
417,0.03447726,0.96552277,1,3,1) very rare (1-5)
418,0.108192965,0.891807,1,3,1) very rare (1-5)
419,0.36877277,0.63122725,1,1,1) very rare (1-5)
420,0.7067181,0.2932819,1,4,1) very rare (1-5)
421,0.10203057,0.8979694,1,2,1) very rare (1-5)
422,0.03585357,0.96414644,1,3,1) very rare (1-5)
423,0.024874184,0.9751258,1,1,1) very rare (1-5)
424,0.90887016,0.09112984,1,2,1) very rare (1-5)
425,0.015404749,0.98459524,1,1,1) very rare (1-5)
426,0.046615288,0.9533847,1,1,1) very rare (1-5)
427,0.60102284,0.39897716,1,1,1) very rare (1-5)
428,0.6954639,0.3045361,1,1,1) very rare (1-5)
429,0.21953435,0.78046566,1,1,1) very rare (1-5)
430,0.04528665,0.95471334,1,3,1) very rare (1-5)
431,0.30824018,0.6917598,1,4,1) very rare (1-5)
432,0.07426268,0.9257373,1,2,1) very rare (1-5)
433,0.012831319,0.98716867,1,1,1) very rare (1-5)
434,0.38409045,0.6159096,1,1,1) very rare (1-5)
435,0.16607027,0.8339297,1,1,1) very rare (1-5)
436,0.029321017,0.970679,1,3,1) very rare (1-5)
437,0.15594861,0.84405136,1,1,1) very rare (1-5)
438,0.06831288,0.9316871,1,1,1) very rare (1-5)
439,0.07110901,0.928891,1,1,1) very rare (1-5)
440,0.13826779,0.86173224,1,4,1) very rare (1-5)
441,0.121660225,0.87833977,1,5,1) very rare (1-5)
442,0.032595858,0.9674041,1,5,1) very rare (1-5)
443,0.024482084,0.9755179,1,1,1) very rare (1-5)
444,0.031400044,0.9686,1,1,1) very rare (1-5)
445,0.30956388,0.6904361,1,2,1) very rare (1-5)
446,0.031632878,0.9683671,1,1,1) very rare (1-5)
447,0.020343918,0.9796561,1,2,1) very rare (1-5)
448,0.14238614,0.85761386,1,5,1) very rare (1-5)
449,0.09477167,0.9052283,1,3,1) very rare (1-5)
450,0.029337665,0.97066236,1,1,1) very rare (1-5)
451,0.2188452,0.7811548,1,1,1) very rare (1-5)
452,0.5235097,0.47649032,1,2,1) very rare (1-5)
453,0.49983954,0.50016046,1,3,1) very rare (1-5)
454,0.26592568,0.73407435,1,1,1) very rare (1-5)
455,0.12135357,0.87864643,1,1,1) very rare (1-5)
456,0.51167476,0.48832524,1,2,1) very rare (1-5)
457,0.5657159,0.4342841,1,4,1) very rare (1-5)
458,0.8271979,0.17280209,1,1,1) very rare (1-5)
459,0.13770951,0.8622905,1,2,1) very rare (1-5)
460,0.176238,0.823762,1,1,1) very rare (1-5)
461,0.047209434,0.95279056,1,1,1) very rare (1-5)
462,0.027405893,0.9725941,1,2,1) very rare (1-5)
463,0.80680054,0.19319946,1,3,1) very rare (1-5)
464,0.48546347,0.5145365,1,1,1) very rare (1-5)
465,0.09863878,0.9013612,1,2,1) very rare (1-5)
466,0.6540637,0.3459363,1,1,1) very rare (1-5)
467,0.12767474,0.87232524,1,1,1) very rare (1-5)
468,0.038346596,0.9616534,1,2,1) very rare (1-5)
469,0.02625872,0.9737413,1,3,1) very rare (1-5)
470,0.02806588,0.97193414,1,1,1) very rare (1-5)
471,0.116881855,0.88311815,1,1,1) very rare (1-5)
472,0.27294347,0.7270565,1,1,1) very rare (1-5)
473,0.61567825,0.38432175,1,1,1) very rare (1-5)
474,0.7923338,0.20766622,1,2,1) very rare (1-5)
475,0.011565621,0.9884344,1,3,1) very rare (1-5)
476,0.84163666,0.15836334,1,1,1) very rare (1-5)
477,0.6490972,0.3509028,0,1,1) very rare (1-5)
478,0.14985731,0.8501427,1,1,1) very rare (1-5)
479,0.0754238,0.9245762,1,2,1) very rare (1-5)
480,0.28331876,0.71668124,1,4,1) very rare (1-5)
481,0.45760012,0.5423999,1,1,1) very rare (1-5)
