mol_idx,top_score,error,frequency,tier,ensemble_mean_score,ensemble_std_score
53,0.23937337,1,44,3) common (21-100),0.43317389250000005,0.2048769810385627
54,0.04749669,1,0,1) very rare (1-5),0.11849028724999999,0.016504235150931343
55,0.07933255,1,3,1) very rare (1-5),0.161932981,0.041252038471243126
56,0.670667,1,1,1) very rare (1-5),0.718487595,0.06004961554181071
57,0.549302,0,274,4) very common (100+),0.44011796,0.13120123298062328
58,0.091803044,1,14,2) rare (6-20),0.060757432,0.01363489799254846
59,0.53572506,1,2,1) very rare (1-5),0.6643211575000001,0.07144725560840612
60,0.19073349,0,1,1) very rare (1-5),0.23910490249999997,0.13403610508384006
61,0.4989331,1,2,1) very rare (1-5),0.4551115875,0.054996383499750855
62,0.27494943,1,123,4) very common (100+),0.49535945,0.1170586948639709
63,0.11522462,1,1,1) very rare (1-5),0.09833150499999999,0.011390224274570931
64,0.40966496,1,30,3) common (21-100),0.6987139500000001,0.054777449222490275
65,0.9737526,0,15,2) rare (6-20),0.959516625,0.018047788667503676
66,0.7396236,0,6,2) rare (6-20),0.5323781700000001,0.20714363082672407
67,0.6211312,1,13,2) rare (6-20),0.4499680025,0.13895853096213134
68,0.99485767,0,274,4) very common (100+),0.9935651425,0.0036673057987872786
69,0.07914717,1,0,1) very rare (1-5),0.281618115,0.17405651173749614
70,0.81906164,0,5,1) very rare (1-5),0.4652771825,0.144211576581493
71,0.5726529,0,14,2) rare (6-20),0.30451096,0.07413911087041576
72,0.3386807,1,2,1) very rare (1-5),0.07310817875,0.04237109991157237
73,0.21265222,1,142,4) very common (100+),0.27610734000000003,0.07558397364025095
74,0.08336468,1,0,1) very rare (1-5),0.10815085,0.04273493627380413
75,0.14668241,1,81,3) common (21-100),0.3557694125,0.09918465986956283
76,0.26185814,1,30,3) common (21-100),0.3512939825,0.1393354348297712
77,0.729379,1,4,1) very rare (1-5),0.488820645,0.18906056390505627
78,0.15245931,0,2,1) very rare (1-5),0.1938035675,0.01925305030845162
79,0.7887293,1,1070,4) very common (100+),0.48450776250000005,0.1517999195031915
80,0.77652353,1,1,1) very rare (1-5),0.45409350249999997,0.1168118028438159
81,0.1944133,1,0,1) very rare (1-5),0.1671658415,0.07215556159561873
82,0.050441332,1,3,1) very rare (1-5),0.07211606500000001,0.031054716872063494
83,0.95388305,1,1290,4) very common (100+),0.8625736850000001,0.10092791915892585
84,0.2738026,1,1,1) very rare (1-5),0.11608519250000002,0.042119916062523424
85,0.3743408,1,19,2) rare (6-20),0.6309665025,0.15029342493967798
86,0.5215525,0,75,3) common (21-100),0.3490915725,0.12527394784544377
87,0.008160864,1,24,3) common (21-100),0.014044959499999999,0.0034458597077545467
88,0.16616897,1,0,1) very rare (1-5),0.19165800825,0.14284652310922327
89,0.46877506,0,106,4) very common (100+),0.333277595,0.04954571194549054
90,0.3849216,0,81,3) common (21-100),0.581093885,0.17151937177689194
91,0.43315434,0,2,1) very rare (1-5),0.37275129249999994,0.02471353172660819
92,0.13282748,1,6,2) rare (6-20),0.33626686250000004,0.10632499032097545
93,0.87289214,1,146,4) very common (100+),0.804415605,0.09767783752331785
94,0.93524367,1,3,1) very rare (1-5),0.7130747074999999,0.17987433673940362
95,0.9776298,0,1290,4) very common (100+),0.8096457349999999,0.11040602184610074
96,0.054220762,1,26,3) common (21-100),0.2051515775,0.06358003311705507
97,0.05431574,1,15,2) rare (6-20),0.111568445,0.03431160866702223
98,0.16504002,1,107,4) very common (100+),0.239104315,0.026013316025717954
99,0.8845751,1,1070,4) very common (100+),0.830937925,0.07746649577860658
100,0.46314248,0,96,3) common (21-100),0.40704716750000003,0.14972563739685857
101,0.22691153,1,1,1) very rare (1-5),0.1708246175,0.08600624433429598
102,0.63673836,0,118,4) very common (100+),0.538661155,0.08671712559480868
103,0.49903768,0,0,1) very rare (1-5),0.4146026075,0.03764375689734513
104,0.82458454,1,54,3) common (21-100),0.791447785,0.12282201675459768
105,0.8683401,0,1290,4) very common (100+),0.797417075,0.1198856178485296
106,0.99505436,0,89,3) common (21-100),0.997445275,0.00148576461523182
107,0.08871829,1,20,2) rare (6-20),0.147004615,0.047525887222697114
108,0.95193875,0,66,3) common (21-100),0.769666325,0.10480704982269505
109,0.419331,0,9,2) rare (6-20),0.24141031249999997,0.04439664839595967
110,0.98724,1,89,3) common (21-100),0.9568709875000001,0.02152247141353123
111,0.43140152,1,16,2) rare (6-20),0.30941374749999995,0.05469152085886229
112,0.054315053,1,0,1) very rare (1-5),0.06433589375,0.02276645159969246
113,0.32733148,0,43,3) common (21-100),0.6096431600000001,0.06371926568796758
114,0.10649372,1,111,4) very common (100+),0.20560183999999998,0.07723826290782859
115,0.64153534,0,145,4) very common (100+),0.760919625,0.10301858900835267
116,0.043171614,1,1,1) very rare (1-5),0.02826931,0.008784680027984087
117,0.90706366,0,70,3) common (21-100),0.9059757574999999,0.0535344461424597
118,0.484119,0,94,3) common (21-100),0.60529755,0.19549725102344148
119,0.9494763,0,123,4) very common (100+),0.8284495625,0.09307317592777051
120,0.36781368,0,33,3) common (21-100),0.23700695,0.08048949260390266
121,0.51895314,1,0,1) very rare (1-5),0.63277745,0.053016148332460454
122,0.7841603,1,0,1) very rare (1-5),0.580166055,0.11135228972368763
123,0.95931697,0,700,4) very common (100+),0.9298148749999999,0.02560505121381079
124,0.64597124,1,37,3) common (21-100),0.5347583625000001,0.09798785588285427
125,0.34162998,1,52,3) common (21-100),0.7648715825,0.07186708733374353
126,0.11483392,1,0,1) very rare (1-5),0.25092388400000004,0.18869628594426452
127,0.15395913,1,2,1) very rare (1-5),0.27076542499999995,0.10096709589013281
128,0.12099111,1,0,1) very rare (1-5),0.128008193,0.07459565443979935
129,0.66700846,0,106,4) very common (100+),0.41832673,0.08540158781321605
130,0.94677347,1,11,2) rare (6-20),0.906453175,0.06375986054852754
131,0.36389837,1,2,1) very rare (1-5),0.3781727975,0.1603989553481609
132,0.8271195,0,6,2) rare (6-20),0.8422076000000001,0.06412771921536739
133,0.6485046,0,1,1) very rare (1-5),0.6521836999999999,0.07187550362963589
134,0.9924793,0,274,4) very common (100+),0.9935413525,0.0004211480247713226
135,0.35142222,1,0,1) very rare (1-5),0.15162753750000002,0.029344427270168668
136,0.86020464,0,78,3) common (21-100),0.908210255,0.048331643846959337
137,0.840798,1,0,1) very rare (1-5),0.6535097400000001,0.08958672337381694
138,0.5400175,1,1290,4) very common (100+),0.5971582725,0.10429869378035264
139,0.65892595,1,1070,4) very common (100+),0.5788575825,0.12314700909512506
140,0.9898811,0,343,4) very common (100+),0.9847105525,0.002700564869757585
141,0.98123413,0,74,3) common (21-100),0.8637436249999999,0.08749066615286386
142,0.35236916,0,66,3) common (21-100),0.520305655,0.12462444624711187
143,0.54128873,1,2,1) very rare (1-5),0.32340003750000007,0.11199550192484795
144,0.2930359,1,13,2) rare (6-20),0.29288952,0.052869084970992734
145,0.4104312,0,5,1) very rare (1-5),0.48830888000000006,0.18598045521973056
146,0.50347733,1,166,4) very common (100+),0.4719779,0.07240127356949877
147,0.057620805,1,3,1) very rare (1-5),0.01723916325,0.005116480333392253
148,0.32500726,1,1,1) very rare (1-5),0.1274630225,0.034768620953497975
149,0.4385196,0,33,3) common (21-100),0.49842320000000007,0.12251084819416522
150,0.48008204,0,178,4) very common (100+),0.69200471,0.16289452562179565
151,0.31781477,0,5,1) very rare (1-5),0.42261063,0.025726143035063567
152,0.85941464,0,1290,4) very common (100+),0.587507885,0.17210132407379575
153,0.10976565,0,33,3) common (21-100),0.057340748,0.01726007024104695
154,0.029735401,1,0,1) very rare (1-5),0.06021854124999999,0.029858240480029656
155,0.70750237,0,33,3) common (21-100),0.3469772975,0.04851863645141029
156,0.8754085,0,9,2) rare (6-20),0.9028702500000001,0.06459847370060302
157,0.8663443,1,8,2) rare (6-20),0.875770175,0.0751785678160879
158,0.9638964,0,39,3) common (21-100),0.9234706774999999,0.03128608103929798
159,0.39652374,1,4,1) very rare (1-5),0.3209403725,0.14982110032336354
160,0.23586641,0,10,2) rare (6-20),0.4721166125,0.12924832849656964
161,0.08919836,1,0,1) very rare (1-5),0.11247719449999999,0.08290980052865661
162,0.0798964,1,76,3) common (21-100),0.113976174,0.04207612010935856
163,0.47604942,1,4,1) very rare (1-5),0.34429442,0.026992574763161248
164,0.19346814,1,160,4) very common (100+),0.09035323,0.019944707678161144
165,0.06643282,1,4,1) very rare (1-5),0.08958941150000001,0.03352654865052839
166,0.83937776,1,7,2) rare (6-20),0.8702013675,0.020671273267788035
167,0.22149202,0,4,1) very rare (1-5),0.19584644124999998,0.12345508916733466
168,0.3449928,0,223,4) very common (100+),0.3785524975,0.07373958165687014
169,0.22019367,1,8,2) rare (6-20),0.49203461,0.16077625216181057
170,0.3020221,1,0,1) very rare (1-5),0.292162885,0.1397270281920886
171,0.12644479,1,26,3) common (21-100),0.24700580500000002,0.06425868630616623
172,0.7874531,0,1290,4) very common (100+),0.5901566175,0.08957036184699667
173,0.82438904,0,105,4) very common (100+),0.7604982250000001,0.08154722393307988
174,0.54411346,1,1,1) very rare (1-5),0.3367388925,0.09451437627336473
175,0.2923501,1,2,1) very rare (1-5),0.2821583075,0.10558862788020104
176,0.5077839,1,15,2) rare (6-20),0.3419845775,0.02923656759621107
177,0.4788423,0,102,4) very common (100+),0.27352632250000003,0.04788849898416862
178,0.8872374,0,1070,4) very common (100+),0.846758135,0.10301627511469086
179,0.91631335,0,15,2) rare (6-20),0.9180934625,0.030157795875141793
180,0.70586,0,1070,4) very common (100+),0.73333276,0.1416665978526858
181,0.5848703,0,79,3) common (21-100),0.51022533,0.10577264935851541
182,0.79186845,1,1070,4) very common (100+),0.7084123149999999,0.03076619287108294
183,0.09220985,1,36,3) common (21-100),0.0673316875,0.020169449142203134
184,0.6587446,0,66,3) common (21-100),0.60082359,0.10910608543550308
185,0.8817082,0,1070,4) very common (100+),0.7548776375,0.1257469174194907
186,0.9989712,0,211,4) very common (100+),0.997730625,0.0005642124926612249
187,0.2828201,1,81,3) common (21-100),0.4476761675,0.041349248045175716
188,0.057560023,1,10,2) rare (6-20),0.125545778,0.08117384860318545
189,0.3449249,1,1,1) very rare (1-5),0.32363617,0.03811468071909629
190,0.8734323,0,1070,4) very common (100+),0.940405325,0.03242061138825309
191,0.08093505,1,2,1) very rare (1-5),0.07965820450000001,0.019057486237242398
192,0.2811334,1,20,2) rare (6-20),0.37199544749999996,0.0494270157092826
193,0.2755914,0,5,1) very rare (1-5),0.2643207025,0.11256792845989647
194,0.40318602,0,4,1) very rare (1-5),0.26867066,0.04713174759639198
195,0.59473777,0,4,1) very rare (1-5),0.7504512225,0.07473553704125646
196,0.69181645,0,6,2) rare (6-20),0.66373854,0.1010096618832763
197,0.5494379,1,45,3) common (21-100),0.749483815,0.14411125751885753
198,0.7540757,1,108,4) very common (100+),0.543906235,0.03482908374344172
199,0.5629197,0,44,3) common (21-100),0.39161510749999995,0.14641518907609608
200,0.8348916,1,30,3) common (21-100),0.611532695,0.1412008251483249
201,0.2382071,1,96,3) common (21-100),0.47475654750000007,0.14324505893299558
202,0.84518915,0,70,3) common (21-100),0.899738495,0.03112334095712292
203,0.41723666,1,0,1) very rare (1-5),0.1953590065,0.08093081258622513
204,0.022716122,1,2,1) very rare (1-5),0.0526660345,0.005484087707820898
205,0.09618426,1,2,1) very rare (1-5),0.2339936225,0.07213959099243161
206,0.59063363,1,372,4) very common (100+),0.36787090250000004,0.18718035555164653
207,0.74909216,1,0,1) very rare (1-5),0.652662305,0.18678976027842192
208,0.1384008,1,11,2) rare (6-20),0.148162035,0.05367946982649721
209,0.28610653,1,0,1) very rare (1-5),0.39239359999999995,0.1863656570868376
210,0.33197823,0,274,4) very common (100+),0.4599020475,0.09181518056273576
211,0.5088654,0,99,3) common (21-100),0.6570207349999999,0.15472115676415646
212,0.4749833,1,5,1) very rare (1-5),0.28645359000000004,0.04083656466458583
213,0.9740001,0,1290,4) very common (100+),0.85097847,0.06819600256039868
214,0.68349636,0,5,1) very rare (1-5),0.6233031925,0.16371322282727097
215,0.1261732,1,1,1) very rare (1-5),0.21362226750000002,0.009271769059301395
216,0.7267579,0,121,4) very common (100+),0.6361544375,0.14402439531911118
217,0.32875648,1,1,1) very rare (1-5),0.593206575,0.12599726638755115
218,0.70877934,0,118,4) very common (100+),0.6586206250000001,0.11309701168818245
219,0.9901708,0,118,4) very common (100+),0.9783909275,0.009317202080065092
220,0.31863317,1,1,1) very rare (1-5),0.3997202325,0.11849010658369401
221,0.63269895,0,6,2) rare (6-20),0.5625906675,0.21187736291570194
222,0.17026137,1,4,1) very rare (1-5),0.3115757425,0.06777356264867532
223,0.4679612,0,4,1) very rare (1-5),0.21853106,0.051075577115709606
224,0.24659385,1,1,1) very rare (1-5),0.16438724,0.050437971954300456
225,0.8590709,0,1290,4) very common (100+),0.776451345,0.08918915250245531
226,0.4098826,1,9,2) rare (6-20),0.44870601,0.15299533748276237
227,0.90697056,0,8,2) rare (6-20),0.6286903175,0.054171786333246555
228,0.6030623,1,9,2) rare (6-20),0.32541566,0.16455017844032485
229,0.82078147,1,237,4) very common (100+),0.5838262475,0.12292822785548636
230,0.8101224,0,261,4) very common (100+),0.6442582625,0.1432989762443864
231,0.26669005,1,3,1) very rare (1-5),0.2251940375,0.058759907003466394
232,0.18271932,1,3,1) very rare (1-5),0.2943401875,0.04789474823710182
233,0.88836616,0,108,4) very common (100+),0.63450285,0.09098466489975275
234,0.71641225,0,118,4) very common (100+),0.5760419674999999,0.08117698510021584
235,0.18043913,1,9,2) rare (6-20),0.18936533449999998,0.19564064112355015
236,0.47529948,1,20,2) rare (6-20),0.2962792725,0.06083699201599277
237,0.3167991,1,22,3) common (21-100),0.44902227749999996,0.13800392058150743
238,0.031634375,1,3,1) very rare (1-5),0.0363530975,0.01343935590087089
239,0.64950615,1,145,4) very common (100+),0.3151327475,0.08720571333746326
240,0.83390903,1,84,3) common (21-100),0.9167814000000001,0.04367984998279357
241,0.47878438,1,33,3) common (21-100),0.49373581250000004,0.10025941979821085
242,0.873399,1,8,2) rare (6-20),0.92014659,0.022565197058463708
243,0.24284656,1,1,1) very rare (1-5),0.15076766600000002,0.07108528357882289
244,0.09586506,1,39,3) common (21-100),0.130845975,0.055006043613526914
245,0.7193465,0,1070,4) very common (100+),0.72525305,0.15389565210401915
246,0.8233908,0,1070,4) very common (100+),0.95172743,0.007573751266271565
247,0.859089,0,39,3) common (21-100),0.7519306625,0.09118091868824153
248,0.37888986,0,3,1) very rare (1-5),0.2501320925,0.02331196445879386
249,0.7812957,0,92,3) common (21-100),0.7901163700000001,0.12550706330946657
250,0.34342298,1,0,1) very rare (1-5),0.28929136,0.10685536109608727
251,0.14449713,1,2,1) very rare (1-5),0.2515411575,0.07964033985158443
252,0.30848604,1,5,1) very rare (1-5),0.260336205,0.03308331558448041
253,0.9410009,0,421,4) very common (100+),0.8698340975000001,0.07978872701373306
254,0.27473357,1,0,1) very rare (1-5),0.23505509000000002,0.16049895538837644
255,0.11776385,0,0,1) very rare (1-5),0.292622968,0.28170364437431017
256,0.45829055,1,16,2) rare (6-20),0.2887212825,0.06591513877361496
257,0.5080793,1,0,1) very rare (1-5),0.53500034,0.13005685894117908
258,0.53525245,1,1070,4) very common (100+),0.4488715575,0.05446628676300796
259,0.26352817,1,14,2) rare (6-20),0.13482065,0.0497564252898211
260,0.7637909,0,47,3) common (21-100),0.8970478975,0.03832218247311364
261,0.41063625,1,0,1) very rare (1-5),0.56744019,0.1498963584957855
262,0.023060905,1,18,2) rare (6-20),0.1735262865,0.04542431290341149
263,0.951112,0,700,4) very common (100+),0.9726720975,0.01634848866235097
264,0.78803045,1,79,3) common (21-100),0.7727583975000001,0.04379836165807597
265,0.94190747,0,178,4) very common (100+),0.9215928600000001,0.018857909869542815
266,0.9021577,0,261,4) very common (100+),0.7872643850000001,0.10152026186258424
267,0.8422887,0,105,4) very common (100+),0.809433775,0.13245104191170742
268,0.5366657,0,5,1) very rare (1-5),0.5182029100000001,0.15449684298455194
269,0.71146935,0,2,1) very rare (1-5),0.8090886125,0.08707195334219546
270,0.20019425,1,0,1) very rare (1-5),0.1003089,0.06219691958464061
271,0.045173172,1,6,2) rare (6-20),0.0967794775,0.04036012595385334
272,0.8198694,0,19,2) rare (6-20),0.701229165,0.09645978932912759
273,0.30172768,1,0,1) very rare (1-5),0.547059565,0.10668665148924689
274,0.1712551,1,3,1) very rare (1-5),0.29400827875,0.17283894758318963
275,0.51496726,0,372,4) very common (100+),0.8378754825,0.09673385226109532
276,0.6327169,0,2,1) very rare (1-5),0.5899230824999999,0.031730496405180435
277,0.90845275,0,1070,4) very common (100+),0.8970807625,0.06722933107628114
278,0.13142483,1,58,3) common (21-100),0.12899796924999998,0.08824090124002848
279,0.19511983,1,372,4) very common (100+),0.3059213525,0.06902029968242147
280,0.87616813,0,1290,4) very common (100+),0.830768295,0.08771525908430229
281,0.73115695,1,0,1) very rare (1-5),0.4706477175,0.13935298306302749
282,0.07707058,0,4,1) very rare (1-5),0.09645208975000001,0.09158853678959049
283,0.5390167,1,58,3) common (21-100),0.5970949,0.12438786469798811
284,0.565254,0,5,1) very rare (1-5),0.39329526,0.15670820906856045
285,0.86053485,1,66,3) common (21-100),0.73603621,0.133258982074935
286,0.7524422,0,52,3) common (21-100),0.8550173025000001,0.07678296734380301
287,0.5776526,1,178,4) very common (100+),0.6535321375,0.09187005761343967
288,0.9053327,0,5,1) very rare (1-5),0.825652025,0.0774941125474179
289,0.95027727,0,29,3) common (21-100),0.86120355,0.07321627103986174
290,0.39991662,0,1290,4) very common (100+),0.5580570425,0.18551865207462595
291,0.6856123,1,7,2) rare (6-20),0.6808679550000001,0.15709120051191117
292,0.90535915,0,105,4) very common (100+),0.950345435,0.022854766660763023
293,0.7703498,0,24,3) common (21-100),0.6932796625,0.05402286344520455
294,0.852908,0,94,3) common (21-100),0.919705375,0.021539327074635496
295,0.78914106,1,0,1) very rare (1-5),0.8549602475,0.11781340119406308
296,0.3245103,1,2,1) very rare (1-5),0.7402596175,0.10191798323379403
297,0.49256542,0,23,3) common (21-100),0.44023074249999994,0.07599145744273642
298,0.89656526,0,1070,4) very common (100+),0.83761721,0.03697376877957873
299,0.7861144,0,79,3) common (21-100),0.760464475,0.17189047462746992
300,0.08626693,1,0,1) very rare (1-5),0.2399731775,0.19742159021596414
301,0.33993793,1,5,1) very rare (1-5),0.19346601249999998,0.06233037968357701
302,0.36032107,1,134,4) very common (100+),0.25911779999999995,0.026215979149968816
303,0.3696039,1,700,4) very common (100+),0.19856501000000001,0.09782171945242069
304,0.21204582,1,0,1) very rare (1-5),0.11270606600000001,0.04959591987622872
305,0.019164234,1,1,1) very rare (1-5),0.026685401999999997,0.011999109351428486
306,0.8507047,0,6,2) rare (6-20),0.5378700425,0.13868816675149911
307,0.104110576,1,0,1) very rare (1-5),0.1330728985,0.05451820525780528
308,0.55085194,0,13,2) rare (6-20),0.25607101,0.0714343208087884
309,0.62642455,1,1,1) very rare (1-5),0.5237663125,0.07238567942172107
310,0.87925446,0,11,2) rare (6-20),0.8059749225,0.1088126858143802
311,0.306267,0,1,1) very rare (1-5),0.5374768775000001,0.19783429241140305
312,0.39771986,1,107,4) very common (100+),0.211688395,0.0445615993773375
313,0.29593897,1,28,3) common (21-100),0.40262273749999994,0.12018105839883013
314,0.936943,0,99,3) common (21-100),0.8618164024999999,0.09183302985464173
315,0.8924433,1,5,1) very rare (1-5),0.9646947749999999,0.015019177004021375
316,0.8663644,0,4,1) very rare (1-5),0.7304100375,0.10458321905891989
317,0.5827305,1,0,1) very rare (1-5),0.30915677,0.05955576761948543
318,0.5219084,0,23,3) common (21-100),0.4722749225,0.0826796727097968
319,0.78987896,0,6,2) rare (6-20),0.7995611499999999,0.07954106175257845
320,0.6336517,1,268,4) very common (100+),0.453206455,0.12210361365431135
321,0.9212898,0,76,3) common (21-100),0.8635841125,0.09723771682701352
322,0.9444213,0,12,2) rare (6-20),0.9242531325000001,0.020496164275058126
323,0.31373644,1,79,3) common (21-100),0.25845872,0.05399029457488586
324,0.6440674,0,6,2) rare (6-20),0.40601346250000003,0.084038804814516
325,0.6726977,1,105,4) very common (100+),0.614871825,0.06120133138937318
326,0.98303485,0,182,4) very common (100+),0.98289371,0.0045795801767520095
327,0.86232555,1,106,4) very common (100+),0.5589835750000001,0.2140542358044145
328,0.065206654,1,274,4) very common (100+),0.20015381525,0.12206227041373016
329,0.3193638,1,39,3) common (21-100),0.366029615,0.06562341285129777
330,0.20737252,1,268,4) very common (100+),0.2031913375,0.081465002317472
331,0.97264963,0,1290,4) very common (100+),0.8429882000000001,0.04991041197347303
332,0.84742224,0,10,2) rare (6-20),0.8921583799999999,0.047642962067165784
333,0.690961,0,106,4) very common (100+),0.5973460625,0.06009005484734328
334,0.21911721,1,2,1) very rare (1-5),0.154944305,0.03725074224534426
335,0.92521185,0,4,1) very rare (1-5),0.8131556525000001,0.045928294899791
336,0.24849746,0,1,1) very rare (1-5),0.24814226499999997,0.07633799183273342
337,0.79426664,0,14,2) rare (6-20),0.6893728225000001,0.04175541108311614
338,0.91419905,1,0,1) very rare (1-5),0.8219155075000001,0.08297189199218111
339,0.104008526,1,3,1) very rare (1-5),0.08965834500000001,0.026868590262850135
340,0.4286599,1,1070,4) very common (100+),0.5546978725,0.1647634431234425
341,0.83742946,0,1290,4) very common (100+),0.784970735,0.09190661724325229
342,0.8449371,1,38,3) common (21-100),0.7880525399999999,0.05792799180126826
343,0.75538844,1,23,3) common (21-100),0.8114569749999999,0.08588050317223854
344,0.9208183,0,372,4) very common (100+),0.7131696,0.105078024479027
345,0.3299123,1,1,1) very rare (1-5),0.2783862225,0.05200382806774919
346,0.8903096,0,700,4) very common (100+),0.7837796625,0.13841865347096693
347,0.6031834,0,121,4) very common (100+),0.7080056825,0.1422525832492012
348,0.132598,0,58,3) common (21-100),0.15832042,0.027738058649723483
349,0.8682098,0,3,1) very rare (1-5),0.7718516,0.09019516753185838
350,0.8384063,1,268,4) very common (100+),0.5947383925,0.16272571478998815
351,0.8986339,0,13,2) rare (6-20),0.7824367775,0.052531166538909276
352,0.1642318,1,0,1) very rare (1-5),0.1809614275,0.041529918895621125
353,0.9753514,0,85,3) common (21-100),0.9446456475,0.020462667350870167
354,0.3748237,0,2,1) very rare (1-5),0.35548395250000003,0.02835593854070903
355,0.1139155,1,0,1) very rare (1-5),0.1274782475,0.04642144526587167
356,0.35957888,0,49,3) common (21-100),0.5462795075,0.07374158923819765
357,0.90365374,0,700,4) very common (100+),0.8034138175000001,0.07267476929406327
358,0.7183324,0,46,3) common (21-100),0.8287616250000001,0.11744654296166776
359,0.8772586,1,1,1) very rare (1-5),0.6112437175000001,0.12847382304172597
360,0.17102009,1,23,3) common (21-100),0.30830222749999997,0.09195581265198448
361,0.47171602,1,81,3) common (21-100),0.559358705,0.06729639366782016
362,0.95767677,0,1070,4) very common (100+),0.851492145,0.08314338494987605
363,0.6396591,0,108,4) very common (100+),0.4968925275,0.12295862052091253
364,0.44357634,0,1290,4) very common (100+),0.46170965500000005,0.0853615714047564
365,0.6454857,1,58,3) common (21-100),0.624232585,0.11174358950851128
366,0.24150552,1,4,1) very rare (1-5),0.145455585,0.05012264215356045
367,0.60759217,0,145,4) very common (100+),0.26387908250000003,0.03395047104043947
368,0.5106713,0,1290,4) very common (100+),0.5800117775,0.09120612841329317
369,0.038507998,1,0,1) very rare (1-5),0.03594868425,0.01744655280408706
370,0.6449995,1,16,2) rare (6-20),0.8336401875,0.046795832360189596
371,0.1125171,1,1,1) very rare (1-5),0.13038036125000002,0.014633565059445693
372,0.26906654,0,1290,4) very common (100+),0.37209706,0.0704228204938914
