mol_idx,top_score,error,frequency,tier,mean_top_score,std_top_score,agreement_rate,predictive_entropy
22,0.13258748,1,0,1) very rare (1-5),0.057920318,0.030217085,0.9,7.807424968119336
23,0.6075993,1,14,2) rare (6-20),0.37840623,0.09621379,0.85,3.9538147883860204
24,0.859005,0,108,4) very common (100+),0.60022557,0.11311951,1.0,2.9247465403098913
25,0.5442937,1,145,4) very common (100+),0.48841372,0.0684473,0.75,2.3644297108671113
26,0.09536088,1,7,2) rare (6-20),0.04157074,0.016511627,0.45,7.481684540639834
27,0.1478284,1,20,2) rare (6-20),0.09171666,0.0411096,0.55,6.268234665768177
28,0.12385844,0,10,2) rare (6-20),0.04854607,0.021552669,0.75,7.253110537030101
29,0.35797003,1,0,1) very rare (1-5),0.20057473,0.06744652,0.75,4.343182865649032
30,0.3449551,0,7,2) rare (6-20),0.24350956,0.0716765,0.65,3.808370308811312
31,0.6731026,1,43,3) common (21-100),0.38976926,0.16176534,0.95,4.522134567490075
32,0.28955826,0,1,1) very rare (1-5),0.20366816,0.067554906,0.65,4.659188238978534
33,0.8658715,0,6,2) rare (6-20),0.62487125,0.10863892,1.0,2.6745751632132047
34,0.22258744,1,31,3) common (21-100),0.09304277,0.04438065,0.9,7.001300346436362
35,0.07283675,1,0,1) very rare (1-5),0.045836277,0.021125482,0.4,7.2052100969548185
36,0.16475756,1,0,1) very rare (1-5),0.08641227,0.03533888,0.55,6.686193250366822
37,0.760364,1,3,1) very rare (1-5),0.3669368,0.10834571,1.0,4.681935435328041
38,0.20685546,1,2,1) very rare (1-5),0.16796109,0.02745039,0.45,4.05881814185526
39,0.49198696,0,84,3) common (21-100),0.295806,0.0845612,0.7,4.607156344551367
40,0.10012276,1,0,1) very rare (1-5),0.039151266,0.0177714,0.65,7.803205856882406
41,0.061444033,1,0,1) very rare (1-5),0.0324332,0.0085978955,0.5,7.369565051218103
42,0.21880835,0,2,1) very rare (1-5),0.106795534,0.050765384,0.7,6.6591655282326165
43,0.2885833,0,3,1) very rare (1-5),0.12766932,0.07060532,0.85,6.522972905901133
44,0.05499082,0,1,1) very rare (1-5),0.028071761,0.012543986,0.6,7.953435301079217
45,0.7112438,1,0,1) very rare (1-5),0.4506549,0.104768254,0.95,3.5004488740534687
46,0.4759342,0,36,3) common (21-100),0.1836091,0.12401558,1.0,6.853645944679547
47,0.6152317,0,3,1) very rare (1-5),0.26875257,0.111214876,1.0,5.251745249898216
48,0.026868666,1,1,1) very rare (1-5),0.02446216,0.0059699495,0.3,7.629298424983665
49,0.07789908,1,0,1) very rare (1-5),0.05041644,0.022863228,0.25,7.305420527526023
50,0.085768275,1,8,2) rare (6-20),0.08321191,0.031989623,0.25,5.660066940680007
51,0.9118957,1,2,1) very rare (1-5),0.6708246,0.10763716,1.0,2.621047401203868
52,0.73957103,1,5,1) very rare (1-5),0.531305,0.1359771,1.0,2.4871352689571427
53,0.23937337,1,44,3) common (21-100),0.22173364,0.0772829,0.55,4.586948123781597
54,0.04749669,1,0,1) very rare (1-5),0.03135517,0.013973079,0.45,7.43033391292706
55,0.07933255,1,3,1) very rare (1-5),0.033213615,0.0145489825,0.65,8.156098474128925
56,0.670667,1,1,1) very rare (1-5),0.28417405,0.1333203,1.0,6.0378432284522345
57,0.549302,0,274,4) very common (100+),0.24232535,0.09504382,0.8,5.457848872028087
58,0.091803044,1,14,2) rare (6-20),0.0427057,0.019390387,0.4,7.78682607617607
59,0.53572506,1,2,1) very rare (1-5),0.3567417,0.080271006,0.65,3.1045188147414824
60,0.19073349,0,1,1) very rare (1-5),0.0753824,0.04722903,0.75,7.313901899067762
61,0.4989331,1,2,1) very rare (1-5),0.28787148,0.11954071,0.9,5.1234592593354975
62,0.27494943,1,123,4) very common (100+),0.1573632,0.048385568,0.55,5.53790056331672
63,0.11522462,1,1,1) very rare (1-5),0.039060503,0.016192393,0.8,7.792581945274045
64,0.40966496,1,30,3) common (21-100),0.33388406,0.069369584,0.65,3.7015066428436763
65,0.9737526,0,15,2) rare (6-20),0.7449052,0.12528592,1.0,2.4385397374573987
66,0.7396236,0,6,2) rare (6-20),0.40775752,0.15832941,1.0,4.641482180830693
67,0.6211312,1,13,2) rare (6-20),0.3614796,0.13506895,0.85,4.288144149874178
68,0.99485767,0,274,4) very common (100+),0.95446557,0.060232677,1.0,0.373964676278994
69,0.07914717,1,0,1) very rare (1-5),0.07088926,0.021847127,0.25,6.70116416784624
70,0.81906164,0,5,1) very rare (1-5),0.57921094,0.12823474,1.0,2.989802814639397
71,0.5726529,0,14,2) rare (6-20),0.24844937,0.11822785,1.0,5.9258925639680875
72,0.3386807,1,2,1) very rare (1-5),0.15577564,0.07712291,1.0,6.618868439731108
73,0.21265222,1,142,4) very common (100+),0.08418472,0.043080278,0.95,7.045227103473611
74,0.08336468,1,0,1) very rare (1-5),0.030899653,0.009071916,0.35,7.703812731974949
75,0.14668241,1,81,3) common (21-100),0.10536053,0.044948157,0.35,6.359251513155844
76,0.26185814,1,30,3) common (21-100),0.19241732,0.07026538,0.65,5.361285516795942
77,0.729379,1,4,1) very rare (1-5),0.3439134,0.10882593,1.0,5.48054918981239
78,0.15245931,0,2,1) very rare (1-5),0.09296318,0.031063491,0.35,6.166205897006762
79,0.7887293,1,1070,4) very common (100+),0.48422608,0.1342017,1.0,3.6283467809164818
80,0.77652353,1,1,1) very rare (1-5),0.34478906,0.12098373,1.0,5.224153746439591
81,0.1944133,1,0,1) very rare (1-5),0.06518602,0.025989518,0.95,7.635808592364079
82,0.050441332,1,3,1) very rare (1-5),0.039247412,0.017745946,0.3,7.771925442135259
83,0.95388305,1,1290,4) very common (100+),0.7856982,0.10037804,1.0,1.8118635463870074
84,0.2738026,1,1,1) very rare (1-5),0.10112548,0.057677146,0.7,7.287336984503758
85,0.3743408,1,19,2) rare (6-20),0.20605135,0.12951335,0.75,5.141369129630785
86,0.5215525,0,75,3) common (21-100),0.26211795,0.103636734,0.85,5.858694112887191
87,0.008160864,1,24,3) common (21-100),0.0078942105,0.0028454007,0.25,8.548047856961324
88,0.16616897,1,0,1) very rare (1-5),0.06261466,0.025729414,0.65,7.148851205473687
89,0.46877506,0,106,4) very common (100+),0.21527639,0.11739896,0.9,5.925182026504986
90,0.3849216,0,81,3) common (21-100),0.28466827,0.103666574,0.7,3.814129882752219
91,0.43315434,0,2,1) very rare (1-5),0.29724282,0.12202093,0.8,4.405448773235609
92,0.13282748,1,6,2) rare (6-20),0.10199948,0.029832063,0.35,5.382716182892265
93,0.87289214,1,146,4) very common (100+),0.5555895,0.104041286,1.0,3.3852268384901723
94,0.93524367,1,3,1) very rare (1-5),0.7549746,0.12392822,1.0,1.934606022210819
95,0.9776298,0,1290,4) very common (100+),0.84839046,0.073058106,1.0,1.252867432105467
96,0.054220762,1,26,3) common (21-100),0.043743193,0.014114964,0.35,7.093028123163083
97,0.05431574,1,15,2) rare (6-20),0.034640357,0.010657912,0.4,7.585279283655221
98,0.16504002,1,107,4) very common (100+),0.10358846,0.038382754,0.45,6.02574541056908
99,0.8845751,1,1070,4) very common (100+),0.69747376,0.12009992,1.0,1.8475633544707208
100,0.46314248,0,96,3) common (21-100),0.24072257,0.10060765,0.9,5.476432822418218
101,0.22691153,1,1,1) very rare (1-5),0.08084034,0.0616759,0.95,7.746666745050024
102,0.63673836,0,118,4) very common (100+),0.42502627,0.14632164,0.95,3.7566019872719068
103,0.49903768,0,0,1) very rare (1-5),0.31426057,0.117243454,1.0,3.2769644184839737
104,0.82458454,1,54,3) common (21-100),0.56898826,0.118041135,1.0,2.964235731065941
105,0.8683401,0,1290,4) very common (100+),0.58860505,0.14651728,1.0,2.773114315245177
106,0.99505436,0,89,3) common (21-100),0.9443782,0.03955663,1.0,0.5313278790105388
107,0.08871829,1,20,2) rare (6-20),0.048339304,0.019905366,0.5,7.250447963434384
108,0.95193875,0,66,3) common (21-100),0.7553896,0.07861165,1.0,2.141977176780006
109,0.419331,0,9,2) rare (6-20),0.18743443,0.08339027,0.95,5.595138146358444
110,0.98724,1,89,3) common (21-100),0.90135604,0.08208653,1.0,0.8724563686568176
111,0.43140152,1,16,2) rare (6-20),0.34141165,0.11464095,0.6,3.5214492564165623
112,0.054315053,1,0,1) very rare (1-5),0.04317013,0.014825083,0.35,7.333238176244025
113,0.32733148,0,43,3) common (21-100),0.17868489,0.07365341,0.55,5.855609637187492
114,0.10649372,1,111,4) very common (100+),0.04872181,0.01788784,0.5,7.1784428497709545
115,0.64153534,0,145,4) very common (100+),0.35893002,0.13134024,1.0,4.576710577735483
116,0.043171614,1,1,1) very rare (1-5),0.021022838,0.008540288,0.55,8.055829258374033
117,0.90706366,0,70,3) common (21-100),0.5639678,0.14149728,1.0,3.7999011004552323
118,0.484119,0,94,3) common (21-100),0.39412004,0.08663803,0.7,3.016718626420293
119,0.9494763,0,123,4) very common (100+),0.7812092,0.11292401,1.0,1.3293896065720878
120,0.36781368,0,33,3) common (21-100),0.21036008,0.07727735,0.55,5.691287497577811
121,0.51895314,1,0,1) very rare (1-5),0.58438635,0.07903141,0.55,1.701666549970945
122,0.7841603,1,0,1) very rare (1-5),0.59952104,0.13145013,0.8,1.7958805258212398
123,0.95931697,0,700,4) very common (100+),0.7372921,0.106084354,1.0,2.507081374282978
124,0.64597124,1,37,3) common (21-100),0.3299573,0.11685501,0.9,5.329831264968527
125,0.34162998,1,52,3) common (21-100),0.3290324,0.116741836,0.45,3.7036676097481465
126,0.11483392,1,0,1) very rare (1-5),0.047064908,0.027391063,0.7,7.805255887451622
127,0.15395913,1,2,1) very rare (1-5),0.07116006,0.040636644,0.6,7.237209136281831
128,0.12099111,1,0,1) very rare (1-5),0.05033528,0.027112246,0.75,7.286913753598528
129,0.66700846,0,106,4) very common (100+),0.32560456,0.100800455,1.0,4.612769695957535
130,0.94677347,1,11,2) rare (6-20),0.7823441,0.069437355,1.0,1.6318003713103613
131,0.36389837,1,2,1) very rare (1-5),0.20099123,0.10783684,0.7,5.560078363949673
132,0.8271195,0,6,2) rare (6-20),0.72209805,0.11657226,0.95,1.201449164071961
133,0.6485046,0,1,1) very rare (1-5),0.44019407,0.13849786,0.95,3.2259732312221816
134,0.9924793,0,274,4) very common (100+),0.9175065,0.055245128,1.0,0.7620588223646136
135,0.35142222,1,0,1) very rare (1-5),0.16478829,0.06624779,0.95,6.315040258014571
136,0.86020464,0,78,3) common (21-100),0.6421986,0.1134101,1.0,2.0892015196054534
137,0.840798,1,0,1) very rare (1-5),0.6406768,0.10472351,1.0,2.388831271502317
138,0.5400175,1,1290,4) very common (100+),0.48602876,0.099521324,0.7,2.7373078029342195
139,0.65892595,1,1070,4) very common (100+),0.4751431,0.12061306,1.0,2.5770069068348866
140,0.9898811,0,343,4) very common (100+),0.87758386,0.08015388,1.0,1.2689032588471394
141,0.98123413,0,74,3) common (21-100),0.9120305,0.048391607,1.0,0.6229819252754348
142,0.35236916,0,66,3) common (21-100),0.23287806,0.08514468,0.6,4.490331856661326
143,0.54128873,1,2,1) very rare (1-5),0.2200788,0.08815219,1.0,5.357170495782313
144,0.2930359,1,13,2) rare (6-20),0.16611351,0.06913801,0.65,5.965195757726623
145,0.4104312,0,5,1) very rare (1-5),0.1434063,0.064835876,0.8,7.269128384650717
146,0.50347733,1,166,4) very common (100+),0.40922752,0.08746672,0.75,2.24240192055936
147,0.057620805,1,3,1) very rare (1-5),0.028490221,0.012603647,0.95,8.17227876902607
148,0.32500726,1,1,1) very rare (1-5),0.1590967,0.059881996,0.95,5.327902746844869
149,0.4385196,0,33,3) common (21-100),0.1885712,0.07169159,0.8,5.746270595903386
150,0.48008204,0,178,4) very common (100+),0.16207318,0.0649042,1.0,6.67428084625935
151,0.31781477,0,5,1) very rare (1-5),0.17142542,0.054245062,0.75,5.183698966766549
152,0.85941464,0,1290,4) very common (100+),0.5132097,0.16117261,1.0,4.18475057587662
153,0.10976565,0,33,3) common (21-100),0.05090355,0.028477125,0.55,7.801675311316404
154,0.029735401,1,0,1) very rare (1-5),0.025781706,0.0076302034,0.25,7.541133234597842
155,0.70750237,0,33,3) common (21-100),0.43072063,0.087769665,0.9,3.5364012216251406
156,0.8754085,0,9,2) rare (6-20),0.6298531,0.122337684,1.0,2.326525458214965
157,0.8663443,1,8,2) rare (6-20),0.5510201,0.13198942,1.0,3.3357084417152407
158,0.9638964,0,39,3) common (21-100),0.6968739,0.13530289,1.0,2.7941147627971605
159,0.39652374,1,4,1) very rare (1-5),0.25361732,0.09819518,0.65,4.1574937720663865
160,0.23586641,0,10,2) rare (6-20),0.12359097,0.08890659,0.45,6.4295354179645186
161,0.08919836,1,0,1) very rare (1-5),0.06117927,0.016736884,0.35,7.0074347941722355
162,0.0798964,1,76,3) common (21-100),0.04658822,0.016525237,0.3,7.154534104293742
163,0.47604942,1,4,1) very rare (1-5),0.2815181,0.0961342,0.8,4.476360448126366
164,0.19346814,1,160,4) very common (100+),0.07048122,0.028964033,0.9,7.2778569164308164
165,0.06643282,1,4,1) very rare (1-5),0.056812175,0.014895355,0.2,6.96959612942109
166,0.83937776,1,7,2) rare (6-20),0.5438289,0.1397275,1.0,3.426969686674547
167,0.22149202,0,4,1) very rare (1-5),0.09269247,0.058338057,0.95,7.150730189400345
168,0.3449928,0,223,4) very common (100+),0.3210686,0.14088047,0.45,3.818193384264258
169,0.22019367,1,8,2) rare (6-20),0.10030152,0.046583097,0.55,6.8281485620594
170,0.3020221,1,0,1) very rare (1-5),0.10115324,0.041218676,0.75,6.712015406060745
171,0.12644479,1,26,3) common (21-100),0.07290967,0.03881567,0.45,6.876706570378108
172,0.7874531,0,1290,4) very common (100+),0.60270065,0.12284528,1.0,2.0478268344855244
173,0.82438904,0,105,4) very common (100+),0.42532253,0.1539703,1.0,4.952442447873166
174,0.54411346,1,1,1) very rare (1-5),0.23632717,0.09169292,1.0,5.9246953292278794
175,0.2923501,1,2,1) very rare (1-5),0.15822439,0.05771787,0.85,5.6139905302552755
176,0.5077839,1,15,2) rare (6-20),0.27207875,0.12213329,0.75,5.443578048187371
177,0.4788423,0,102,4) very common (100+),0.26109642,0.11027469,0.9,5.209643683221905
178,0.8872374,0,1070,4) very common (100+),0.7225342,0.13496006,0.95,1.5385844255145469
179,0.91631335,0,15,2) rare (6-20),0.6580238,0.12730269,1.0,2.612468664036568
180,0.70586,0,1070,4) very common (100+),0.6390954,0.12069216,0.75,1.3977587698162406
181,0.5848703,0,79,3) common (21-100),0.27871293,0.13861136,0.95,4.810757321250235
182,0.79186845,1,1070,4) very common (100+),0.63385886,0.11702884,0.95,1.4850003679115298
183,0.09220985,1,36,3) common (21-100),0.030617554,0.016149303,0.9,7.811083536364421
184,0.6587446,0,66,3) common (21-100),0.35736483,0.1233417,0.8,4.138348152994598
185,0.8817082,0,1070,4) very common (100+),0.627349,0.12822448,1.0,2.8885203570249245
186,0.9989712,0,211,4) very common (100+),0.98556507,0.011588898,1.0,0.15009355794514348
187,0.2828201,1,81,3) common (21-100),0.21304648,0.09104503,0.55,4.8028569407048725
188,0.057560023,1,10,2) rare (6-20),0.025508258,0.008662265,0.55,7.645641469262793
189,0.3449249,1,1,1) very rare (1-5),0.28714386,0.098322324,0.45,3.9319305408741982
190,0.8734323,0,1070,4) very common (100+),0.74748427,0.08454085,1.0,1.6486473232442815
191,0.08093505,1,2,1) very rare (1-5),0.030898213,0.011617738,0.6,7.515141811168508
192,0.2811334,1,20,2) rare (6-20),0.11926236,0.04699576,1.0,6.414288892604654
193,0.2755914,0,5,1) very rare (1-5),0.09677996,0.030448265,0.5,7.199014072216846
194,0.40318602,0,4,1) very rare (1-5),0.14440677,0.0563823,0.8,6.101182097763857
195,0.59473777,0,4,1) very rare (1-5),0.36979437,0.10976839,0.75,3.008521609593636
196,0.69181645,0,6,2) rare (6-20),0.49485368,0.12771682,0.95,2.9262854963019027
197,0.5494379,1,45,3) common (21-100),0.4377903,0.09742641,0.7,3.60910431230958
198,0.7540757,1,108,4) very common (100+),0.4699642,0.15139742,0.95,3.499713844232288
199,0.5629197,0,44,3) common (21-100),0.21919604,0.09737188,0.95,5.988201740608769
200,0.8348916,1,30,3) common (21-100),0.59929377,0.1716837,1.0,2.6628805417816785
201,0.2382071,1,96,3) common (21-100),0.11954145,0.04060686,0.5,6.119751103114513
202,0.84518915,0,70,3) common (21-100),0.53817827,0.15437292,1.0,3.8434014623514234
203,0.41723666,1,0,1) very rare (1-5),0.13179788,0.0700295,1.0,7.412990994132463
204,0.022716122,1,2,1) very rare (1-5),0.020033952,0.0052587,0.2,7.628978517881238
205,0.09618426,1,2,1) very rare (1-5),0.08285616,0.033118147,0.45,6.213873344782845
206,0.59063363,1,372,4) very common (100+),0.2912282,0.13033369,1.0,4.998942066018736
207,0.74909216,1,0,1) very rare (1-5),0.37849623,0.18912208,1.0,4.734177307541981
208,0.1384008,1,11,2) rare (6-20),0.06325494,0.022934802,0.75,7.091567029084196
209,0.28610653,1,0,1) very rare (1-5),0.10813998,0.04804541,0.9,6.682752216239965
210,0.33197823,0,274,4) very common (100+),0.29216892,0.09504516,0.4,3.4714901151878164
211,0.5088654,0,99,3) common (21-100),0.5309166,0.11226304,0.55,2.3277372322534324
212,0.4749833,1,5,1) very rare (1-5),0.24217717,0.105500646,0.95,5.270546070122272
213,0.9740001,0,1290,4) very common (100+),0.8595273,0.048368882,1.0,1.0398573485072826
214,0.68349636,0,5,1) very rare (1-5),0.38835406,0.14526969,1.0,4.344214742012273
215,0.1261732,1,1,1) very rare (1-5),0.06542827,0.031981863,0.4,7.030659447251388
216,0.7267579,0,121,4) very common (100+),0.51268566,0.1297992,0.95,3.150769990546928
217,0.32875648,1,1,1) very rare (1-5),0.1486944,0.052619744,0.6,6.580828847758509
218,0.70877934,0,118,4) very common (100+),0.51768196,0.1152954,1.0,2.2442010989629155
219,0.9901708,0,118,4) very common (100+),0.9148054,0.04458085,1.0,0.8269365774841273
220,0.31863317,1,1,1) very rare (1-5),0.14629106,0.044763513,0.85,5.794463818413869
221,0.63269895,0,6,2) rare (6-20),0.31623143,0.12503581,1.0,5.210812160591949
222,0.17026137,1,4,1) very rare (1-5),0.08643304,0.025122572,0.45,6.455419292028833
223,0.4679612,0,4,1) very rare (1-5),0.18588826,0.07848052,0.85,5.475784646903452
224,0.24659385,1,1,1) very rare (1-5),0.11402352,0.04059405,0.8,6.153328080473973
225,0.8590709,0,1290,4) very common (100+),0.6880071,0.12560844,1.0,1.9590525112298727
226,0.4098826,1,9,2) rare (6-20),0.20327675,0.0661054,0.7,5.314189613385898
227,0.90697056,0,8,2) rare (6-20),0.6824936,0.10986993,1.0,2.3997384698175974
228,0.6030623,1,9,2) rare (6-20),0.33155593,0.13887125,1.0,4.646103150890744
229,0.82078147,1,237,4) very common (100+),0.52043205,0.15169835,1.0,3.5647392214675526
230,0.8101224,0,261,4) very common (100+),0.4437583,0.15290402,1.0,4.546564067344556
231,0.26669005,1,3,1) very rare (1-5),0.10107069,0.04483206,0.8,6.664654362681397
232,0.18271932,1,3,1) very rare (1-5),0.057396285,0.02367217,0.6,7.104365928875187
233,0.88836616,0,108,4) very common (100+),0.64094645,0.16966955,1.0,2.5821806372528324
234,0.71641225,0,118,4) very common (100+),0.6504835,0.11566561,0.85,1.5138205865589602
235,0.18043913,1,9,2) rare (6-20),0.07695382,0.038620144,0.65,7.247015829646599
236,0.47529948,1,20,2) rare (6-20),0.23848028,0.07799109,0.75,5.30216588630923
237,0.3167991,1,22,3) common (21-100),0.18528299,0.0722584,0.55,5.443932757587474
238,0.031634375,1,3,1) very rare (1-5),0.02100397,0.00834626,0.2,8.055506110027357
239,0.64950615,1,145,4) very common (100+),0.2584311,0.1155122,0.95,5.725086366330559
240,0.83390903,1,84,3) common (21-100),0.48127192,0.15277068,1.0,4.044481697108388
241,0.47878438,1,33,3) common (21-100),0.25639325,0.086840436,0.7,4.75201278788613
242,0.873399,1,8,2) rare (6-20),0.6606889,0.12905858,0.95,1.9746344815593615
243,0.24284656,1,1,1) very rare (1-5),0.15063645,0.04729477,0.75,5.8759911940653655
244,0.09586506,1,39,3) common (21-100),0.0615203,0.025653811,0.5,7.097802176616749
245,0.7193465,0,1070,4) very common (100+),0.6100078,0.11497752,0.9,2.216046340965992
246,0.8233908,0,1070,4) very common (100+),0.5473853,0.1502552,0.95,3.053087103870536
247,0.859089,0,39,3) common (21-100),0.5753797,0.14725782,1.0,2.973134837192631
248,0.37888986,0,3,1) very rare (1-5),0.22838333,0.10005926,1.0,5.173385882060886
249,0.7812957,0,92,3) common (21-100),0.47535276,0.1485261,0.95,3.495209570367717
250,0.34342298,1,0,1) very rare (1-5),0.1504382,0.10295546,0.85,6.504139338336003
251,0.14449713,1,2,1) very rare (1-5),0.0840239,0.032616857,0.5,7.084578015338528
252,0.30848604,1,5,1) very rare (1-5),0.13285169,0.055459138,0.75,6.446755237535136
253,0.9410009,0,421,4) very common (100+),0.8004538,0.07939682,1.0,1.3841277963880492
254,0.27473357,1,0,1) very rare (1-5),0.14516652,0.04681397,0.4,5.7762573335188225
255,0.11776385,0,0,1) very rare (1-5),0.05279562,0.02706252,0.45,7.755755351385046
256,0.45829055,1,16,2) rare (6-20),0.22198987,0.08316566,1.0,5.453460974035387
257,0.5080793,1,0,1) very rare (1-5),0.23356101,0.13957196,0.9,5.831465467471657
258,0.53525245,1,1070,4) very common (100+),0.28604862,0.07152162,0.55,4.5334007155491856
259,0.26352817,1,14,2) rare (6-20),0.09314926,0.05724132,0.7,7.213198587033618
260,0.7637909,0,47,3) common (21-100),0.3803142,0.15428253,1.0,4.527583106171547
261,0.41063625,1,0,1) very rare (1-5),0.14749762,0.054752763,0.95,5.779409444713451
262,0.023060905,1,18,2) rare (6-20),0.014463288,0.006094596,0.3,8.212454381617931
263,0.951112,0,700,4) very common (100+),0.7958474,0.08046775,1.0,1.795648316166624
264,0.78803045,1,79,3) common (21-100),0.46326107,0.12070678,1.0,4.246760089171845
265,0.94190747,0,178,4) very common (100+),0.69143295,0.12259614,1.0,2.5735620681756206
266,0.9021577,0,261,4) very common (100+),0.6675821,0.15660694,1.0,2.501371603762114
267,0.8422887,0,105,4) very common (100+),0.5814737,0.14342757,0.95,3.241590137134239
268,0.5366657,0,5,1) very rare (1-5),0.39012134,0.10872677,0.55,3.198139938331968
269,0.71146935,0,2,1) very rare (1-5),0.49066967,0.13779567,0.85,2.635184336066888
270,0.20019425,1,0,1) very rare (1-5),0.06955773,0.04272723,0.8,7.303239324599135
271,0.045173172,1,6,2) rare (6-20),0.02275442,0.007503454,0.4,7.979824306112746
272,0.8198694,0,19,2) rare (6-20),0.5925814,0.11242405,1.0,2.6620723758708276
273,0.30172768,1,0,1) very rare (1-5),0.22941339,0.05607018,0.45,4.2915492146225205
274,0.1712551,1,3,1) very rare (1-5),0.094499715,0.04354883,0.45,6.55387730053397
275,0.51496726,0,372,4) very common (100+),0.21208093,0.08398452,0.9,5.871793926258872
276,0.6327169,0,2,1) very rare (1-5),0.51462275,0.094173685,0.85,2.533536813119431
277,0.90845275,0,1070,4) very common (100+),0.83376664,0.076511756,1.0,0.7574380712140367
278,0.13142483,1,58,3) common (21-100),0.09251383,0.030729277,0.4,6.350169554355203
279,0.19511983,1,372,4) very common (100+),0.12295637,0.050625034,0.4,5.936228777295769
280,0.87616813,0,1290,4) very common (100+),0.70668447,0.13950387,1.0,1.2405733044967713
281,0.73115695,1,0,1) very rare (1-5),0.4497648,0.092105076,1.0,3.250054790438327
282,0.07707058,0,4,1) very rare (1-5),0.04509816,0.027558804,0.3,7.808601766014762
283,0.5390167,1,58,3) common (21-100),0.43372074,0.11453598,0.6,2.6961576990092286
284,0.565254,0,5,1) very rare (1-5),0.32099044,0.104144625,0.9,4.082611424063044
285,0.86053485,1,66,3) common (21-100),0.56429434,0.17608456,1.0,3.2014784261710996
286,0.7524422,0,52,3) common (21-100),0.35515398,0.109755814,1.0,5.0704707497314
287,0.5776526,1,178,4) very common (100+),0.5296638,0.083365545,0.55,2.1775973099292454
288,0.9053327,0,5,1) very rare (1-5),0.5442826,0.13427697,1.0,3.9924519536321457
289,0.95027727,0,29,3) common (21-100),0.7167388,0.097375505,1.0,2.4517066237365497
290,0.39991662,0,1290,4) very common (100+),0.30367127,0.09659322,0.65,4.474962437346699
291,0.6856123,1,7,2) rare (6-20),0.41335887,0.14844917,1.0,4.14565218881924
292,0.90535915,0,105,4) very common (100+),0.69060266,0.13465682,1.0,2.130133105888185
293,0.7703498,0,24,3) common (21-100),0.569458,0.117280066,0.95,2.439462572507156
294,0.852908,0,94,3) common (21-100),0.49790072,0.14319849,1.0,4.174148010804216
295,0.78914106,1,0,1) very rare (1-5),0.7306084,0.09537676,1.0,0.8223458051436651
296,0.3245103,1,2,1) very rare (1-5),0.1736873,0.06483707,0.55,6.063797166707727
297,0.49256542,0,23,3) common (21-100),0.24476346,0.107020415,1.0,5.528707121563458
298,0.89656526,0,1070,4) very common (100+),0.7036886,0.091003604,1.0,1.7608139197127046
299,0.7861144,0,79,3) common (21-100),0.36406034,0.099520475,1.0,5.311299947238935
300,0.08626693,1,0,1) very rare (1-5),0.050327312,0.022258334,0.25,7.2371885897271735
301,0.33993793,1,5,1) very rare (1-5),0.13571097,0.08070019,0.85,6.734895679097864
302,0.36032107,1,134,4) very common (100+),0.23429093,0.052882258,0.55,3.9221745319483334
303,0.3696039,1,700,4) very common (100+),0.1333119,0.042508136,0.85,6.835048556991066
304,0.21204582,1,0,1) very rare (1-5),0.1054668,0.060264602,0.7,6.576934056290806
305,0.019164234,1,1,1) very rare (1-5),0.014744264,0.008496897,0.25,8.192437906706585
