,Template,Frequency,Class
58,[C:1]-[N:2]>>Cl-[C:1].O=C1-[N:2]-C(=O)-c2:c:c:c:c:c:2-1_0-1_00_00,1,59
59,[C:1]-[C:2]>>C-C1(-C)-O-B(-[C:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,1,60
60,[C:1]-[C:2]>>Cl-[C:1].[C:2]-[Zn+]_00_00_00,1,61
61,[c:1]-[C:2]>>[Mg+]-[c:1].Br-[C:2]_00_00_00,1,62
62,[c:1]-[c:2]>>Br-[c:1].[c:2]-B1-O-C-C-O-1_00_00_00,1,63
63,[c:1]-[C:2]>>Br-[c:1].C-C-[Si](-[C:2])(-C-C)-C-C_00_00_00,1,64
64,[c:2]:[n:4]:[c:3]:[n:1]>>[N:1].C-O-[C:2].O=[C:3]-[N:4]_2001_0000_0000,1,65
65,[C:1].[C:2]=[C:3]>>O=[c:1].[c:2]:[c:3]_-200_000_000,1,66
66,[c:1]-[C:2]-[O:3]>>[Br]-[Mg]-[c:1].[C:2]=[O:3]_00-1_000_000,1,67
67,[c:2]1:[n:3]:[c:6]:[c:5]:[c:4]:[n:1]:1>>[N:1]-[C:2]=[N:3].O=[C:4]-[C:5]-[C:6]=O_201010_000000_000000,1,68
68,[C:1]=[C:2]1-[C:3]-[C:4]-[C:5]=[C:6]-1-[C:7](=[N:8])-[C:9]=[N:10]>>[c:1]:[c:2]1:[c:3]:[c:4]:[c:5]:[c:6]:1:[c:7](:[n:8]):[c:9]:[n:10]_00-1-1000000_0000000000_0000000000,1,69
69,[C:1]-[C:2]>>Br-[C:1].Cl-[C:2]_00_00_00,1,70
70,[c:3]1:[c:2]:[c:1]:[n:4]:[c:5]:[n:6]:1>>O=[C:1]-[C:2].C-O-[C:3](-O-C)-N(-C)-C.[N:4]-[C:5]=[N:6]_020201_000000_000000,1,71
71,[N:1]-[C:2]>>[N:1].F-C(-F)-C(=O)-O-[C:2]_10_00_00,1,72
72,[C:1]-[N:2]>>[c:1]:[n:2]_-1-1_00_00,1,73
73,[C:2]-[C:8]-[C:10]1-[C:7]-[C:9]-[C:5](-[C:4])-[C:6]-[C:3]-1-[N:11]-[C:1]>>Cl-[C:1].[C:2]-[C:3](-[C:4])-[C:5]1-[C:6]-[C:7]-[C:8]-[C:9]-[C:10]-1-[N:11]_00000000001_00000000000_00000000000,1,74
74,[c:1]-[c:2]>>Br-[c:1].C-C(-C)-O-B(-[c:2])-O-C(-C)-C_00_00_00,1,75
75,[n:1]:[c:2]>>[N:1].Br-[c:2]_10_00_00,1,76
76,[c:1]-[c:2]>>Cl-[c:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,1,77
77,[O:4]-[C:3]-[C:2]=[C:1]>>[c:1]:[c:2]:[c:3]=[O:4]_00-1-1_0000_0000,1,78
78,[O:1]-[C:2]>>[O:1].I-[C:2]_00_-10_00,1,79
79,[C:1]-[C:2]>>I-[C:1].[C:2]-[Mg+]_00_00_00,1,80
80,[N:1]-[C:2]>>[N:1].C-C-C-C-C(=O)-O-[C:2]_10_00_00,1,81
81,[c:1]-[C:2]>>Cl-[c:1].Br-[C:2]_00_00_00,1,82
82,[c:2]:[n:4]:[c:3]:[n:1]>>[N:1].C-C-O-[C:2].O=[C:3]-[N:4]_2001_0000_0000,1,83
83,[C:1]-[C:2]>>Br-[C:1].C-N(-C)-[C:2]_00_00_00,1,84
84,[O:4]-[c:3](:[n:2]):[c:5]:[c:6]:[c:1]>>[c:1].[N:2].C-C-O-[C:3](=[O:4])-[C:5]-[C:6]=O_120-110_000000_000000,1,85
85,[C:1]-[N:3]-[N:4]=[C:2]>>Cl-[C:1].O=[C:2].[N:3]-[N:4]_0012_0000_0000,1,86
86,[c:1]-[B:2]>>Cl-[c:1].C-C1(-C)-O-B(-[B:2])-O-C-1(-C)-C_00_00_00,1,87
87,[c:1]-[S:3]=[O:2]>>F-[c:1].[O:2]-[S:3]_000_0-10_000,1,88
88,[C:1]-[P:3]=[O:2]>>Br-[C:1].C-C(-C)-[O:2]-[P:3]_000_000_000,1,89
89,[c:1]1:[c:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].C-[Si](-C)(-C)-[N:3]=[N:4]=[N:5]_00-100_0001-1_00000,1,90
90,[c:4]1:[c:5]:[c:6]:[n:3]:[c:2]:[n:1]:1>>[N:1]-[C:2]=[N:3].O=[C:4]-[C:5]-[C:6]=O_201010_000000_000000,1,91
91,[N:1]-[C:2]>>[N:1].F-[C:2]_00_-10_00,1,92
92,[C:1]-[C:2]>>Br-[C:1].C-O-N(-C)-[C:2]_00_00_00,1,93
93,[n:1]-[C:2]>>[n:1].C-C-O-[C:2]_10_00_00,1,94
94,[n:1]-[C:2]>>[n:1].Cl-[C:2]_10_00_01,1,95
95,[B:1]-[c:2]>>C-C1(-C)-O-B(-[B:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_00_00,1,96
96,[c:1]-[Sn:2]>>Br-[c:1].C-C-C-[CH2]-[Sn](-[Sn:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,1,97
97,[C:5]-[C:2](-[O:6])-[C:4](-[N:1])-[C:3]>>[N:1].O=[C:2](-[C:3])-[C:4](-[C:5])-[O:6]_1-10000_000000_000000,1,98
98,[c:1]-[c:2]>>I-[c:1].C-C(-C)-O-B(-[c:2])-O-C(-C)-C_00_00_00,1,99
99,[c:1]-[C:2]>>Cl-[c:1].Cl-[C:2]_00_00_00,1,100
100,[o:1]:[n:2]:[c:3]>>[O:1].C-C(=O)-O/[N:2]=[C:3]_100_000_000,1,101
101,[c:1]1:[c:2]:[n:3]:[c:4]:[n:5]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[N:5]_10101_00000_00000,1,102
102,[c:1]-[C:2]>>I-[c:1].Cl-[C:2]_00_00_00,1,103
103,[C:1]-[C:2]>>Br-[C:1].Br-[C:2]_00_00_00,1,104
104,[O:3].[C:1]=[C:2]>>[C:1].O=[C:2].C-C(=O)-[O:3]_20-1_000_000,1,105
105,[C:1]-[C:2]-[O:3]>>Br-[C:1].[C:2]=[O:3]_00-1_000_200,1,106
106,[N:1]-[C:7]1-[C:8]-[C:13]-[C:11]2(-[O:6])-[C:2]3-[C:3]-[c:9]:[c:10]-[C:5]-2(-[C:4]-[C:14]-[N:15]-3)-[C:12]-1>>[N:1].O=[C:2]1-[C:3]-[C:4]-[C:5]2(-[O:6])-[C:7]3-[C:8]-[c:9]:[c:10]-[C:11]-2(-[C:12]-1)-[C:13]-[C:14]-[N:15]-3_1-10000000000000_000000000000000_000000100010000,1,107
107,[C:1]-[C:2]>>[C:1].C-C-O-[C:2]_10_00_00,1,108
108,[C:1]-[c:2]>>Cl-[C:1].[I]-[Zn]-[c:2]_00_00_00,1,109
109,[n:1]-[C:2]>>[n:1].Br-[C:2]_00_-10_00,1,110
110,[c:1]-[c:2]>>Br-[c:1].[Zn+]-[c:2]_00_00_00,1,111
111,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,1,112
112,[c:1]1:[c:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].[N:3]=[N:4]=[N:5]_0000-1_00-11-1_00000,1,113
113,[B:1]-[C:2]>>C-C1(-C)-O-B(-[B:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,1,114
114,[c:1]-[c:2]>>Br-[c:1].O=C(-[O-])-C1-C=C-O-B(-[c:2])-O-1_00_00_00,1,115
115,[c:1]:[n:3]:[c:2]>>Cl-[c:1].[C:2]=[N:3]_001_000_000,1,116
116,[C:3]=[C:4]-[O:5]-[P:2]=[O:1]>>C-C-[O:1]-[P:2].Cl-[C:3]-[C:4]=[O:5]_00000_00000_00000,1,117
117,[C:1]-[c:2]>>Cl-[C:1].C-[Si](-C)(-C)-[c:2]_00_00_00,1,118
118,[c:5]1:[c:1]:[c:2]:[o:3]:[n:4]:1>>[C:1]#[C:2].[O:3]-[N:4]=[C:5]_00101_00000_00000,1,119
119,[N:1]-[C:2]>>[N:1].O=C(-O-[C:2])-C1-C-C-1_10_00_00,1,120
120,[N:1]-[C:2]>>[N:1].C-C(-C)(-C-O-[C:2])-N-S(=O)(=O)-C(-F)(-F)-F_10_00_00,1,121
121,[N:1]-[C:2]>>[N:1].Br-C-C(=O)-O-[C:2]_10_00_00,1,122
122,[O:1]-[c:2]>>[O:1].C-S(=O)(=O)-O-[c:2]_10_00_00,1,123
123,[c:1]-[S:3]=[O:2]>>Cl-[c:1].[O:2]-[S:3]_010_000_000,1,124
124,[C:1]1-[C:2]-[O:3]-1>>[C:1]=[C:2].O=S(-[O-])-O-[O:3]_001_000_000,1,125
125,[N:1]-[c:2]>>[N:1].F-c1:c:c:c(-B2-O-B(-[c:2])-O-B(-c3:c:c:c(-F):c:c:3)-O-2):c:c:1_10_00_00,1,126
126,[c:1]1:[c:2]:[c:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].[C:3]=[N:4]=[N:5]_0010-1_0001-1_00000,1,127
127,[N:1]-[C:2]>>[N:1].C-C-C-C(=O)-O-[C:2]_10_00_00,1,128
128,[C:6]-[C:1](-[c:5])-[C:4](-[N:2])-[C:3]>>C-O-C(=O)-[C:1](-[N:2])(-[C:3])-[C:4](-[c:5])-[C:6]_-100000_000000_000000,1,129
129,[c:1]-[c:2]>>Cl-[c:1].I-[c:2]_00_00_00,1,130
130,[N:1]-[C:2]>>[N:1].C-O-N=C(-C(=O)-O-[C:2])-c1:c:s:c(-N-C(-c2:c:c:c:c:c:2)(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):n:1_10_00_00,1,131
131,[C:1]1-[C:2]-[C:3]=[C:4]-[C:5]=[C:6]-1>>[c:1]1:[c:2]:[c:3]:[c:4]:[c:5]:[c:6]:1_-1-10000_000000_000000,1,132
132,[c:1]:[c:3]:[c:4]:[c:5]:[n:2]>>[c:1].[N:2].O=[C:3]-[C:4]=[C:5]_12001_00000_00000,1,133
133,[c:2]1:[c:1]:[n:5]:[c:4]:[n:3]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[N:5]_10200_00000_00000,1,134
134,[N:1]-[C:2]>>[N:1].C-O-c1:c:c(-c2:n:c:n(/C=C\C(=O)-O-[C:2]):n:2):c:c(-C(-F)(-F)-F):c:1_10_00_00,1,135
135,[C:2]-[C:4](-[C:3](-[C:1])-[O:5])-[C:6]>>[C:1]-[Mg+].[C:2]-[C:3](-[C:4]=[O:5])-[C:6]_0000-10_000000_000000,1,136
136,[c:1]-[C:2]>>[c:1].F-[C:2]_10_00_01,1,137
137,[C:1]-[C:2]>>[C:1].C-O-[C:2]_10_00_00,1,138
138,[C:1]-[c:2]>>Br-[C:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,1,139
139,[C:1]-[C:2]>>[C:1].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_10_00_00,1,140
140,[C:2]1-[C:1]-[O:3]-1>>C-[S+](-C)-[C:1].[C:2]=[O:3]_100_000_000,1,141
141,[Cl:1]-[C:3]-[C:4]-[Cl:2]>>[Cl:1]-[Cl:2].[C:3]=[C:4]_0000_0000_0000,1,142
142,[C:1]=[C:2]>>O=[C:1].F-C(-F)(-F)-C-O-P(=O)(-[C:2])-O-C-C(-F)(-F)-F_01_00_00,1,143
143,[C:1]-[c:2]>>Br-[C:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,1,144
144,[C:1]-[C:2]>>Cl-[C:1].C-[Si](-C)(-C)-[C:2]_00_00_00,1,145
145,[c:1]=[C:2]>>[C:1].O=[C:2]_20_00_00,1,146
146,[N:1]-[C:2]>>[N:1].I-C-C(=O)-O-[C:2]_10_00_00,1,147
147,[c:2]1:[c:3]:[n:5]:[n:4]:[n:1]:1>>[N:1].[C:2]#[C:3].F-C(-F)(-F)-S(=O)(=O)-N=[N:4]=[N:5]_20000_0001-1_00000,1,148
148,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-[C:2]_20_10_00,1,149
149,[C:1]-[C:2]>>I-[C:1].[C:2]-[Cu]_00_00_00,1,150
150,[C:1]-[C:2]>>Cl-[C:1].C-C-C-[CH2]-[Sn](-[C:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,1,151
151,[c:1]-[P:3]=[O:2]>>Br-[c:1].C-[O:2]-[P:3]_000_000_000,1,152
152,[n:1]-[C:2]>>[n:1].O-[C:2]_10_00_01,1,153
153,[N:1]-[C:2]>>[N:1].O=[N+](-[O-])-c1:c:c:c(-C-O-[C:2]):c:c:1_10_00_00,1,154
154,[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_01,1,155
155,[n:1]:[c:2]>>[N:1].C-O-[C:2]_10_00_00,1,156
156,[C:1]-[C:2]>>Cl-[C:1].[C:2]-[Cu]_00_00_00,1,157
157,[C:1]-[c:2]>>C-[Si](-C)(-C)-[C:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_00_00,1,158
158,[C:1]-[Br:2]>>O-[C:1].Br-C(-Br)(-Br)-[Br:2]_00_00_10,1,159
159,[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_02,1,160
160,[O:1]-[C:3]-[c:2]>>[O:1].[c:2].O=[C:3]_110_000_000,2,161
161,[c:2]:[c:3]:[c:4]:[n:1]>>[N:1].Br-[c:2].[C:3]#[C:4]_1000_0000_0000,2,162
162,[C:2]-[C:3]-[c:1]>>[c:1].[C:2]=[C:3]_1-10_000_000,2,163
163,[c:1]-[Br:2]>>N-[c:1].Br-C(-Br)-[Br:2]_00_00_00,2,164
164,[c:1]1:[c:2]:[o:3]:[n:4]:[c:5]:1>>[C:1]#[C:2].[O:3]-[N:4]=[C:5]_00101_00000_00000,2,165
165,[c:1]-[c:2]>>Cl-[c:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,2,166
166,[c:1]-[c:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[c:1].C-C-C-[CH2]-[Sn](-[c:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,2,167
167,[C:1]-[N:2]>>O=C(-[C:1])-[N:2]_00_00_00,2,168
168,[N:1]-[c:2]>>[N:1].F-[c:2]_00_-10_00,2,169
169,[S:1]-[C:2]>>[S:1].Cl-[C:2]_10_00_02,2,170
170,[C:1]-[C:2]>>Br-[C:1].C-[Si](-C)(-C)-[C:2]_00_00_00,2,171
171,[c:5]1:[c:4]:[n:1]:[c:2]:[n:3]:[c:6]:1>>[N:1]-[C:2]=[N:3].O=[C:4]-[C:5]-[C:6]=O_201010_000000_000000,2,172
172,[c:2]1:[c:1]:[n:5]:[c:4]:[n:3]:1>>Br-[C:1]-[C:2]=O.[N:3]-[C:4]=[N:5]_10101_00000_00000,2,173
173,[c:1]-[c:2]>>Br-[c:1].C-N1-C-C(=O)-O-B(-[c:2])-O-C(=O)-C-1_00_00_00,2,174
174,[S:1]-[C:2]>>[S:1].Br-[C:2]_10_00_01,2,175
175,[c:1]:[n:2]:[n:3]:[c:4]>>F-[c:1].[N:2]-[N:3]=[C:4]_0100_0000_0000,2,176
176,[n:1]:[c:2]>>[N:1].Cl-[c:2]_10_00_00,2,177
177,[S:1]-[c:2]>>[S:1].I-[c:2]_00_-10_00,2,178
178,[c:1]1:[n:2]:[n:5]:[n:4]:[n:3]:1>>[C:1]#[N:2].C-[Si](-C)(-C)-[N:3]=[N:4]=[N:5]_00-100_0001-1_00000,2,179
179,[c:1]-[c:2]>>I-[c:1].[Zn+]-[c:2]_00_00_00,2,180
180,[N:1]-[C:2]>>[N:1].C-C(-C)-C(=O)-O-[C:2]_10_00_00,2,181
181,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_02,2,182
182,[c:4]1:[c:3]:[c:2]:[n:1]:[c:5]:1>>[N:1].O=[C:2]-[C:3]-[C:4]-[C:5]=O_30110_10000_00000,2,183
183,[C:1]-[C:2]>>[C:1].I-[C:2]_10_00_00,2,184
184,[c:1]1:[c:2]:[n:3]:[n:4]:[n:5]:1>>[C:1]#[C:2].C-[Si](-C)(-C)-[N:3]=[N:4]=[N:5]_0000-1_0001-1_00000,2,185
185,[C:2]-[N:1]-[C:3]-[C:4]>>[N:1].O-[C:2].[C:3]=[C:4]_200-1_0000_0000,2,186
186,[S:1]-[C:2]>>[S:1].I-[C:2]_00_-10_00,2,187
187,[c:1]-[Sn:2]>>I-[c:1].[Cl]-[Sn:2]_00_00_00,2,188
188,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_01,2,189
189,[C:1]-[c:2]>>Cl-[C:1].I-[c:2]_00_00_00,2,190
190,[C:1]-[Cl:2]>>O-[C:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_20,2,191
191,[N:1]=[C:2]>>[N:1].S=[C:2]_20_00_00,2,192
192,[c:1]:[c:2]:[c:3]>>Br-[c:1].[C:2]=[C:3]_010_000_000,2,193
193,[C:1]-[P:3]=[O:2]>>Cl-[C:1].C-[O:2]-[P:3]_000_000_000,2,194
194,[c:1]-[C:2]>>Cl-[c:1].I-[C:2]_00_00_00,2,195
195,[c:1]-[C:2]>>I-[c:1].C-B1-O-B(-C)-O-B(-[C:2])-O-1_00_00_00,2,196
196,[c:1]:[n:2]:[c:3]:[n:4]>>O=[C:1].[N:2]\[C:3]=[N:4]_0200_0000_0000,2,197
197,[O:1]-[C:3]-[C:4]-[O:2]>>[O:1].[O:2].O-[C:3]-[C:4]-O_1100_0000_0000,2,198
198,[N:4]-[C:3]-[C:2]=[C:1]>>[c:1]:[c:2]:[c:3]:[n:4]_00-1-1_0000_0000,2,199
199,[c:1]:[n:2]:[c:3]:[c:4]>>C-C-O-[C:1].[N:2]-[C:3]=[C:4]_0100_0000_0000,2,200
200,[c:1]:[n:3]:[n:4]:[c:2]>>Cl-[c:1].O=[C:2].[N:3]-[N:4]_0012_0000_0000,2,201
201,[c:1]1:[n:3]:[n:4]:[n:5]:[n:2]:1>>[C:1]#[N:2].[CH3]-[Sn](-[CH3])(-[CH3])-[N:3]=[N:4]=[N:5]_00-100_0001-1_00000,2,202
202,[n:1]:[c:2]>>[N:1].C-C-O-[C:2]_10_00_00,2,203
203,[C:1]-[c:2]>>Cl-[C:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,2,204
204,[c:4]1:[c:3]:[n:1]:[n:2]:[c:5]:1>>[N:1]-[N:2].O=[C:3]-[C:4]-[C:5]=O_12010_00000_00000,2,205
205,[Sn:1]-[C:2]=[C:3]>>[Sn:1].[C:2]#[C:3]_10-1_000_000,2,206
206,[c:1]-[Sn:2]>>Br-[c:1].[CH3]-[Sn](-[CH3])(-[CH3])-[Sn:2]_00_00_00,2,207
207,[C:1]-[c:2]>>Br-[C:1].Br-[c:2]_00_00_00,2,208
208,[c:2]1:[n:1]:[s:5]:[c:4]:[c:3]:1>>[N:1]-[C:2]=[C:3]-[C:4]=[S:5]_20000_00000_00000,2,209
209,[N:1]-[C:2]>>[N:1].C-C(=C)-C(=O)-O-[C:2]_10_00_00,2,210
210,[C:1]1-[C:2]-[C:3]-[C:4]=[C:5]-[C:6]-1>>[C:1]=[C:2].[C:3]=[C:4]/[C:5]=[C:6]_000000_000000_000000,2,211
211,[C:2]=[C:3]/[Sn:1]>>[Sn:1].[C:2]#[C:3]_1-10_000_000,2,212
212,[O:6]-[c:4](:[n:5]):[c:3]:[c:2]:[c:1]>>[c:1].O=[C:2]-[C:3]-[C:4](-[N:5])=[O:6]_10101-1_000000_000000,2,213
213,[c:1]-[C:2]>>F-[c:1].[C:2]-[Mg+]_00_00_00,2,214
214,[c:1]:[n:2]:[c:3]:[n:4]>>C-C-O-[C:1].[N:2]=[C:3]\[N:4]_0100_0000_0000,2,215
215,[c:1]:[s:2]:[c:3]:[c:4]>>Cl-[c:1].[S:2]-[C:3]=[C:4]_0100_0000_0000,2,216
