mol_idx,top_score,uq,pred_top1,true_reactants,error
10,0.205,0.795,CC(=O)c1nc2cc(N)ccc2s1.Cc1cc(/C=C/C(F)(F)F)ccc1C(=O)O,[CH3:1][c:2]1[cH:3][c:4](/[CH:5]=[CH:6]/[C:7]([F:8])([F:9])[F:10])[cH:11][cH:12][c:13]1[C:14](=[O:15])[NH:16][c:17]1[cH:18][cH:19][c:20]2[s:21][c:22]([CH:23]([CH3:24])[OH:25])[n:26][c:27]2[cH:28]1,1
11,0.408,0.5920000000000001,CCOC(=O)C1CCC(=O)CC1.OCCO,O[CH2:1][CH2:2][OH:3].[CH3:4][CH2:5][O:6][C:7](=[O:8])[CH:9]1[CH2:10][CH2:11][C:12](=[O:13])[CH2:14][CH2:15]1,0
12,0.678,0.32199999999999995,CCCCc1ncc(C(C)=O)[nH]1.Clc1ccccc1CBr,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[n:6][cH:7][c:8]([CH:9]([CH3:10])[OH:11])[n:12]1[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][c:19]1[Cl:20],1
13,0.768,0.23199999999999998,CC1(c2cc3cccnc3[nH]2)CC1.O=C(OO)c1cccc(Cl)c1,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][C:3]1([c:4]2[cH:5][c:6]3[cH:7][cH:8][cH:9][n:10][c:11]3[nH:12]2)[CH2:13][CH2:14]1,0
14,0.429,0.571,O=[N+]([O-])c1cc(CO)ccc1F,[O:1]=[N+:2]([O-:3])[c:4]1[cH:5][c:6]([CH2:7][OH:8])[cH:9][cH:10][c:11]1[F:12],0
15,0.224,0.776,C#Cc1cccc(C)n1.Cn1nccc1-c1ccc(I)cc1,Br[c:1]1[cH:2][cH:3][c:4](-[c:5]2[n:6]([CH3:7])[n:8][cH:9][cH:10]2)[cH:11][cH:12]1.C[Si](C)(C)[C:13]#[C:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH3:20])[n:21]1,1
16,0.63,0.37,Nc1ccc(Br)cc1[N+](=O)[O-].OB(O)c1c(F)cccc1C(F)(F)F,Br[c:1]1[c:2]([F:3])[cH:4][cH:5][cH:6][c:7]1[C:8]([F:9])([F:10])[F:11].CC1(C)OB([c:12]2[cH:13][cH:14][c:15]([NH2:16])[c:17]([N+:18](=[O:19])[O-:20])[cH:21]2)OC1(C)C,1
17,0.225,0.775,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(Br)cn1.CCOC(=O)c1cn(C(CC)CO)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2c1=O,CC1(C)OB([c:1]2[c:2](-[c:3]3[n:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][s:11]3)[cH:12][c:13]([NH:14][C:15]([NH:16][CH2:17][CH3:18])=[O:19])[n:20][cH:21]2)OC1(C)C.I[c:22]1[cH:23][cH:24][c:25]2[n:26]([CH:27]([CH2:28][CH3:29])[CH2:30][OH:31])[cH:32][c:33]([C:34]([O:35][CH2:36][CH3:37])=[O:38])[c:39](=[O:40])[c:41]2[cH:42]1,1
18,0.313,0.687,N.O=C(c1ccccc1)c1cc(Br)cnc1Cl,CON(C)[C:1](=[O:2])[c:3]1[cH:4][c:5]([Br:6])[cH:7][n:8][c:9]1[NH2:10].[Mg+][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1
19,0.199,0.8009999999999999,CC(C)(C)OC(=O)CCOCCc1cccc(Br)c1.COCCn1cc(B2OC(C)(C)C(C)(C)O2)cn1,Br[c:1]1[cH:2][cH:3][cH:4][c:5]([CH2:6][CH2:7][O:8][CH2:9][CH2:10][C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[cH:18]1.CC1(C)OB([c:19]2[cH:20][n:21]([CH2:22][CH2:23][O:24][CH3:25])[n:26][cH:27]2)OC1(C)C,0
20,0.647,0.353,CCOC(=O)CC(C)=O.CCn1nnnc1C(C=CC=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,[CH3:1][CH2:2][n:3]1[n:4][n:5][n:6][c:7]1[C:8]([CH:9]=[CH:10][CH:11]=[O:12])=[C:13]([c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]1)[c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1.[CH3:28][CH2:29][O:30][C:31](=[O:32])[CH2:33][C:34]([CH3:35])=[O:36],0
21,0.198,0.802,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1.Cn1nccc1B1OC(C)(C)C(C)(C)O1,CC1(C)OB([c:1]2[n:2]([CH3:3])[n:4][cH:5][cH:6]2)OC1(C)C.Cl[c:7]1[c:8]([N:9]2[c:10]3[cH:11][cH:12][c:13]([S:14]([N:15]([CH2:16][c:17]4[cH:18][cH:19][c:20]([O:21][CH3:22])[cH:23][cH:24]4)[c:25]4[n:26][cH:27][cH:28][s:29]4)(=[O:30])=[O:31])[cH:32][c:33]3[O:34][CH2:35][CH2:36]2)[cH:37][cH:38][c:39]([C:40]([F:41])([F:42])[F:43])[cH:44]1,1
22,0.324,0.6759999999999999,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.Nc1c(C2=CCNCC2)cccc1[N+](=O)[O-],CC1(C)OB([C:1]2=[CH:2][CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][CH2:13]2)OC1(C)C.Cl[c:14]1[c:15]([NH2:16])[c:17]([N+:18](=[O:19])[O-:20])[cH:21][cH:22][cH:23]1,1
23,0.311,0.6890000000000001,Brc1ccccn1.OB(O)c1cccc(Br)c1,Br[c:1]1[cH:2][cH:3][cH:4][cH:5][n:6]1.OB(O)[c:7]1[cH:8][cH:9][cH:10][c:11]([Br:12])[cH:13]1,0
24,0.172,0.8280000000000001,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C.FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1,Br[c:1]1[n:2][cH:3][n:4](-[c:5]2[cH:6][cH:7][c:8]([O:9][C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[n:16]1.CC1(C)OB([c:17]2[cH:18][cH:19][c:20]([C:21]([O:22][CH3:23])=[O:24])[c:25]([CH3:26])[cH:27]2)OC1(C)C,0
25,0.663,0.33699999999999997,FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2.OB(O)c1cccnc1F,Br[c:1]1[cH:2][c:3]2[c:4]([cH:5][cH:6]1)[O:7][CH2:8][CH2:9][n:10]1[cH:11][c:12](-[c:13]3[n:14]([CH2:15][C:16]([F:17])([F:18])[F:19])[n:20][cH:21][n:22]3)[n:23][c:24]1-2.OB(O)[c:25]1[cH:26][cH:27][cH:28][n:29][c:30]1[F:31],0
26,0.208,0.792,Brc1nnc(-c2ccccc2)s1.CC1(C)OB(c2ccc3c(c2)CC(=O)N3)OC1(C)C,Br[c:1]1[n:2][n:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[s:11]1.CC1(C)OB([c:12]2[cH:13][cH:14][c:15]3[c:16]([cH:17]2)[CH2:18][C:19](=[O:20])[NH:21]3)OC1(C)C,0
27,0.306,0.694,C#C[Si](C)(C)C.Nc1cnc(Cl)cc1-c1cc(-c2ccc(CN3CCCCC3)cc2)cnc1F,Br[c:1]1[n:2][cH:3][c:4]([NH2:5])[c:6](-[c:7]2[cH:8][c:9](-[c:10]3[cH:11][cH:12][c:13]([CH2:14][N:15]4[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]4)[cH:21][cH:22]3)[cH:23][n:24][c:25]2[F:26])[cH:27]1.[CH:28]#[C:29][Si:30]([CH3:31])([CH3:32])[CH3:33],1
28,0.31,0.69,Brc1ccc2ccccc2c1.OB(O)c1ccnc(F)c1,I[c:1]1[cH:2][c:3]([F:4])[n:5][cH:6][cH:7]1.OB(O)[c:8]1[cH:9][cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17]1,1
29,0.593,0.40700000000000003,Cc1ccc(C(C)(C)C#N)cc1.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])([CH3:9])[C:10]#[N:11])[cH:12][cH:13]1,0
30,0.35,0.65,CCNC(=O)Nc1cc(Cl)c(Br)cn1.CCOC(=O)c1cncc(B2OC(C)(C)C(C)(C)O2)c1,Br[c:1]1[c:2]([Cl:3])[cH:4][c:5]([NH:6][C:7]([NH:8][CH2:9][CH3:10])=[O:11])[n:12][cH:13]1.CC1(C)OB([c:14]2[cH:15][n:16][cH:17][c:18]([C:19]([O:20][CH2:21][CH3:22])=[O:23])[cH:24]2)OC1(C)C,0
31,0.822,0.17800000000000005,COc1ncc(B(O)O)cn1.Cc1c2n(c3c(Br)cc(F)cc13)CCNC2=O,Br[c:1]1[c:2]2[n:3]3[c:4]([c:5]([CH3:6])[c:7]2[cH:8][c:9]([F:10])[cH:11]1)[C:12](=[O:13])[NH:14][CH2:15][CH2:16]3.OB(O)[c:17]1[cH:18][n:19][c:20]([O:21][CH3:22])[n:23][cH:24]1,0
32,0.83,0.17000000000000004,CCOP(=O)(OCC)c1ccc([N+](=O)[O-])cc1,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]([P:6]([O:7][CH2:8][CH3:9])(=[O:10])[O:11][CH2:12][CH3:13])[cH:14][cH:15]1,0
33,0.783,0.21699999999999997,O=C1c2ccccc2C(=O)N1C1CCc2[nH]c3ccc([N+](=O)[O-])cc3c2C1,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]2[nH:6][c:7]3[c:8]([c:9]2[cH:10]1)[CH2:11][CH:12]([N:13]1[C:14](=[O:15])[c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]2[C:22]1=[O:23])[CH2:24][CH2:25]3,0
34,0.582,0.41800000000000004,Cc1ccc(S(=O)(=O)n2cc(C(=O)c3cccc(N)c3)c3cc(Br)cnc32)cc1.OB(O)c1cccnc1,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][cH:5][c:6]([C:7]([c:8]2[cH:9][n:10]([S:11]([c:12]3[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]3)(=[O:19])=[O:20])[c:21]3[c:22]2[cH:23][c:24](-[c:25]2[cH:26][cH:27][cH:28][n:29][cH:30]2)[cH:31][n:32]3)=[O:33])[cH:34]1,1
35,0.555,0.44499999999999995,CC(C)(C)OC(=O)N[C@H](C=O)Cc1ccccc1.[CH3][Mg+],[CH3:1][C:2](=[O:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19],1
36,0.858,0.14200000000000002,COC(=O)c1cc(Br)c(F)c([N+](=O)[O-])c1OC,O=[N+:1]([O-])[c:2]1[c:3]([F:4])[c:5]([Br:6])[cH:7][c:8]([C:9]([O:10][CH3:11])=[O:12])[c:13]1[O:14][CH3:15],0
37,0.701,0.29900000000000004,O=C(CCn1ccnc1)c1ccc2c(c1)Cc1ccccc1-2,[O:1]=[C:2]([CH2:3][CH2:4][n:5]1[cH:6][cH:7][n:8][cH:9]1)[c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1-2,0
38,0.475,0.525,C#CCN(C)C.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)Nc2cnc3c(c2)cc(I)n3S(=O)(=O)c2ccccc2)c1F,I[c:1]1[cH:2][c:3]2[c:4]([n:5][cH:6][c:7]([NH:8][C:9]([c:10]3[c:11]([F:12])[cH:13][cH:14][c:15]([NH:16][S:17]([CH2:18][CH2:19][CH3:20])(=[O:21])=[O:22])[c:23]3[F:24])=[O:25])[cH:26]2)[n:27]1[S:28](=[O:29])(=[O:30])[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1.[CH:37]#[C:38][CH2:39][N:40]([CH3:41])[CH3:42],0
39,0.972,0.028000000000000025,COC(=O)c1cc(C)ccn1.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([CH3:9])[cH:10][cH:11][n:12]1,0
40,0.702,0.29800000000000004,O=C1C(=Cc2cccnc2)CCc2ccc(Br)cc21,[O:1]=[C:2]1[C:3](=[CH:4][c:5]2[cH:6][cH:7][cH:8][n:9][cH:10]2)[CH2:11][CH2:12][c:13]2[cH:14][cH:15][c:16]([Br:17])[cH:18][c:19]21,0
41,0.972,0.028000000000000025,Cc1ccc(C#N)cn1.O=C(OO)c1cccc(Cl)c1,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][c:3]1[cH:4][cH:5][c:6]([C:7]#[N:8])[cH:9][n:10]1,0
42,0.914,0.08599999999999997,CC(C)(C)CC1NC(C(=O)O)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12.Nc1cc[nH]c(=O)c1,O[C:1]([CH:2]1[NH:3][CH:4]([CH2:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10]2([CH:11]1[c:12]1[cH:13][cH:14][cH:15][c:16]([Cl:17])[c:18]1[F:19])[C:20](=[O:21])[NH:22][c:23]1[cH:24][c:25]([Cl:26])[cH:27][cH:28][c:29]12)=[O:30].[NH2:31][c:32]1[cH:33][c:34](=[O:35])[nH:36][cH:37][cH:38]1,0
43,0.517,0.483,CC1(C2NC(=O)CC(c3cccc(Cl)c3)C23C(=O)Nc2cc(Br)ccc23)CC1.NC(=O)CBr,Br[CH2:1][C:2]([NH2:3])=[O:4].[CH3:5][C:6]1([CH:7]2[NH:8][C:9](=[O:10])[CH2:11][CH:12]([c:13]3[cH:14][cH:15][cH:16][c:17]([Cl:18])[cH:19]3)[C:20]23[C:21](=[O:22])[NH:23][c:24]2[cH:25][c:26]([Br:27])[cH:28][cH:29][c:30]23)[CH2:31][CH2:32]1,0
44,0.6,0.4,CC(=O)N1CCc2sc(C)c(C(=O)CCCCl)c2C1.Fc1ccc2c(C3CCNCC3)noc2c1,Cl[CH2:1][CH2:2][CH2:3][C:4]([c:5]1[c:6]([CH3:7])[s:8][c:9]2[c:10]1[CH2:11][N:12]([C:13]([CH3:14])=[O:15])[CH2:16][CH2:17]2)=[O:18].[F:19][c:20]1[cH:21][cH:22][c:23]2[c:24]([CH:25]3[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]3)[n:31][o:32][c:33]2[cH:34]1,0
45,0.368,0.632,CC1=CCCC(C)(C)C1/C=C/C(C)N(C)C.Clc1ccc(CBr)c(Cl)c1,[CH3:1][C:2]1=[CH:3][CH2:4][CH2:5][C:6]([CH3:7])([CH3:8])[CH:9]1/[CH:10]=[CH:11]/[CH:12]([CH3:13])[N:14]([CH3:15])[CH3:16].Cl[CH2:18][c:19]1[cH:20][cH:21][c:22]([Cl:23])[cH:24][c:25]1[Cl:26],1
46,0.186,0.8140000000000001,COc1cccc2c1CC(NC1CCC1)CO2.O=CCCCc1c[nH]c2ccc(F)cc12,O=[C:1]1[CH2:2][CH2:3][CH2:4]1.[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[CH2:13][CH:14]([NH:15][CH2:16][CH2:17][CH2:18][CH2:19][c:20]1[cH:21][nH:22][c:23]3[cH:24][cH:25][c:26]([F:27])[cH:28][c:29]13)[CH2:30][O:31]2,1
47,0.562,0.43799999999999994,COC(=O)OCc1cccc(N)c1.O=C(O)c1nc(-c2ccccc2)[nH]c1CCC12CC3CC(CC(C3)C1)C2,CCO[C:1](=[O:2])[c:3]1[n:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[nH:12][c:13]1[CH2:14][CH2:15][C:16]12[CH2:17][CH:18]3[CH2:19][CH:20]([CH2:21][CH:22]([CH2:23]3)[CH2:24]1)[CH2:25]2.[CH3:26][O:27][C:28](=[O:29])[O:30][CH2:31][c:32]1[cH:33][cH:34][cH:35][c:36]([NH2:37])[cH:38]1,1
48,0.601,0.399,COc1ccc(Cl)cc1-c1ccnc(Cl)c1.OC1CCC1,Cl[c:1]1[n:2][cH:3][cH:4][c:5](-[c:6]2[c:7]([O:8][CH3:9])[cH:10][cH:11][c:12]([Cl:13])[cH:14]2)[cH:15]1.[OH:16][CH:17]1[CH2:18][CH2:19][CH2:20]1,0
49,0.68,0.31999999999999995,COC(=O)CN.COc1ccc([N+](=O)[O-])c(Cl)n1,Cl[c:1]1[c:2]([N+:3](=[O:4])[O-:5])[cH:6][cH:7][c:8]([O:9][CH3:10])[n:11]1.[CH3:12][O:13][C:14](=[O:15])[CH2:16][NH2:17],0
50,0.6,0.4,CN(CCCCN1CCNCCC1=O)C1CCOCC1.O=C(O)/C=C/c1ccc(Cl)c(Cl)c1,I[CH2:9][CH2:10][CH2:11][CH2:12][N:13]1[C:14](=[O:15])[CH2:16][CH2:17][N:18]([C:19](=[O:20])/[CH:21]=[CH:22]/[c:23]2[cH:24][cH:25][c:26]([Cl:27])[c:28]([Cl:29])[cH:30]2)[CH2:31][CH2:32]1.[CH3:1][NH:2][CH:3]1[CH2:4][CH2:5][O:6][CH2:7][CH2:8]1,1
51,0.262,0.738,OC1CN2CCC1CC2.Oc1ccc(I)cc1,I[c:1]1[cH:2][cH:3][c:4]([I:5])[cH:6][cH:7]1.[OH:8][CH:9]1[CH2:10][N:11]2[CH2:12][CH2:13][CH:14]1[CH2:15][CH2:16]2,1
52,0.683,0.31699999999999995,C[C@H](N)C(=O)NCC1CCN(C(=O)OC(C)(C)C)CC1.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Cl)cc2Cl)cc1,O[C:1]([C@H:2]([CH3:3])[NH:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[O:21][c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][c:28]2[Cl:29])[cH:30][cH:31]1)=[O:32].[CH3:33][C:34]([CH3:35])([CH3:36])[O:37][C:38](=[O:39])[N:40]1[CH2:41][CH2:42][CH:43]([CH2:44][NH2:45])[CH2:46][CH2:47]1,1
53,0.571,0.42900000000000005,C=CC(=O)OC(C)(C)C.CN(C)CCN1Cc2cc(Br)cnc2NC1=O,Br[c:1]1[cH:2][c:3]2[c:4]([n:5][cH:6]1)[NH:7][C:8](=[O:9])[N:10]([CH2:11][CH2:12][N:13]([CH3:14])[CH3:15])[CH2:16]2.[CH2:17]=[CH:18][C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25],0
54,0.59,0.41000000000000003,CC[C@H](C)N.COC(=O)c1cc(Cl)nc(C(F)F)c1,Cl[c:1]1[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[cH:8][c:9]([CH:10]([F:11])[F:12])[n:13]1.[CH3:14][CH2:15][C@H:16]([CH3:17])[NH2:18],0
55,0.882,0.118,CC(C)(C)OC(=O)N1CCC[C@H](N)[C@@H]1c1ccccc1.COc1cc(OC)c(CC(F)(F)F)cc1C=O,O=[CH:1][c:2]1[c:3]([O:4][CH3:5])[cH:6][c:7]([O:8][CH3:9])[c:10]([CH2:11][C:12]([F:13])([F:14])[F:15])[cH:16]1.[CH3:17][C:18]([CH3:19])([CH3:20])[O:21][C:22](=[O:23])[N:24]1[CH2:25][CH2:26][CH2:27][CH:28]([NH2:29])[CH:30]1[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1,1
56,0.932,0.06799999999999995,CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F.FC(F)(F)c1nnc2n1CCNC2,O[C:1]([CH2:2][CH:3]([NH:4][C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][c:13]1[cH:14][c:15]([F:16])[c:17]([F:18])[cH:19][c:20]1[F:21])=[O:22].[F:23][C:24]([F:25])([F:26])[c:27]1[n:28][n:29][c:30]2[n:31]1[CH2:32][CH2:33][NH:34][CH2:35]2,1
57,0.901,0.09899999999999998,O=C1CCc2cc(F)ccc21,[O:1]=[C:2]1[CH2:3][CH2:4][c:5]2[cH:6][c:7]([F:8])[cH:9][cH:10][c:11]21,0
58,0.324,0.6759999999999999,CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(C)C.COC(=O)CCC=O,I[CH2:1][CH2:2][CH2:3][C:4]([O:5][CH3:6])=[O:7].[CH3:8][NH:9][C:10](=[O:11])[C@H:12]([CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[NH:20][C:21](=[O:22])[C@@H:23]([NH2:24])[CH2:25][CH:26]([CH3:27])[CH3:28],1
59,0.172,0.8280000000000001,COC(=O)c1cc(C=O)cc(N2CCCC2=O)c1,O=[C:1]([c:2]1[cH:3][c:4]([C:5]([O:6][CH3:7])=[O:8])[cH:9][c:10]([N:11]2[CH2:12][CH2:13][CH2:14][C:15]2=[O:16])[cH:17]1)[OH:18],1
60,0.471,0.529,NC1CC1.O=Cc1c(F)cccc1[N+](=O)[O-],Br[CH2:1][c:2]1[c:3]([N+:4](=[O:5])[O-:6])[cH:7][cH:8][cH:9][c:10]1[F:11].[NH2:12][CH:13]1[CH2:14][CH2:15]1,1
61,0.798,0.20199999999999996,CCCC(N)C(O)c1nnc(CC)o1.O=C(O)C(CC(=O)N1CCOCC1)CC1CCCCC1,O[C:1](=[O:2])[CH:3]([CH2:4][C:5](=[O:6])[N:7]1[CH2:8][CH2:9][O:10][CH2:11][CH2:12]1)[CH2:13][CH:14]1[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]1.[CH3:20][CH2:21][CH2:22][CH:23]([NH2:24])[CH:25]([OH:26])[c:27]1[n:28][n:29][c:30]([CH2:31][CH3:32])[o:33]1,0
62,0.809,0.19099999999999995,COc1nc(Cl)cnc1N.Cc1ccc(S(=O)(=O)Cl)s1,Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[s:7]1)(=[O:8])=[O:9].[CH3:10][O:11][c:12]1[n:13][c:14]([Cl:15])[cH:16][n:17][c:18]1[NH2:19],0
63,0.224,0.776,CC(=O)OC(C)=O.COc1ccc2cc(-c3ccc(N)c(OC)c3)ccc2c1,Cl[C:1]([CH3:2])=[O:3].[CH3:4][O:5][c:6]1[cH:7][cH:8][c:9]2[cH:10][c:11](-[c:12]3[cH:13][cH:14][c:15]([NH2:16])[c:17]([O:18][CH3:19])[cH:20]3)[cH:21][cH:22][c:23]2[cH:24]1,1
64,0.613,0.387,COc1c(F)cc(C(=O)O)cc1F.Cc1ccc2nc(-c3ccc(N)cc3)cn2c1,O[C:1]([c:2]1[cH:3][c:4]([F:5])[c:6]([O:7][CH3:8])[c:9]([F:10])[cH:11]1)=[O:12].[CH3:13][c:14]1[cH:15][cH:16][c:17]2[n:18][c:19](-[c:20]3[cH:21][cH:22][c:23]([NH2:24])[cH:25][cH:26]3)[cH:27][n:28]2[cH:29]1,0
