mol_idx,top_score,uq,pred_top1,true_reactants,error,ensemble_mean_score,ensemble_std_score,ensemble_uq
17,0.363,0.637,CCNC(=O)Nc1cc(-c2nc(C(F)(F)F)cs2)c(-c2ccc3c(c2)c(=O)c(C(=O)OCC)cn3C(CC)CO[Si](C)(C)C(C)(C)C)cn1,CC1(C)OB([c:1]2[c:2](-[c:3]3[n:4][c:5]([C:6]([F:7])([F:8])[F:9])[cH:10][s:11]3)[cH:12][c:13]([NH:14][C:15]([NH:16][CH2:17][CH3:18])=[O:19])[n:20][cH:21]2)OC1(C)C.I[c:22]1[cH:23][cH:24][c:25]2[n:26]([CH:27]([CH2:28][CH3:29])[CH2:30][OH:31])[cH:32][c:33]([C:34]([O:35][CH2:36][CH3:37])=[O:38])[c:39](=[O:40])[c:41]2[cH:42]1,1,0.28625,0.05666292879828927,0.71375
18,0.1,0.9,Nc1ncc(Br)cc1C(O)c1ccccc1,CON(C)[C:1](=[O:2])[c:3]1[cH:4][c:5]([Br:6])[cH:7][n:8][c:9]1[NH2:10].[Mg+][c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1,1,0.15075,0.03219763190049851,0.8492500000000001
19,0.205,0.795,CC(C)(C)OC(=O)CCOCCc1cccc(-c2cn[nH]c2)c1.COCCBr,Br[c:1]1[cH:2][cH:3][cH:4][c:5]([CH2:6][CH2:7][O:8][CH2:9][CH2:10][C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[cH:18]1.CC1(C)OB([c:19]2[cH:20][n:21]([CH2:22][CH2:23][O:24][CH3:25])[n:26][cH:27]2)OC1(C)C,1,0.24925,0.10861946188413935,0.75075
20,0.522,0.478,CCOC(=O)CC(C)=O.CCn1nnnc1C(C=CC=O)=C(c1ccc(F)cc1)c1ccc(F)cc1,[CH3:1][CH2:2][n:3]1[n:4][n:5][n:6][c:7]1[C:8]([CH:9]=[CH:10][CH:11]=[O:12])=[C:13]([c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][cH:20]1)[c:21]1[cH:22][cH:23][c:24]([F:25])[cH:26][cH:27]1.[CH3:28][CH2:29][O:30][C:31](=[O:32])[CH2:33][C:34]([CH3:35])=[O:36],0,0.5985,0.18926766760331779,0.40149999999999997
21,0.268,0.732,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc3c(c2)OCCN3c2ccc(C(F)(F)F)cc2Br)cc1.Cn1nccc1B(O)O,CC1(C)OB([c:1]2[n:2]([CH3:3])[n:4][cH:5][cH:6]2)OC1(C)C.Cl[c:7]1[c:8]([N:9]2[c:10]3[cH:11][cH:12][c:13]([S:14]([N:15]([CH2:16][c:17]4[cH:18][cH:19][c:20]([O:21][CH3:22])[cH:23][cH:24]4)[c:25]4[n:26][cH:27][cH:28][s:29]4)(=[O:30])=[O:31])[cH:32][c:33]3[O:34][CH2:35][CH2:36]2)[cH:37][cH:38][c:39]([C:40]([F:41])([F:42])[F:43])[cH:44]1,1,0.23700000000000002,0.06042350536008318,0.763
22,0.311,0.6890000000000001,CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1.Nc1c(Br)cccc1[N+](=O)[O-],CC1(C)OB([C:1]2=[CH:2][CH2:3][N:4]([C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][CH2:13]2)OC1(C)C.Cl[c:14]1[c:15]([NH2:16])[c:17]([N+:18](=[O:19])[O-:20])[cH:21][cH:22][cH:23]1,1,0.31125,0.06840458683450985,0.68875
23,0.315,0.685,Brc1ccccn1.OB(O)c1cccc(Br)c1,Br[c:1]1[cH:2][cH:3][cH:4][cH:5][n:6]1.OB(O)[c:7]1[cH:8][cH:9][cH:10][c:11]([Br:12])[cH:13]1,0,0.34550000000000003,0.0765653315802916,0.6545
24,0.167,0.833,COC(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1C.FC(F)(F)Oc1ccc(-n2cnc(Br)n2)cc1,Br[c:1]1[n:2][cH:3][n:4](-[c:5]2[cH:6][cH:7][c:8]([O:9][C:10]([F:11])([F:12])[F:13])[cH:14][cH:15]2)[n:16]1.CC1(C)OB([c:17]2[cH:18][cH:19][c:20]([C:21]([O:22][CH3:23])=[O:24])[c:25]([CH3:26])[cH:27]2)OC1(C)C,0,0.20700000000000002,0.05216799785308996,0.7929999999999999
25,0.533,0.4669999999999999,FC(F)(F)Cn1ncnc1-c1cn2c(n1)-c1cc(Br)ccc1OCC2.OB(O)c1cccnc1F,Br[c:1]1[cH:2][c:3]2[c:4]([cH:5][cH:6]1)[O:7][CH2:8][CH2:9][n:10]1[cH:11][c:12](-[c:13]3[n:14]([CH2:15][C:16]([F:17])([F:18])[F:19])[n:20][cH:21][n:22]3)[n:23][c:24]1-2.OB(O)[c:25]1[cH:26][cH:27][cH:28][n:29][c:30]1[F:31],0,0.6605,0.09801658023008147,0.3395
26,0.167,0.833,Brc1nnc(-c2ccccc2)s1.CC1(C)OB(c2ccc3c(c2)CC(=O)N3)OC1(C)C,Br[c:1]1[n:2][n:3][c:4](-[c:5]2[cH:6][cH:7][cH:8][cH:9][cH:10]2)[s:11]1.CC1(C)OB([c:12]2[cH:13][cH:14][c:15]3[c:16]([cH:17]2)[CH2:18][C:19](=[O:20])[NH:21]3)OC1(C)C,0,0.25275000000000003,0.05583177858531824,0.74725
27,0.264,0.736,C#C[Si](C)(C)C.Nc1cnc(Cl)cc1-c1cc(-c2ccc(CN3CCCCC3)cc2)cnc1F,Br[c:1]1[n:2][cH:3][c:4]([NH2:5])[c:6](-[c:7]2[cH:8][c:9](-[c:10]3[cH:11][cH:12][c:13]([CH2:14][N:15]4[CH2:16][CH2:17][CH2:18][CH2:19][CH2:20]4)[cH:21][cH:22]3)[cH:23][n:24][c:25]2[F:26])[cH:27]1.[CH:28]#[C:29][Si:30]([CH3:31])([CH3:32])[CH3:33],1,0.18725,0.0695139374514205,0.81275
28,0.312,0.688,Brc1ccc2ccccc2c1.OB(O)c1ccnc(F)c1,I[c:1]1[cH:2][c:3]([F:4])[n:5][cH:6][cH:7]1.OB(O)[c:8]1[cH:9][cH:10][c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17]1,1,0.3195,0.09832725969943432,0.6805
29,0.585,0.415,Cc1ccc(C(C)(C)C#N)cc1.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2][c:3]1[cH:4][cH:5][c:6]([C:7]([CH3:8])([CH3:9])[C:10]#[N:11])[cH:12][cH:13]1,0,0.6117499999999999,0.08452033778919724,0.3882500000000001
30,0.514,0.486,CCN=C=O.CCOC(=O)c1cncc(-c2cnc(N)cc2Cl)c1,Br[c:1]1[c:2]([Cl:3])[cH:4][c:5]([NH:6][C:7]([NH:8][CH2:9][CH3:10])=[O:11])[n:12][cH:13]1.CC1(C)OB([c:14]2[cH:15][n:16][cH:17][c:18]([C:19]([O:20][CH2:21][CH3:22])=[O:23])[cH:24]2)OC1(C)C,1,0.31375000000000003,0.13587747237861028,0.68625
31,0.697,0.303,COc1ncc(B(O)O)cn1.Cc1c2n(c3c(Br)cc(F)cc13)CCNC2=O,Br[c:1]1[c:2]2[n:3]3[c:4]([c:5]([CH3:6])[c:7]2[cH:8][c:9]([F:10])[cH:11]1)[C:12](=[O:13])[NH:14][CH2:15][CH2:16]3.OB(O)[c:17]1[cH:18][n:19][c:20]([O:21][CH3:22])[n:23][cH:24]1,0,0.7319999999999999,0.02829310870159024,0.2680000000000001
32,0.856,0.144,CCOP(=O)(OCC)c1ccc([N+](=O)[O-])cc1,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]([P:6]([O:7][CH2:8][CH3:9])(=[O:10])[O:11][CH2:12][CH3:13])[cH:14][cH:15]1,0,0.86325,0.015578430601315411,0.13675000000000004
33,0.893,0.1069999999999999,O=C1c2ccccc2C(=O)N1C1CCc2[nH]c3ccc([N+](=O)[O-])cc3c2C1,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][c:5]2[nH:6][c:7]3[c:8]([c:9]2[cH:10]1)[CH2:11][CH:12]([N:13]1[C:14](=[O:15])[c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]2[C:22]1=[O:23])[CH2:24][CH2:25]3,0,0.87575,0.026789690181112605,0.12424999999999997
34,0.605,0.395,Cc1ccc(S(=O)(=O)n2cc(C(=O)c3cccc(N)c3)c3cc(Br)cnc32)cc1.OB(O)c1cccnc1,O=[N+:1]([O-])[c:2]1[cH:3][cH:4][cH:5][c:6]([C:7]([c:8]2[cH:9][n:10]([S:11]([c:12]3[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]3)(=[O:19])=[O:20])[c:21]3[c:22]2[cH:23][c:24](-[c:25]2[cH:26][cH:27][cH:28][n:29][cH:30]2)[cH:31][n:32]3)=[O:33])[cH:34]1,1,0.627,0.05826233774918406,0.373
35,0.585,0.415,CC(C)(C)OC(=O)N[C@H](C=O)Cc1ccccc1.[CH3][Mg+],[CH3:1][C:2](=[O:3])[C@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19],1,0.5265,0.07571162394243039,0.47350000000000003
36,0.875,0.125,COC(=O)c1cc(Br)c(F)c([N+](=O)[O-])c1OC,O=[N+:1]([O-])[c:2]1[c:3]([F:4])[c:5]([Br:6])[cH:7][c:8]([C:9]([O:10][CH3:11])=[O:12])[c:13]1[O:14][CH3:15],0,0.8595,0.028341665441536802,0.14049999999999996
37,0.642,0.358,O=C(CCn1ccnc1)c1ccc2c(c1)Cc1ccccc1-2,[O:1]=[C:2]([CH2:3][CH2:4][n:5]1[cH:6][cH:7][n:8][cH:9]1)[c:10]1[cH:11][cH:12][c:13]2[c:14]([cH:15]1)[CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1-2,0,0.7262500000000001,0.06261140071903841,0.27374999999999994
38,0.449,0.5509999999999999,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)O)c1F.CN(C)CC#Cc1cc2cc(N)cnc2n1S(=O)(=O)c1ccccc1,I[c:1]1[cH:2][c:3]2[c:4]([n:5][cH:6][c:7]([NH:8][C:9]([c:10]3[c:11]([F:12])[cH:13][cH:14][c:15]([NH:16][S:17]([CH2:18][CH2:19][CH3:20])(=[O:21])=[O:22])[c:23]3[F:24])=[O:25])[cH:26]2)[n:27]1[S:28](=[O:29])(=[O:30])[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1.[CH:37]#[C:38][CH2:39][N:40]([CH3:41])[CH3:42],1,0.40549999999999997,0.030809901006007792,0.5945
39,0.937,0.0629999999999999,COC(=O)c1cc(C)ccn1.O=C1CCC(=O)N1Br,O=C1CCC(=O)N1[Br:1].[CH3:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([CH3:9])[cH:10][cH:11][n:12]1,0,0.9590000000000001,0.015937377450509205,0.040999999999999925
40,0.921,0.0789999999999999,O=C1C(=Cc2cccnc2)CCc2ccc(Br)cc21,[O:1]=[C:2]1[C:3](=[CH:4][c:5]2[cH:6][cH:7][cH:8][n:9][cH:10]2)[CH2:11][CH2:12][c:13]2[cH:14][cH:15][c:16]([Br:17])[cH:18][c:19]21,0,0.7015,0.18620620290419976,0.2985
41,0.969,0.031,Cc1ccc(C#N)cn1.O=C(OO)c1cccc(Cl)c1,O=C(O[OH:1])c1cccc(Cl)c1.[CH3:2][c:3]1[cH:4][cH:5][c:6]([C:7]#[N:8])[cH:9][n:10]1,0,0.9615,0.014221462653327905,0.03849999999999998
42,0.681,0.3189999999999999,CC(C)(C)CC1NC(C(=O)O)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12.Nc1cc[nH]c(=O)c1,O[C:1]([CH:2]1[NH:3][CH:4]([CH2:5][C:6]([CH3:7])([CH3:8])[CH3:9])[C:10]2([CH:11]1[c:12]1[cH:13][cH:14][cH:15][c:16]([Cl:17])[c:18]1[F:19])[C:20](=[O:21])[NH:22][c:23]1[cH:24][c:25]([Cl:26])[cH:27][cH:28][c:29]12)=[O:30].[NH2:31][c:32]1[cH:33][c:34](=[O:35])[nH:36][cH:37][cH:38]1,0,0.7312500000000001,0.09175885515850772,0.26874999999999993
43,0.578,0.422,CC1(C2N(CC(=O)O)C(=O)CC(c3cccc(Cl)c3)C23C(=O)Nc2cc(Br)ccc23)CC1.N,Br[CH2:1][C:2]([NH2:3])=[O:4].[CH3:5][C:6]1([CH:7]2[NH:8][C:9](=[O:10])[CH2:11][CH:12]([c:13]3[cH:14][cH:15][cH:16][c:17]([Cl:18])[cH:19]3)[C:20]23[C:21](=[O:22])[NH:23][c:24]2[cH:25][c:26]([Br:27])[cH:28][cH:29][c:30]23)[CH2:31][CH2:32]1,1,0.5109999999999999,0.14000357138301864,0.4890000000000001
44,0.404,0.596,CC(=O)N1CCc2sc(C)c(C(=O)CCCBr)c2C1.Fc1ccc2c(C3CCNCC3)noc2c1,Cl[CH2:1][CH2:2][CH2:3][C:4]([c:5]1[c:6]([CH3:7])[s:8][c:9]2[c:10]1[CH2:11][N:12]([C:13]([CH3:14])=[O:15])[CH2:16][CH2:17]2)=[O:18].[F:19][c:20]1[cH:21][cH:22][c:23]2[c:24]([CH:25]3[CH2:26][CH2:27][NH:28][CH2:29][CH2:30]3)[n:31][o:32][c:33]2[cH:34]1,1,0.43875000000000003,0.07891569869170519,0.56125
45,0.485,0.515,CC1=CCCC(C)(C)C1/C=C/C(C)Br.CN(C)Cc1ccc(Cl)cc1Cl,[CH3:1][C:2]1=[CH:3][CH2:4][CH2:5][C:6]([CH3:7])([CH3:8])[CH:9]1/[CH:10]=[CH:11]/[CH:12]([CH3:13])[N:14]([CH3:15])[CH3:16].Cl[CH2:18][c:19]1[cH:20][cH:21][c:22]([Cl:23])[cH:24][c:25]1[Cl:26],1,0.48800000000000004,0.10581351520481681,0.512
46,0.156,0.844,COc1cccc2c1CC(N(C(=O)CCCc1c[nH]c3ccc(F)cc13)C1CCC1)CO2,O=[C:1]1[CH2:2][CH2:3][CH2:4]1.[CH3:5][O:6][c:7]1[cH:8][cH:9][cH:10][c:11]2[c:12]1[CH2:13][CH:14]([NH:15][CH2:16][CH2:17][CH2:18][CH2:19][c:20]1[cH:21][nH:22][c:23]3[cH:24][cH:25][c:26]([F:27])[cH:28][c:29]13)[CH2:30][O:31]2,1,0.232,0.10215918950344116,0.768
47,0.173,0.827,COC(=O)OCc1cccc(N)c1.O=C(O)c1nc(-c2ccccc2)[nH]c1CCC12CC3CC(CC(C3)C1)C2,CCO[C:1](=[O:2])[c:3]1[n:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[nH:12][c:13]1[CH2:14][CH2:15][C:16]12[CH2:17][CH:18]3[CH2:19][CH:20]([CH2:21][CH:22]([CH2:23]3)[CH2:24]1)[CH2:25]2.[CH3:26][O:27][C:28](=[O:29])[O:30][CH2:31][c:32]1[cH:33][cH:34][cH:35][c:36]([NH2:37])[cH:38]1,1,0.2735,0.11141027780236437,0.7264999999999999
48,0.482,0.518,COc1ccc(Cl)cc1-c1ccnc(Cl)c1.OC1CCC1,Cl[c:1]1[n:2][cH:3][cH:4][c:5](-[c:6]2[c:7]([O:8][CH3:9])[cH:10][cH:11][c:12]([Cl:13])[cH:14]2)[cH:15]1.[OH:16][CH:17]1[CH2:18][CH2:19][CH2:20]1,0,0.373,0.06415216286299316,0.627
49,0.598,0.402,COC(=O)CN.COc1ccc([N+](=O)[O-])c(Cl)n1,Cl[c:1]1[c:2]([N+:3](=[O:4])[O-:5])[cH:6][cH:7][c:8]([O:9][CH3:10])[n:11]1.[CH3:12][O:13][C:14](=[O:15])[CH2:16][NH2:17],0,0.7572500000000001,0.11065571607467914,0.2427499999999999
50,0.608,0.392,CN(CCCCN1CCNCCC1=O)C1CCOCC1.O=C(O)/C=C/c1ccc(Cl)c(Cl)c1,I[CH2:9][CH2:10][CH2:11][CH2:12][N:13]1[C:14](=[O:15])[CH2:16][CH2:17][N:18]([C:19](=[O:20])/[CH:21]=[CH:22]/[c:23]2[cH:24][cH:25][c:26]([Cl:27])[c:28]([Cl:29])[cH:30]2)[CH2:31][CH2:32]1.[CH3:1][NH:2][CH:3]1[CH2:4][CH2:5][O:6][CH2:7][CH2:8]1,1,0.5740000000000001,0.15715756424684113,0.42599999999999993
51,0.303,0.6970000000000001,Fc1ccc(I)cc1.OC1CN2CCC1CC2,I[c:1]1[cH:2][cH:3][c:4]([I:5])[cH:6][cH:7]1.[OH:8][CH:9]1[CH2:10][N:11]2[CH2:12][CH2:13][CH:14]1[CH2:15][CH2:16]2,1,0.30174999999999996,0.02580092052621379,0.69825
52,0.69,0.31,C[C@H](N)C(=O)NCC1CCN(C(=O)OC(C)(C)C)CC1.O=C(O)c1ccc(S(=O)(=O)Nc2ccccc2Oc2ccc(Cl)cc2Cl)cc1,O[C:1]([C@H:2]([CH3:3])[NH:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([S:11](=[O:12])(=[O:13])[NH:14][c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[O:21][c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][c:28]2[Cl:29])[cH:30][cH:31]1)=[O:32].[CH3:33][C:34]([CH3:35])([CH3:36])[O:37][C:38](=[O:39])[N:40]1[CH2:41][CH2:42][CH:43]([CH2:44][NH2:45])[CH2:46][CH2:47]1,1,0.66525,0.03268313785425139,0.33475
53,0.599,0.401,C=CC(=O)OC(C)(C)C.CN(C)CCN1Cc2cc(Br)cnc2NC1=O,Br[c:1]1[cH:2][c:3]2[c:4]([n:5][cH:6]1)[NH:7][C:8](=[O:9])[N:10]([CH2:11][CH2:12][N:13]([CH3:14])[CH3:15])[CH2:16]2.[CH2:17]=[CH:18][C:19](=[O:20])[O:21][C:22]([CH3:23])([CH3:24])[CH3:25],0,0.55325,0.11928196636541501,0.44675
54,0.518,0.482,CC[C@H](C)N.COC(=O)c1cc(Cl)nc(C(F)F)c1,Cl[c:1]1[cH:2][c:3]([C:4]([O:5][CH3:6])=[O:7])[cH:8][c:9]([CH:10]([F:11])[F:12])[n:13]1.[CH3:14][CH2:15][C@H:16]([CH3:17])[NH2:18],0,0.59375,0.05204024884644577,0.40625
55,0.881,0.119,CC(C)(C)OC(=O)N1CCC[C@H](N)[C@@H]1c1ccccc1.COc1cc(OC)c(CC(F)(F)F)cc1C=O,O=[CH:1][c:2]1[c:3]([O:4][CH3:5])[cH:6][c:7]([O:8][CH3:9])[c:10]([CH2:11][C:12]([F:13])([F:14])[F:15])[cH:16]1.[CH3:17][C:18]([CH3:19])([CH3:20])[O:21][C:22](=[O:23])[N:24]1[CH2:25][CH2:26][CH2:27][CH:28]([NH2:29])[CH:30]1[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1,1,0.87275,0.0069776428684764375,0.12724999999999997
56,0.914,0.0859999999999999,CC(C)(C)OC(=O)N[C@@H](CC(=O)O)Cc1cc(F)c(F)cc1F.FC(F)(F)c1nnc2n1CCNC2,O[C:1]([CH2:2][CH:3]([NH:4][C:5]([O:6][C:7]([CH3:8])([CH3:9])[CH3:10])=[O:11])[CH2:12][c:13]1[cH:14][c:15]([F:16])[c:17]([F:18])[cH:19][c:20]1[F:21])=[O:22].[F:23][C:24]([F:25])([F:26])[c:27]1[n:28][n:29][c:30]2[n:31]1[CH2:32][CH2:33][NH:34][CH2:35]2,1,0.9092500000000001,0.024200981385059557,0.09074999999999989
57,0.945,0.055,O=C1CCc2cc(F)ccc21,[O:1]=[C:2]1[CH2:3][CH2:4][c:5]2[cH:6][c:7]([F:8])[cH:9][cH:10][c:11]21,0,0.91725,0.016498105951896387,0.08274999999999999
58,0.21,0.79,CNC(=O)[C@@H](N)Cc1ccccc1.COC(=O)CCCN[C@@H](CC(C)C)C(=O)O,I[CH2:1][CH2:2][CH2:3][C:4]([O:5][CH3:6])=[O:7].[CH3:8][NH:9][C:10](=[O:11])[C@H:12]([CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1)[NH:20][C:21](=[O:22])[C@@H:23]([NH2:24])[CH2:25][CH:26]([CH3:27])[CH3:28],1,0.21549999999999997,0.026500000000000003,0.7845
