mol_idx,edit_type,site_idx,template_id,exact_match,template_match,error
86,b,10,543,0,0,1
87,b,33,387,0,0,0
88,a,0,122,1,1,0
89,b,14,512,0,0,1
90,b,59,547,1,1,0
91,b,22,529,0,0,1
92,b,10,523,0,1,0
93,a,17,113,0,0,1
94,a,3,115,0,1,0
95,b,64,529,0,0,1
96,b,39,539,0,1,0
97,b,32,544,0,1,0
98,b,21,531,1,1,0
99,b,25,547,1,0,1
100,b,14,547,0,1,0
101,b,12,538,0,1,0
102,b,28,538,0,1,0
103,b,24,492,0,0,1
104,b,10,538,0,1,0
105,b,52,547,0,0,1
106,b,20,469,0,0,1
107,b,14,541,0,1,0
108,b,42,505,0,0,1
109,b,24,542,0,1,0
110,b,44,536,1,1,0
111,b,9,538,1,1,0
112,b,21,520,0,1,0
113,b,3,547,0,0,1
114,b,25,547,0,0,1
115,b,16,542,0,0,1
116,b,8,547,0,1,0
117,b,21,533,0,1,0
118,b,16,544,0,1,0
119,b,22,547,0,1,0
120,b,3,547,0,1,0
121,b,40,519,0,0,1
122,b,3,508,0,0,1
123,b,22,540,0,1,0
124,b,1,508,0,1,0
125,b,30,544,0,1,0
126,b,13,526,1,1,0
127,b,38,546,0,1,0
128,b,4,544,0,0,1
129,b,13,539,1,0,1
130,b,5,543,1,1,0
131,a,17,122,0,1,0
132,a,1,117,0,0,1
133,b,23,476,1,1,0
134,b,5,362,0,0,1
135,a,0,122,1,1,0
136,b,8,499,0,1,0
137,b,34,545,0,0,1
138,a,9,122,0,1,0
139,b,16,539,0,1,0
140,b,18,480,0,1,0
141,b,18,530,0,0,1
142,b,5,462,0,0,1
143,b,13,543,1,1,0
144,b,2,511,0,0,1
145,b,40,535,0,1,0
146,a,18,124,0,0,1
147,b,33,546,0,1,0
148,b,16,538,0,1,0
149,b,13,526,1,1,0
150,b,32,493,0,0,1
151,b,28,527,0,1,0
152,a,19,116,0,0,1
153,b,36,547,0,1,0
154,a,6,122,0,1,0
155,b,23,547,1,1,0
156,b,7,379,0,0,1
157,b,15,511,0,0,1
158,b,13,534,0,0,1
159,b,7,545,0,1,0
160,b,14,545,0,1,0
161,b,20,543,0,1,0
162,b,16,543,0,0,1
163,b,4,529,1,1,0
164,b,9,545,0,0,1
165,b,16,546,0,1,0
166,b,41,532,0,1,0
167,b,7,545,0,0,1
168,a,12,122,0,1,0
169,b,11,545,0,1,0
170,b,10,541,0,0,1
171,b,12,525,0,1,0
172,b,46,547,0,1,0
173,b,22,535,0,1,0
174,b,3,484,0,0,1
175,b,6,545,0,1,0
176,a,60,121,0,0,1
177,b,14,498,0,0,1
178,b,46,536,1,1,0
179,b,18,531,0,0,1
180,a,25,123,0,0,1
181,b,5,542,0,0,1
182,b,2,544,0,1,0
183,b,1,544,1,1,1
184,b,31,537,1,1,0
185,b,16,533,0,1,0
186,b,60,540,0,1,0
187,a,15,119,0,0,1
188,b,28,547,0,1,1
189,b,16,493,0,0,1
190,a,2,121,0,0,1
191,b,6,538,0,0,1
192,b,13,547,0,0,1
193,b,17,540,0,1,0
194,b,8,528,0,0,1
195,b,1,544,1,1,0
196,b,24,547,0,1,0
197,b,15,545,0,1,0
198,b,26,547,0,1,0
199,b,20,547,0,0,1
200,b,12,544,0,1,0
201,a,10,122,0,1,0
202,b,20,544,0,1,0
203,b,51,544,0,0,1
204,b,15,542,1,1,0
205,b,26,520,0,1,0
206,a,17,122,0,1,0
207,b,33,478,1,0,0
208,b,31,547,0,1,0
209,b,5,514,1,0,1
210,b,40,508,0,1,0
211,a,4,117,0,0,1
212,a,25,124,0,1,0
213,a,10,124,0,1,0
214,a,11,124,0,1,0
215,b,2,410,0,0,1
216,b,7,543,1,1,0
217,b,21,547,0,0,1
218,a,13,121,0,0,1
219,a,23,124,0,0,1
220,b,22,499,0,1,0
221,b,28,547,0,1,0
222,a,9,124,0,0,1
223,b,80,525,0,1,0
224,b,42,545,0,0,1
225,b,12,509,0,0,1
226,b,14,542,0,0,1
227,b,18,533,0,0,1
228,a,7,123,0,0,1
229,a,21,124,0,0,1
230,a,11,124,0,1,0
231,b,32,542,0,0,1
232,b,36,547,0,1,0
233,a,8,124,0,0,1
234,b,9,499,0,1,0
235,a,18,122,0,1,0
236,a,21,124,0,1,0
237,a,2,121,0,0,1
238,b,11,531,0,1,0
239,b,10,485,0,0,1
240,b,48,538,0,0,1
241,b,73,547,0,0,1
242,b,9,534,0,1,1
243,b,5,543,1,1,0
244,a,10,121,0,1,0
245,a,27,121,0,1,0
246,a,0,102,1,1,0
247,a,8,121,0,1,0
248,b,18,547,0,0,1
249,b,7,319,0,0,1
250,b,17,533,0,1,0
251,b,30,546,0,1,0
252,b,8,453,0,0,1
253,a,14,121,0,1,0
254,b,39,529,0,0,1
255,b,3,547,0,0,1
256,b,13,524,1,1,0
257,b,18,546,0,0,1
258,b,44,534,0,1,0
259,b,19,544,1,1,0
260,b,17,528,0,1,0
261,b,15,537,0,0,1
262,b,10,533,0,1,0
263,a,9,124,0,0,1
264,a,5,122,0,1,0
265,b,12,545,0,1,0
266,b,21,543,0,1,0
267,b,8,527,0,1,0
268,b,26,541,0,0,1
269,b,41,544,0,0,1
270,b,41,547,0,0,1
271,b,11,541,0,1,0
272,b,44,547,0,1,1
273,a,12,115,0,1,0
274,b,2,543,0,1,0
275,b,25,547,0,0,1
276,b,39,540,0,1,0
277,b,36,537,1,1,0
278,b,19,544,1,1,0
279,a,21,123,0,0,1
280,a,21,123,0,0,1
281,a,13,123,0,0,1
282,b,14,547,0,0,1
283,b,43,547,0,1,0
284,a,13,122,0,1,0
285,a,7,123,0,0,1
286,a,33,124,0,1,0
287,b,1,529,0,0,1
288,a,0,123,1,0,1
289,a,9,122,0,0,1
290,b,31,545,0,0,1
291,b,24,478,0,0,1
292,b,12,543,0,1,0
293,b,24,547,0,0,1
294,b,25,547,0,0,1
295,b,24,536,1,1,0
296,b,17,518,0,1,0
297,b,5,514,1,0,1
298,b,1,525,0,0,1
299,b,0,511,1,1,0
300,b,19,516,0,0,1
301,b,6,501,0,0,1
302,b,12,546,0,0,1
303,a,0,122,1,1,0
304,b,21,544,0,1,0
305,a,22,113,0,0,1
306,b,36,536,1,1,0
307,b,8,538,0,0,1
308,b,10,529,0,0,1
309,b,20,547,0,1,0
310,b,37,529,0,0,1
311,a,8,115,0,0,1
312,b,11,528,0,1,0
313,b,11,541,0,1,0
314,b,39,547,0,0,1
315,a,2,124,0,1,0
316,b,23,536,0,0,1
317,a,11,122,0,1,0
318,b,9,543,1,1,0
319,b,9,546,0,0,1
320,b,15,547,0,1,0
321,b,10,501,0,0,1
322,b,14,546,0,0,1
323,b,12,478,0,1,0
324,b,4,546,0,0,1
325,b,8,543,0,1,0
326,b,2,505,0,1,0
327,b,11,543,0,0,1
328,a,7,122,0,1,0
329,b,59,535,0,1,0
330,a,0,122,1,1,0
331,b,17,546,0,1,0
332,a,8,122,0,1,0
333,b,19,544,0,1,0
334,b,7,538,1,1,0
335,b,19,542,1,1,0
336,a,23,119,0,1,0
337,a,12,122,0,1,1
338,b,39,547,0,0,1
339,b,38,547,0,0,1
340,a,1,123,0,1,0
341,a,6,124,0,0,1
342,a,41,124,0,1,0
343,b,7,546,0,0,1
344,b,5,477,0,0,1
345,b,34,544,0,0,1
346,b,35,463,0,0,1
347,b,32,541,0,0,1
348,b,7,546,0,0,1
349,a,9,111,0,0,1
350,b,28,547,0,1,0
351,a,16,119,0,1,0
352,b,23,545,0,0,1
353,b,22,537,1,1,0
354,b,7,533,0,1,0
355,b,7,460,1,1,0
356,b,5,448,0,1,0
357,b,18,542,0,1,0
358,b,52,527,0,1,0
359,b,12,543,0,1,0
360,b,10,530,1,1,0
361,a,0,122,1,1,0
362,b,1,539,1,1,0
363,b,19,540,1,1,0
364,a,36,124,0,1,0
365,b,7,543,1,0,1
366,b,15,529,0,0,1
367,a,12,123,0,1,0
368,b,15,465,0,0,1
369,b,12,545,0,1,0
370,b,22,537,1,1,0
371,a,14,119,0,1,0
372,b,33,547,0,1,0
373,a,23,121,0,1,1
374,b,38,474,0,1,0
375,a,12,119,0,0,1
376,b,17,547,0,1,0
377,a,13,122,0,0,1
378,a,9,120,0,0,1
379,b,22,539,0,0,1
380,a,26,124,0,1,0
381,b,15,546,1,1,0
382,a,8,124,0,1,0
383,a,19,124,0,1,0
384,b,26,524,0,1,0
385,b,15,547,1,0,1
386,b,3,546,0,0,1
387,b,7,546,1,1,0
388,b,21,547,0,1,0
389,a,15,122,0,1,0
390,b,5,543,1,1,0
391,b,8,546,0,1,0
392,b,15,544,1,1,0
393,b,26,540,1,1,1
394,a,18,124,0,0,1
395,b,10,533,0,1,0
396,a,27,117,0,1,0
397,b,29,547,0,0,1
398,b,20,542,0,0,1
399,b,40,537,0,0,1
400,b,2,511,0,1,0
401,b,9,542,1,1,0
402,b,9,547,0,0,1
403,b,3,547,0,1,0
404,b,9,546,1,1,0
405,b,10,547,0,1,0
406,b,25,547,1,1,0
407,b,27,535,0,0,1
408,a,6,123,0,1,0
409,a,4,124,0,1,0
410,b,3,494,0,1,0
411,b,22,541,0,0,1
412,b,33,444,0,1,0
413,b,3,547,0,0,1
414,b,20,541,0,0,1
415,b,23,521,0,1,1
416,a,21,121,0,1,0
417,b,32,546,0,0,1
418,b,23,517,0,1,0
419,b,36,537,1,1,0
420,b,17,533,0,1,0
421,b,11,534,0,1,0
422,b,14,528,0,0,1
423,b,2,547,0,0,1
424,b,16,494,0,0,1
425,b,36,540,0,1,0
426,b,21,521,0,1,0
427,b,9,524,0,0,1
428,b,20,544,0,0,1
429,a,2,121,0,1,0
430,b,20,544,0,0,1
431,b,18,545,0,1,0
432,a,14,124,0,1,0
433,a,43,121,0,1,0
434,b,11,532,0,0,1
435,b,8,530,1,1,0
436,b,27,532,0,0,1
437,b,12,541,0,0,1
438,b,12,547,0,0,1
439,a,3,120,0,0,1
440,b,5,514,1,1,0
441,b,39,533,0,1,0
442,a,2,123,0,0,1
443,b,8,478,0,1,0
444,a,16,123,0,0,1
445,b,5,519,1,1,0
446,a,17,124,0,0,1
447,b,28,546,0,1,1
448,b,18,545,0,1,0
449,b,19,547,0,0,1
450,b,55,533,0,0,1
451,a,15,124,0,1,0
452,b,27,523,0,0,1
453,b,19,545,0,0,1
454,b,13,535,0,1,1
455,a,16,123,0,1,0
456,b,13,526,1,1,0
457,a,1,114,0,0,1
458,b,47,547,0,1,0
459,b,12,542,0,1,0
460,b,10,535,0,0,1
461,b,33,420,0,0,1
462,b,27,533,0,0,1
463,b,10,523,0,0,1
464,b,22,546,0,1,0
465,b,2,528,0,0,1
466,b,16,536,1,1,0
467,a,28,123,0,1,0
468,b,3,537,1,1,0
469,a,15,124,0,0,1
470,b,17,488,0,1,0
471,a,7,124,0,0,1
472,b,22,547,0,1,0
473,b,15,448,0,1,0
474,b,17,434,0,0,1
475,b,24,546,0,1,0
476,b,3,547,0,0,1
477,b,13,544,0,1,0
478,b,24,547,0,0,1
479,b,15,517,0,1,0
480,b,31,547,0,0,1
481,b,13,540,1,1,0
482,a,20,124,0,1,0
483,b,1,513,1,1,0
484,b,0,529,0,1,0
485,b,17,546,0,1,1
486,b,16,547,0,1,0
487,b,3,547,0,1,0
488,a,4,123,0,1,0
489,b,9,465,0,0,1
490,a,27,123,0,1,0
491,b,7,542,1,0,1
492,b,12,464,0,0,1
493,b,15,533,0,1,0
494,a,39,124,0,0,1
495,b,3,530,0,1,0
496,b,28,530,1,1,1
497,b,34,537,0,1,0
498,a,13,124,0,0,1
499,b,25,547,0,1,0
500,a,19,116,0,0,1
501,b,26,537,0,0,1
502,b,42,547,0,1,1
503,a,2,124,0,0,1
504,a,35,121,0,1,0
505,b,29,545,0,0,1
506,b,4,536,1,1,0
507,b,16,546,0,1,0
508,b,18,536,0,0,1
509,b,17,544,0,0,1
510,b,2,543,0,0,1
511,b,23,543,1,1,0
512,b,8,528,0,0,1
513,b,61,547,1,0,1
514,a,24,119,0,1,0
515,b,16,484,0,0,0
516,b,15,535,0,1,0
517,b,13,526,0,0,1
518,b,17,547,1,1,0
519,b,33,544,0,1,0
520,b,15,541,0,1,0
521,b,35,472,0,0,1
522,b,41,533,0,1,0
523,a,12,121,0,1,0
524,b,34,534,0,0,1
525,b,34,538,0,0,1
526,b,27,547,0,0,1
527,a,26,124,0,0,1
528,b,16,533,0,1,0
529,b,24,546,0,1,0
530,b,7,545,0,1,0
531,a,9,123,0,0,1
532,b,5,543,1,1,0
533,b,26,469,0,1,0
534,a,7,124,0,0,1
535,b,30,539,0,1,0
536,a,4,124,0,1,0
537,b,49,547,0,0,1
538,b,35,544,0,0,1
539,b,13,543,0,0,1
540,b,39,539,1,1,0
541,a,21,123,0,0,1
542,b,41,546,0,0,1
543,b,14,508,1,0,1
544,a,18,122,0,1,0
545,a,6,115,0,1,0
546,b,9,536,0,0,1
547,b,30,518,0,0,1
548,b,22,547,0,1,1
549,b,3,546,0,1,0
550,b,25,540,0,1,0
551,b,22,544,0,0,1
552,b,18,427,0,1,0
553,b,5,513,1,1,0
554,b,14,538,0,1,0
555,b,28,532,0,1,0
556,b,16,517,0,0,1
557,b,38,539,0,1,0
558,b,0,537,0,0,1
559,b,46,542,0,1,0
560,b,3,547,0,1,0
561,b,43,547,1,1,0
562,a,13,124,0,1,0
563,b,20,515,1,1,0
564,b,39,547,0,0,1
565,b,13,547,0,1,0
566,b,47,465,0,0,1
567,b,0,511,0,0,1
568,b,18,545,0,1,0
569,b,14,532,0,0,1
570,b,26,547,0,0,1
571,b,17,547,0,1,0
572,a,16,123,0,1,0
573,b,28,544,0,0,1
574,b,22,501,0,1,0
575,b,38,547,0,0,1
576,b,18,547,0,1,0
577,b,24,536,1,1,0
578,b,33,491,0,0,0
579,a,13,123,0,0,1
580,b,14,541,0,1,0
581,b,5,530,0,0,1
582,a,11,123,0,1,0
583,a,7,122,0,1,0
584,b,10,521,0,1,0
585,b,13,547,0,0,1
586,b,17,547,0,1,0
587,b,8,530,0,1,1
588,b,35,547,0,1,0
589,b,6,547,0,1,0
590,b,17,533,0,0,1
591,b,3,547,0,0,1
592,b,7,547,0,1,0
593,b,22,542,0,1,0
594,b,31,545,0,1,0
595,b,5,544,0,0,1
596,b,33,532,0,1,0
597,a,2,124,0,0,1
598,b,2,522,0,0,1
599,b,10,537,1,1,0
600,b,20,530,1,1,1
601,b,37,547,0,1,0
602,b,31,547,0,0,1
603,b,28,546,0,0,1
604,b,7,546,1,0,1
605,b,17,547,0,0,1
606,b,16,540,0,0,1
607,b,34,542,0,1,0
608,a,8,122,0,1,0
609,b,1,515,1,1,0
610,b,19,543,0,1,0
611,b,5,546,0,0,1
612,b,8,541,0,1,0
613,b,9,498,0,1,0
614,a,10,107,0,0,1
615,b,29,545,0,1,0
616,b,23,547,0,0,1
617,a,0,122,1,1,0
618,b,27,545,0,1,0
619,b,30,467,0,0,1
620,b,13,546,0,0,1
621,b,31,547,1,1,0
622,a,0,123,0,0,1
623,b,21,540,0,1,0
624,a,13,123,0,0,1
625,b,35,413,0,1,1
626,b,11,547,0,1,0
627,b,15,547,0,1,0
628,b,3,547,0,1,0
629,b,20,543,0,1,0
630,a,22,121,0,1,0
631,b,45,447,0,1,0
632,b,19,544,1,1,0
633,b,52,420,1,0,1
634,b,15,478,0,1,0
635,b,15,528,0,0,1
636,b,18,543,0,1,0
637,b,12,512,0,1,0
638,b,17,547,0,1,0
639,a,8,120,0,0,1
640,b,39,535,0,1,0
641,a,14,124,0,0,1
642,b,20,542,0,1,0
643,b,16,520,0,1,0
644,b,20,547,0,0,1
645,b,28,546,0,1,0
646,b,66,546,0,0,1
647,b,26,534,0,1,0
648,b,18,541,0,1,0
649,b,32,541,0,0,1
650,b,14,547,0,1,1
651,a,29,123,0,0,1
652,b,33,527,1,1,1
653,a,25,123,0,1,0
654,b,25,547,0,1,0
655,a,2,121,0,0,1
656,b,15,356,0,1,0
657,a,27,123,0,1,0
658,a,19,119,0,0,1
659,b,49,547,0,1,0
660,b,7,509,0,0,1
661,b,15,534,1,0,1
662,b,15,508,0,1,0
663,b,11,546,1,1,0
664,b,9,546,1,1,0
665,a,2,121,0,0,1
666,b,30,539,0,0,1
667,a,15,119,0,1,0
668,b,60,537,0,0,1
669,a,0,122,0,0,1
670,b,8,518,0,0,1
671,a,7,119,0,1,0
672,a,10,121,0,1,0
673,b,6,505,0,0,1
674,b,16,529,1,1,0
675,b,36,527,0,1,0
676,b,14,547,0,1,0
677,a,24,122,0,1,0
678,b,34,530,0,0,1
679,b,7,545,0,1,0
680,b,3,525,0,0,1
681,a,7,124,0,1,0
682,b,28,539,0,1,0
683,a,10,121,0,1,0
684,b,7,538,1,1,0
685,b,33,544,0,0,1
686,b,21,439,0,1,1
687,a,10,124,0,0,1
688,b,48,546,0,0,1
689,b,18,517,0,1,0
690,b,15,547,0,1,0
691,b,44,534,0,1,0
692,b,48,540,0,0,1
693,a,0,122,1,0,1
694,b,0,511,0,0,1
695,a,23,121,0,0,1
696,b,13,526,1,1,0
697,a,19,124,0,0,1
698,b,10,544,1,0,1
699,b,24,547,0,0,1
700,b,14,547,0,0,1
701,b,13,537,0,0,1
702,b,36,524,0,0,1
703,b,9,528,0,1,0
704,a,7,123,0,0,1
705,b,21,547,0,1,0
706,a,0,122,1,1,0
707,b,4,544,0,0,1
708,b,8,544,1,0,1
709,b,14,540,0,0,1
710,b,46,532,0,0,1
711,a,20,123,0,0,1
712,b,12,541,0,0,1
713,b,53,547,0,1,0
714,b,52,545,0,1,0
715,b,13,499,0,0,1
716,b,64,544,0,1,0
717,b,15,542,0,0,1
718,b,29,547,0,1,1
719,b,8,543,0,0,1
720,b,44,542,0,0,1
721,b,22,546,0,0,1
722,b,7,545,0,0,1
723,b,7,547,0,1,0
724,b,33,544,0,1,1
725,a,9,123,0,1,0
726,b,17,546,1,1,0
727,b,12,526,0,1,0
728,b,44,509,0,0,1
729,a,2,124,0,0,1
730,b,1,525,0,0,1
731,a,12,105,0,1,0
732,b,19,547,1,1,0
733,b,12,547,0,0,1
734,b,0,522,0,0,1
735,b,19,528,0,0,1
736,b,12,544,0,1,0
737,b,8,531,0,1,0
738,a,5,121,0,1,0
739,b,22,543,0,1,0
740,b,39,524,0,0,1
741,a,8,123,0,1,0
742,b,14,529,1,1,0
743,b,23,544,1,1,0
744,a,26,122,0,0,1
745,b,5,508,0,1,0
746,b,31,545,0,0,1
747,b,10,367,0,0,1
748,b,53,545,0,1,0
749,b,45,545,0,0,1
750,b,2,531,0,1,0
751,b,7,542,1,1,0
752,b,16,547,0,1,0
753,a,8,121,0,1,0
754,b,6,517,0,1,0
755,b,11,539,0,0,1
756,a,20,123,0,1,1
757,a,0,122,1,1,0
758,a,1,115,0,0,1
759,b,8,545,0,1,0
760,b,15,543,1,1,0
761,b,14,540,0,0,1
762,b,34,540,0,1,0
763,a,12,122,0,1,0
764,b,5,534,1,1,0
765,b,21,546,1,1,0
766,a,33,124,0,1,0
767,a,0,122,1,1,0
768,b,24,534,0,1,0
769,b,17,533,0,0,1
770,b,30,546,0,1,0
771,a,8,119,0,1,0
772,b,14,545,0,0,1
773,a,14,115,0,1,0
774,a,7,115,0,0,1
775,b,18,453,0,0,1
776,a,5,122,0,0,1
777,b,13,531,0,1,0
778,a,1,115,0,1,0
779,b,8,546,0,1,0
780,b,9,403,0,1,0
781,a,15,122,0,0,1
782,b,14,545,0,0,1
783,b,8,545,0,1,0
784,b,35,547,0,1,0
785,a,26,105,0,0,1
786,b,31,522,0,0,1
787,a,18,122,0,1,0
788,b,1,508,0,0,1
789,b,8,544,0,1,0
790,b,11,497,1,1,0
791,b,10,519,0,1,0
792,b,4,544,0,1,0
793,b,9,541,0,1,0
794,b,0,515,0,0,1
795,b,1,508,1,0,1
796,b,11,497,1,1,0
797,b,28,536,1,1,0
798,b,21,547,0,1,0
799,b,16,516,0,0,1
800,a,2,121,0,0,1
801,b,52,526,0,0,1
802,b,40,540,0,1,0
803,a,6,121,0,1,0
804,b,17,490,0,1,0
805,b,14,475,0,0,1
806,a,19,107,0,0,1
807,b,18,519,0,0,1
808,a,11,123,0,1,0
809,a,20,121,0,1,0
810,b,11,533,0,1,0
811,b,20,537,0,0,1
812,a,10,122,0,1,0
813,b,6,546,0,1,0
814,b,13,545,0,1,0
815,a,20,121,0,0,1
816,b,32,528,0,0,1
817,b,26,547,0,0,1
818,b,56,537,0,0,1
819,b,42,546,0,1,0
820,b,40,520,0,1,0
821,b,20,541,0,0,1
822,b,12,517,0,0,1
823,b,22,537,1,1,0
824,a,17,121,0,1,0
825,b,49,547,0,1,0
826,b,18,536,1,1,0
827,a,26,123,0,1,0
828,b,28,499,0,1,0
829,b,15,547,1,1,0
830,b,2,547,0,0,1
831,b,38,293,1,1,0
832,b,17,528,0,0,1
833,a,2,124,0,0,1
834,b,7,546,1,1,0
835,b,15,542,1,1,0
836,a,14,123,0,1,0
837,a,17,124,0,0,1
838,b,11,543,0,1,0
839,b,15,486,0,0,1
840,a,18,123,0,1,1
841,b,18,547,0,1,0
842,a,8,117,0,0,1
843,b,1,544,1,1,0
844,a,13,124,0,0,1
845,b,56,547,0,0,1
846,b,6,544,0,0,1
847,b,8,527,0,1,1
848,a,5,123,0,1,0
849,b,11,532,0,1,0
850,b,33,545,0,1,0
851,b,14,542,0,1,0
852,b,24,546,0,1,0
853,a,3,123,0,1,0
854,b,18,524,0,0,1
855,b,18,546,0,0,1
856,a,14,122,0,1,0
857,b,21,533,0,1,0
858,a,2,124,0,1,0
859,a,1,117,0,0,1
860,b,12,502,0,1,0
861,a,23,124,0,0,1
862,b,22,540,0,1,0
863,b,16,547,0,1,0
864,b,17,547,0,1,0
865,a,9,114,0,0,1
866,b,14,545,0,0,1
867,b,31,537,1,1,0
868,b,11,546,1,1,0
869,b,22,529,1,1,0
870,b,1,537,1,1,0
871,b,22,547,0,1,0
872,b,37,533,0,1,0
873,b,29,547,0,0,1
874,b,60,505,0,0,1
875,b,18,545,0,1,0
876,b,16,546,0,1,0
877,b,6,535,0,1,0
878,b,17,547,0,1,0
879,b,33,547,0,1,0
880,b,5,538,1,1,0
881,b,6,544,0,0,1
882,b,11,541,0,0,1
883,b,3,484,0,0,1
884,b,8,456,0,0,1
885,b,15,489,0,0,1
886,b,39,547,0,1,0
887,b,19,545,0,1,1
888,a,6,123,0,0,1
889,a,0,110,0,0,1
890,b,23,395,0,0,1
891,a,7,117,0,0,1
892,b,38,546,0,1,0
893,b,36,544,0,1,0
894,b,21,547,0,1,0
895,b,15,546,0,1,0
896,b,19,547,0,0,1
897,b,5,542,1,1,0
898,b,16,546,0,1,0
899,a,2,124,0,0,1
900,b,26,536,1,1,0
901,b,13,468,1,1,0
902,a,6,124,0,1,0
903,b,14,526,0,1,0
904,b,20,546,0,1,1
905,b,7,546,1,1,0
906,a,26,124,0,0,1
907,b,3,531,0,1,0
908,b,11,544,0,1,0
909,a,26,121,0,1,0
910,b,1,515,1,1,0
911,b,25,544,0,1,0
912,a,2,124,0,1,0
913,a,9,123,0,0,1
914,b,15,544,0,1,1
915,b,10,547,0,1,0
916,a,7,108,0,0,1
917,b,9,453,0,1,0
918,b,21,522,0,1,0
919,b,9,538,1,1,0
920,a,4,97,0,1,0
921,a,22,124,0,1,0
922,b,11,544,0,0,1
923,b,0,537,0,0,1
924,b,14,453,0,0,1
925,b,3,547,0,1,0
926,a,9,124,0,0,1
927,b,19,536,0,0,1
928,b,25,544,0,1,0
929,b,3,547,0,1,0
930,b,1,515,0,0,1
931,b,2,544,0,0,1
932,b,30,532,0,1,0
933,b,22,542,0,1,0
934,b,38,519,0,1,0
935,b,11,547,0,0,1
936,b,17,545,0,1,0
937,b,20,519,0,0,1
938,b,22,547,0,0,1
939,b,16,543,0,1,0
940,b,18,542,0,0,1
941,b,20,535,0,1,0
942,a,10,122,0,1,0
943,b,17,534,0,1,0
944,a,0,122,0,0,1
945,a,33,123,0,1,0
946,b,17,537,0,0,1
947,a,15,121,0,0,1
948,b,20,529,0,0,1
949,b,19,547,1,0,1
950,b,13,480,0,1,0
951,b,12,540,0,1,0
952,a,12,123,0,0,1
953,a,14,122,0,0,1
954,b,17,542,1,1,0
955,a,10,123,0,1,0
956,b,12,547,0,0,1
957,a,19,124,0,0,1
958,a,10,121,0,1,0
959,b,18,536,1,1,0
960,b,31,540,0,0,1
961,b,29,547,1,1,0
962,b,38,539,0,1,0
963,b,52,547,0,1,0
964,a,2,121,0,1,0
965,b,10,489,0,0,1
966,b,4,547,0,1,1
967,b,15,528,0,0,1
968,b,24,469,0,0,1
969,b,8,545,0,1,0
970,a,0,123,1,0,1
971,b,23,547,0,0,1
972,a,0,124,1,1,0
973,a,3,123,0,0,1
974,b,22,533,0,1,0
975,a,28,123,0,1,0
976,b,35,544,0,0,1
977,b,32,536,1,1,0
978,b,17,547,0,0,1
979,b,55,507,0,0,1
980,a,23,124,0,1,0
981,a,4,124,0,1,0
982,a,40,121,0,1,0
983,b,31,528,0,1,1
984,b,23,533,0,1,0
985,b,3,546,0,1,0
986,b,23,544,0,1,1
987,b,15,518,0,1,0
988,b,64,513,0,1,0
989,b,20,542,0,1,0
990,b,6,547,0,1,0
991,b,42,547,0,0,1
992,b,6,546,0,0,1
993,b,48,546,0,1,0
994,b,9,516,0,1,0
