mol_idx,frequency,bucket,uq,top_score,error
132,573,4) very common (100+),0.5820000000000001,0.418,1
133,48,3) common (21-100),0.394,0.606,0
134,30,3) common (21-100),0.492,0.508,1
135,1277,4) very common (100+),0.23099999999999998,0.769,0
136,91,3) common (21-100),0.09399999999999997,0.906,0
137,16,2) rare (6-20),0.856,0.144,1
138,1277,4) very common (100+),0.09899999999999998,0.901,0
139,804,4) very common (100+),0.534,0.466,0
140,52,3) common (21-100),0.04300000000000004,0.957,0
141,12,2) rare (6-20),0.643,0.357,1
142,1277,4) very common (100+),0.51,0.49,1
143,955,4) very common (100+),0.474,0.526,0
144,573,4) very common (100+),0.21099999999999997,0.789,1
145,553,4) very common (100+),0.665,0.335,0
146,41,3) common (21-100),0.749,0.251,1
147,2537,4) very common (100+),0.554,0.446,0
148,782,4) very common (100+),0.6890000000000001,0.311,0
149,323,4) very common (100+),0.08599999999999997,0.914,0
150,40,3) common (21-100),0.74,0.26,1
151,366,4) very common (100+),0.040000000000000036,0.96,0
152,4537,4) very common (100+),0.585,0.415,1
153,4537,4) very common (100+),0.528,0.472,0
154,1277,4) very common (100+),0.09299999999999997,0.907,0
155,4537,4) very common (100+),0.399,0.601,0
156,782,4) very common (100+),0.17300000000000004,0.827,1
157,21,3) common (21-100),0.32199999999999995,0.678,1
158,452,4) very common (100+),0.831,0.169,1
159,1916,4) very common (100+),0.597,0.403,0
160,1916,4) very common (100+),0.05500000000000005,0.945,0
161,955,4) very common (100+),0.6619999999999999,0.338,0
162,2537,4) very common (100+),0.277,0.723,1
163,413,4) very common (100+),0.484,0.516,0
164,42,3) common (21-100),0.6890000000000001,0.311,1
165,2537,4) very common (100+),0.06699999999999995,0.933,0
166,452,4) very common (100+),0.637,0.363,0
167,42,3) common (21-100),0.18500000000000005,0.815,1
168,1277,4) very common (100+),0.17700000000000005,0.823,0
169,1916,4) very common (100+),0.521,0.479,0
170,442,4) very common (100+),0.7030000000000001,0.297,1
171,307,4) very common (100+),0.64,0.36,0
172,4537,4) very common (100+),0.371,0.629,0
173,553,4) very common (100+),0.41600000000000004,0.584,0
174,164,4) very common (100+),0.10399999999999998,0.896,1
175,1916,4) very common (100+),0.5,0.5,0
176,1299,4) very common (100+),0.5640000000000001,0.436,1
177,5,1) very rare (1-5),0.589,0.411,1
178,566,4) very common (100+),0.16500000000000004,0.835,0
179,566,4) very common (100+),0.013000000000000012,0.987,1
180,900,4) very common (100+),0.23199999999999998,0.768,1
181,307,4) very common (100+),0.364,0.636,1
182,1299,4) very common (100+),0.54,0.46,0
183,1299,4) very common (100+),0.614,0.386,1
184,573,4) very common (100+),0.22299999999999998,0.777,0
185,452,4) very common (100+),0.269,0.731,0
186,828,4) very common (100+),0.34299999999999997,0.657,0
187,323,4) very common (100+),0.604,0.396,1
188,4537,4) very common (100+),0.06699999999999995,0.933,1
189,16,2) rare (6-20),0.599,0.401,1
190,924,4) very common (100+),0.675,0.325,1
191,804,4) very common (100+),0.42700000000000005,0.573,1
192,27,3) common (21-100),0.8089999999999999,0.191,1
193,828,4) very common (100+),0.359,0.641,0
194,1916,4) very common (100+),0.344,0.656,1
195,1299,4) very common (100+),0.28300000000000003,0.717,0
196,4537,4) very common (100+),0.05300000000000005,0.947,0
197,1916,4) very common (100+),0.357,0.643,0
198,4537,4) very common (100+),0.17200000000000004,0.828,0
199,955,4) very common (100+),0.32699999999999996,0.673,1
200,1299,4) very common (100+),0.43000000000000005,0.57,0
201,1277,4) very common (100+),0.344,0.656,0
202,1299,4) very common (100+),0.401,0.599,0
203,52,3) common (21-100),0.723,0.277,1
204,924,4) very common (100+),0.5920000000000001,0.408,0
205,264,4) very common (100+),0.139,0.861,0
206,1277,4) very common (100+),0.07399999999999995,0.926,0
207,32,3) common (21-100),0.599,0.401,0
208,4537,4) very common (100+),0.389,0.611,0
209,56,3) common (21-100),0.352,0.648,1
210,142,4) very common (100+),0.5389999999999999,0.461,0
211,924,4) very common (100+),0.708,0.292,1
212,1797,4) very common (100+),0.44599999999999995,0.554,0
213,1797,4) very common (100+),0.355,0.645,0
214,1797,4) very common (100+),0.44399999999999995,0.556,0
215,6,2) rare (6-20),0.654,0.346,1
216,955,4) very common (100+),0.362,0.638,0
217,385,4) very common (100+),0.32199999999999995,0.678,1
218,1797,4) very common (100+),0.484,0.516,1
219,1123,4) very common (100+),0.404,0.596,1
220,91,3) common (21-100),0.45899999999999996,0.541,0
221,4537,4) very common (100+),0.33199999999999996,0.668,0
222,1123,4) very common (100+),0.21399999999999997,0.786,1
223,307,4) very common (100+),0.643,0.357,0
224,2537,4) very common (100+),0.474,0.526,1
225,1493,4) very common (100+),0.808,0.192,1
226,782,4) very common (100+),0.615,0.385,1
227,804,4) very common (100+),0.21499999999999997,0.785,1
228,1,1) very rare (1-5),0.763,0.237,1
229,385,4) very common (100+),0.677,0.323,1
230,1797,4) very common (100+),0.52,0.48,0
231,804,4) very common (100+),0.608,0.392,1
232,4537,4) very common (100+),0.33799999999999997,0.662,0
233,1123,4) very common (100+),0.42900000000000005,0.571,1
234,91,3) common (21-100),0.262,0.738,0
235,1277,4) very common (100+),0.585,0.415,0
236,1797,4) very common (100+),0.248,0.752,0
237,1797,4) very common (100+),0.5900000000000001,0.41,1
238,446,4) very common (100+),0.0030000000000000027,0.997,0
239,1797,4) very common (100+),0.527,0.473,1
240,307,4) very common (100+),0.914,0.086,1
241,265,4) very common (100+),0.536,0.464,1
242,457,4) very common (100+),0.21799999999999997,0.782,1
243,955,4) very common (100+),0.654,0.346,0
244,1123,4) very common (100+),0.624,0.376,0
245,1123,4) very common (100+),0.43300000000000005,0.567,0
246,52,3) common (21-100),0.039000000000000035,0.961,0
247,1123,4) very common (100+),0.345,0.655,0
248,265,4) very common (100+),0.266,0.734,1
249,13,2) rare (6-20),0.7130000000000001,0.287,1
250,452,4) very common (100+),0.345,0.655,0
251,2537,4) very common (100+),0.16700000000000004,0.833,0
252,924,4) very common (100+),0.514,0.486,1
253,1123,4) very common (100+),0.378,0.622,0
254,258,4) very common (100+),0.785,0.215,1
255,385,4) very common (100+),0.252,0.748,1
256,307,4) very common (100+),0.475,0.525,0
257,955,4) very common (100+),0.65,0.35,1
258,457,4) very common (100+),0.6890000000000001,0.311,0
259,1299,4) very common (100+),0.46399999999999997,0.536,0
260,393,4) very common (100+),0.257,0.743,0
261,153,4) very common (100+),0.51,0.49,1
262,452,4) very common (100+),0.389,0.611,0
263,1123,4) very common (100+),0.6659999999999999,0.334,1
264,1277,4) very common (100+),0.739,0.261,0
265,1916,4) very common (100+),0.74,0.26,0
266,955,4) very common (100+),0.61,0.39,0
267,366,4) very common (100+),0.009000000000000008,0.991,0
268,828,4) very common (100+),0.5860000000000001,0.414,1
269,452,4) very common (100+),0.76,0.24,1
270,1797,4) very common (100+),0.5740000000000001,0.426,1
271,900,4) very common (100+),0.524,0.476,0
272,4537,4) very common (100+),0.494,0.506,1
273,196,4) very common (100+),0.714,0.286,0
274,955,4) very common (100+),0.563,0.437,0
275,258,4) very common (100+),0.522,0.478,1
276,828,4) very common (100+),0.789,0.211,0
277,573,4) very common (100+),0.19799999999999995,0.802,0
278,1299,4) very common (100+),0.704,0.296,0
279,4537,4) very common (100+),0.33099999999999996,0.669,1
280,0,1) very rare (1-5),0.33599999999999997,0.664,1
281,193,4) very common (100+),0.512,0.488,1
282,2537,4) very common (100+),0.392,0.608,1
283,4537,4) very common (100+),0.22899999999999998,0.771,0
284,1277,4) very common (100+),0.129,0.871,0
285,193,4) very common (100+),0.747,0.253,1
286,1797,4) very common (100+),0.277,0.723,0
287,457,4) very common (100+),0.492,0.508,1
288,111,4) very common (100+),0.602,0.398,1
289,59,3) common (21-100),0.38,0.62,1
290,107,4) very common (100+),0.53,0.47,1
291,15,2) rare (6-20),0.656,0.344,1
292,955,4) very common (100+),0.554,0.446,0
293,2537,4) very common (100+),0.5780000000000001,0.422,1
294,2537,4) very common (100+),0.779,0.221,1
295,566,4) very common (100+),0.16700000000000004,0.833,0
296,245,4) very common (100+),0.44299999999999995,0.557,0
297,2537,4) very common (100+),0.45499999999999996,0.545,1
298,26,3) common (21-100),0.18200000000000005,0.818,1
299,153,4) very common (100+),0.12,0.88,0
300,19,2) rare (6-20),0.673,0.327,1
301,258,4) very common (100+),0.5800000000000001,0.42,1
302,307,4) very common (100+),0.789,0.211,1
303,1277,4) very common (100+),0.238,0.762,0
304,1299,4) very common (100+),0.474,0.526,0
305,2,1) very rare (1-5),0.772,0.228,1
306,566,4) very common (100+),0.248,0.752,0
307,924,4) very common (100+),0.565,0.435,1
308,0,1) very rare (1-5),0.33499999999999996,0.665,1
309,4537,4) very common (100+),0.268,0.732,0
310,804,4) very common (100+),0.607,0.393,1
311,442,4) very common (100+),0.8180000000000001,0.182,1
312,393,4) very common (100+),0.508,0.492,0
313,900,4) very common (100+),0.632,0.368,0
314,271,4) very common (100+),0.21599999999999997,0.784,1
315,1797,4) very common (100+),0.624,0.376,0
316,30,3) common (21-100),0.255,0.745,1
317,1277,4) very common (100+),0.29200000000000004,0.708,0
318,955,4) very common (100+),0.118,0.882,0
319,30,3) common (21-100),0.648,0.352,1
320,4537,4) very common (100+),0.06899999999999995,0.931,0
321,108,4) very common (100+),0.507,0.493,1
322,955,4) very common (100+),0.43500000000000005,0.565,1
323,49,3) common (21-100),0.41400000000000003,0.586,0
324,955,4) very common (100+),0.20899999999999996,0.791,1
325,955,4) very common (100+),0.7010000000000001,0.299,0
326,109,4) very common (100+),0.42100000000000004,0.579,0
327,323,4) very common (100+),0.44699999999999995,0.553,1
328,1277,4) very common (100+),0.17700000000000005,0.823,0
329,553,4) very common (100+),0.669,0.331,0
330,1277,4) very common (100+),0.391,0.609,0
331,2537,4) very common (100+),0.29400000000000004,0.706,0
332,1277,4) very common (100+),0.06000000000000005,0.94,0
333,1299,4) very common (100+),0.238,0.762,0
334,782,4) very common (100+),0.514,0.486,0
335,924,4) very common (100+),0.5609999999999999,0.439,0
336,385,4) very common (100+),0.8069999999999999,0.193,0
337,1277,4) very common (100+),0.09699999999999998,0.903,1
338,1299,4) very common (100+),0.526,0.474,1
339,154,4) very common (100+),0.19299999999999995,0.807,1
340,1493,4) very common (100+),0.43899999999999995,0.561,0
341,433,4) very common (100+),0.27,0.73,1
342,1797,4) very common (100+),0.45099999999999996,0.549,0
343,1916,4) very common (100+),0.254,0.746,1
344,1493,4) very common (100+),0.46399999999999997,0.536,1
345,452,4) very common (100+),0.606,0.394,1
346,1123,4) very common (100+),0.348,0.652,1
347,1277,4) very common (100+),0.43899999999999995,0.561,1
348,0,1) very rare (1-5),0.19299999999999995,0.807,1
349,111,4) very common (100+),0.804,0.196,1
350,4537,4) very common (100+),0.8109999999999999,0.189,0
351,385,4) very common (100+),0.786,0.214,0
352,193,4) very common (100+),0.7170000000000001,0.283,1
353,573,4) very common (100+),0.30200000000000005,0.698,0
354,452,4) very common (100+),0.11599999999999999,0.884,0
355,37,3) common (21-100),0.09899999999999998,0.901,0
356,15,2) rare (6-20),0.52,0.48,0
357,924,4) very common (100+),0.41400000000000003,0.586,0
358,366,4) very common (100+),0.271,0.729,0
359,955,4) very common (100+),0.21899999999999997,0.781,0
360,442,4) very common (100+),0.607,0.393,0
361,1277,4) very common (100+),0.15800000000000003,0.842,0
362,804,4) very common (100+),0.631,0.369,0
363,828,4) very common (100+),0.14800000000000002,0.852,0
364,1797,4) very common (100+),0.388,0.612,0
365,1299,4) very common (100+),0.753,0.247,1
366,442,4) very common (100+),0.039000000000000035,0.961,1
367,1493,4) very common (100+),0.663,0.337,0
368,23,3) common (21-100),0.41100000000000003,0.589,1
369,1916,4) very common (100+),0.42400000000000004,0.576,0
370,573,4) very common (100+),0.7030000000000001,0.297,0
371,385,4) very common (100+),0.513,0.487,0
372,4537,4) very common (100+),0.125,0.875,0
373,1123,4) very common (100+),0.22999999999999998,0.77,1
374,46,3) common (21-100),0.42800000000000005,0.572,0
375,1797,4) very common (100+),0.6890000000000001,0.311,1
376,4537,4) very common (100+),0.17500000000000004,0.825,0
377,142,4) very common (100+),0.634,0.366,1
378,196,4) very common (100+),0.486,0.514,1
379,955,4) very common (100+),0.5589999999999999,0.441,1
380,1797,4) very common (100+),0.606,0.394,0
381,2537,4) very common (100+),0.41000000000000003,0.59,0
382,1797,4) very common (100+),0.685,0.315,0
383,1797,4) very common (100+),0.355,0.645,0
384,307,4) very common (100+),0.45299999999999996,0.547,0
385,2537,4) very common (100+),0.6779999999999999,0.322,1
386,271,4) very common (100+),0.29700000000000004,0.703,1
387,2537,4) very common (100+),0.276,0.724,0
388,4537,4) very common (100+),0.47,0.53,0
389,1277,4) very common (100+),0.06699999999999995,0.933,0
390,955,4) very common (100+),0.377,0.623,0
391,2537,4) very common (100+),0.17300000000000004,0.827,0
392,1299,4) very common (100+),0.38,0.62,0
393,828,4) very common (100+),0.11699999999999999,0.883,1
394,1123,4) very common (100+),0.45099999999999996,0.549,1
395,452,4) very common (100+),0.30600000000000005,0.694,0
396,228,4) very common (100+),0.644,0.356,0
397,442,4) very common (100+),0.08399999999999996,0.916,1
398,804,4) very common (100+),0.15400000000000003,0.846,1
399,433,4) very common (100+),0.7,0.3,1
400,153,4) very common (100+),0.20199999999999996,0.798,0
401,924,4) very common (100+),0.51,0.49,0
402,142,4) very common (100+),0.494,0.506,1
403,4537,4) very common (100+),0.249,0.751,0
404,2537,4) very common (100+),0.746,0.254,0
405,4537,4) very common (100+),0.41400000000000003,0.586,0
406,4537,4) very common (100+),0.532,0.468,0
407,14,2) rare (6-20),0.776,0.224,1
408,1493,4) very common (100+),0.06499999999999995,0.935,0
409,1797,4) very common (100+),0.132,0.868,0
410,76,3) common (21-100),0.41500000000000004,0.585,0
411,258,4) very common (100+),0.28200000000000003,0.718,1
412,29,3) common (21-100),0.364,0.636,0
413,287,4) very common (100+),0.395,0.605,1
414,245,4) very common (100+),0.8089999999999999,0.191,1
415,265,4) very common (100+),0.629,0.371,1
416,1123,4) very common (100+),0.5369999999999999,0.463,0
417,442,4) very common (100+),0.591,0.409,1
418,235,4) very common (100+),0.768,0.232,0
419,573,4) very common (100+),0.5609999999999999,0.439,0
420,452,4) very common (100+),0.30400000000000005,0.696,0
421,457,4) very common (100+),0.35,0.65,0
422,553,4) very common (100+),0.698,0.302,1
423,271,4) very common (100+),0.269,0.731,1
424,287,4) very common (100+),0.265,0.735,1
425,828,4) very common (100+),0.792,0.208,0
426,265,4) very common (100+),0.748,0.252,0
427,457,4) very common (100+),0.5660000000000001,0.434,1
428,0,1) very rare (1-5),0.708,0.292,1
429,1123,4) very common (100+),0.31100000000000005,0.689,0
430,119,4) very common (100+),0.726,0.274,1
431,1916,4) very common (100+),0.764,0.236,0
432,1797,4) very common (100+),0.365,0.635,0
433,1123,4) very common (100+),0.44899999999999995,0.551,0
434,88,3) common (21-100),0.714,0.286,1
435,442,4) very common (100+),0.64,0.36,0
436,307,4) very common (100+),0.73,0.27,1
437,196,4) very common (100+),0.65,0.35,1
438,2537,4) very common (100+),0.131,0.869,1
439,228,4) very common (100+),0.278,0.722,1
440,174,4) very common (100+),0.785,0.215,0
441,452,4) very common (100+),0.916,0.084,0
442,235,4) very common (100+),0.5509999999999999,0.449,1
443,49,3) common (21-100),0.386,0.614,0
444,111,4) very common (100+),0.29000000000000004,0.71,1
445,258,4) very common (100+),0.776,0.224,0
446,1916,4) very common (100+),0.391,0.609,1
447,2537,4) very common (100+),0.22399999999999998,0.776,1
448,1916,4) very common (100+),0.21099999999999997,0.789,0
449,271,4) very common (100+),0.498,0.502,1
450,1916,4) very common (100+),0.654,0.346,1
451,1797,4) very common (100+),0.243,0.757,0
452,4537,4) very common (100+),0.597,0.403,1
453,442,4) very common (100+),0.5609999999999999,0.439,1
454,553,4) very common (100+),0.41600000000000004,0.584,1
455,1493,4) very common (100+),0.18400000000000005,0.816,0
456,323,4) very common (100+),0.03600000000000003,0.964,0
457,197,4) very common (100+),0.765,0.235,1
458,4537,4) very common (100+),0.5860000000000001,0.414,0
459,924,4) very common (100+),0.44899999999999995,0.551,0
460,393,4) very common (100+),0.677,0.323,1
461,1493,4) very common (100+),0.904,0.096,1
462,12,2) rare (6-20),0.391,0.609,1
463,271,4) very common (100+),0.394,0.606,1
464,2537,4) very common (100+),0.33599999999999997,0.664,0
465,1916,4) very common (100+),0.258,0.742,1
466,566,4) very common (100+),0.04200000000000004,0.958,0
467,1493,4) very common (100+),0.20799999999999996,0.792,0
468,573,4) very common (100+),0.491,0.509,0
469,245,4) very common (100+),0.832,0.168,1
470,65,3) common (21-100),0.05900000000000005,0.941,0
471,442,4) very common (100+),0.789,0.211,1
472,4537,4) very common (100+),0.09499999999999997,0.905,0
473,15,2) rare (6-20),0.382,0.618,0
474,1916,4) very common (100+),0.45999999999999996,0.54,1
475,2537,4) very common (100+),0.127,0.873,0
476,271,4) very common (100+),0.481,0.519,1
477,1299,4) very common (100+),0.7030000000000001,0.297,0
478,2537,4) very common (100+),0.32099999999999995,0.679,1
479,235,4) very common (100+),0.488,0.512,0
480,21,3) common (21-100),0.5449999999999999,0.455,1
481,828,4) very common (100+),0.632,0.368,0
482,1797,4) very common (100+),0.30300000000000005,0.697,0
483,164,4) very common (100+),0.22799999999999998,0.772,0
484,413,4) very common (100+),0.6,0.4,0
485,2537,4) very common (100+),0.627,0.373,1
486,4537,4) very common (100+),0.18300000000000005,0.817,0
487,4537,4) very common (100+),0.601,0.399,0
488,1493,4) very common (100+),0.706,0.294,0
489,115,4) very common (100+),0.787,0.213,1
490,1493,4) very common (100+),0.14200000000000002,0.858,0
491,804,4) very common (100+),0.5549999999999999,0.445,1
492,413,4) very common (100+),0.831,0.169,1
493,452,4) very common (100+),0.235,0.765,0
494,281,4) very common (100+),0.531,0.469,1
495,442,4) very common (100+),0.893,0.107,0
496,442,4) very common (100+),0.478,0.522,1
497,573,4) very common (100+),0.493,0.507,0
498,1123,4) very common (100+),0.64,0.36,1
499,4537,4) very common (100+),0.32199999999999995,0.678,0
500,14,2) rare (6-20),0.552,0.448,1
501,154,4) very common (100+),0.739,0.261,1
502,4537,4) very common (100+),0.546,0.454,1
503,1123,4) very common (100+),0.371,0.629,1
504,1123,4) very common (100+),0.548,0.452,0
505,88,3) common (21-100),0.756,0.244,1
506,566,4) very common (100+),0.577,0.423,0
507,2537,4) very common (100+),0.31499999999999995,0.685,0
508,1277,4) very common (100+),0.248,0.752,1
509,955,4) very common (100+),0.43000000000000005,0.57,1
510,1299,4) very common (100+),0.741,0.259,1
511,955,4) very common (100+),0.593,0.407,0
512,1916,4) very common (100+),0.508,0.492,1
513,271,4) very common (100+),0.637,0.363,1
514,385,4) very common (100+),0.7170000000000001,0.283,0
515,18,2) rare (6-20),0.46399999999999997,0.536,0
516,553,4) very common (100+),0.41200000000000003,0.588,0
517,433,4) very common (100+),0.7110000000000001,0.289,1
518,4537,4) very common (100+),0.522,0.478,0
519,1299,4) very common (100+),0.5369999999999999,0.463,0
520,900,4) very common (100+),0.735,0.265,0
521,24,3) common (21-100),0.621,0.379,1
522,452,4) very common (100+),0.29000000000000004,0.71,0
523,1123,4) very common (100+),0.498,0.502,0
524,12,2) rare (6-20),0.43400000000000005,0.566,1
525,1,1) very rare (1-5),0.685,0.315,1
526,2537,4) very common (100+),0.859,0.141,1
527,281,4) very common (100+),0.762,0.238,1
528,452,4) very common (100+),0.22199999999999998,0.778,0
529,2537,4) very common (100+),0.43100000000000005,0.569,0
530,1916,4) very common (100+),0.11099999999999999,0.889,0
531,828,4) very common (100+),0.663,0.337,1
532,955,4) very common (100+),0.19799999999999995,0.802,0
533,42,3) common (21-100),0.643,0.357,0
534,142,4) very common (100+),0.349,0.651,1
535,804,4) very common (100+),0.19899999999999995,0.801,0
536,1797,4) very common (100+),0.352,0.648,0
537,1299,4) very common (100+),0.472,0.528,1
538,924,4) very common (100+),0.471,0.529,1
539,30,3) common (21-100),0.64,0.36,1
540,804,4) very common (100+),0.31000000000000005,0.69,0
541,4537,4) very common (100+),0.33099999999999996,0.669,1
542,1299,4) very common (100+),0.8069999999999999,0.193,1
543,19,2) rare (6-20),0.393,0.607,1
544,1277,4) very common (100+),0.06999999999999995,0.93,0
545,196,4) very common (100+),0.8069999999999999,0.193,0
546,56,3) common (21-100),0.16200000000000003,0.838,1
547,142,4) very common (100+),0.528,0.472,1
548,4537,4) very common (100+),0.394,0.606,1
549,2537,4) very common (100+),0.008000000000000007,0.992,0
550,828,4) very common (100+),0.238,0.762,0
551,258,4) very common (100+),0.16300000000000003,0.837,1
552,22,3) common (21-100),0.909,0.091,0
553,164,4) very common (100+),0.5860000000000001,0.414,0
554,782,4) very common (100+),0.644,0.356,0
555,452,4) very common (100+),0.5640000000000001,0.436,0
556,452,4) very common (100+),0.619,0.381,1
557,804,4) very common (100+),0.577,0.423,0
558,1299,4) very common (100+),0.927,0.073,1
559,924,4) very common (100+),0.268,0.732,0
560,4537,4) very common (100+),0.7170000000000001,0.283,0
561,4537,4) very common (100+),0.17000000000000004,0.83,0
562,1797,4) very common (100+),0.383,0.617,0
563,179,4) very common (100+),0.29100000000000004,0.709,0
564,56,3) common (21-100),0.5509999999999999,0.449,1
