mol_idx,top_score,uq,pred_top1,true_reactants,error
12,0.208,0.792,Brc1coc2ccc(Cc3nnn[nH]3)cc12.OB(O)c1ccccc1,[N-:1]=[N+:2]=[N-:3].[N:4]#[C:5][CH2:6][c:7]1[cH:8][cH:9][c:10]2[o:11][cH:12][c:13](-[c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[c:20]2[cH:21]1,1
13,0.299,0.7010000000000001,Cc1nc(N)sc1Br.OB(O)c1ccnc(Cl)c1,O=[C:1]([CH3:2])[CH:3](Br)[c:4]1[cH:5][cH:6][n:7][c:8]([Cl:9])[cH:10]1.[NH2:11][C:12]([NH2:13])=[S:14],1
14,0.135,0.865,CC(=O)n1nc(C(F)(F)F)cc1-c1ccc(Br)cc1,O=[C:1]([CH2:2][C:3](=O)[C:4]([F:5])([F:6])[F:7])[c:8]1[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]1.[NH2:15][NH2:16],1
15,0.313,0.687,OC(CCl)Cc1ccc(F)cc1,O=C(O[OH:1])c1cccc(Cl)c1.[CH2:2]=[CH:3][CH2:4][c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1,1
16,0.516,0.484,COC(=O)COc1ccc(O)cc1C.OCCc1nc(-c2ccc(C(F)(F)F)cc2)cs1,O=[C:1]([CH2:2]Br)[c:3]1[cH:4][cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][cH:12]1.[CH3:13][O:14][C:15](=[O:16])[CH2:17][O:18][c:19]1[cH:20][cH:21][c:22]([O:23][CH2:24][CH2:25][C:26]([NH2:27])=[S:28])[cH:29][c:30]1[CH3:31],1
17,0.401,0.599,CCCOC(=O)Cc1c2n(c3ccccc13)CC(Br)CC2.c1ccc(Cc2c[nH]nn2)cc1,[CH3:1][CH2:2][CH2:3][O:4][C:5](=[O:6])[CH2:7][c:8]1[c:9]2[n:10]([c:11]3[cH:12][cH:13][cH:14][cH:15][c:16]13)[CH2:17][CH:18]([N:19]=[N+:20]=[N-:21])[CH2:22][CH2:23]2.[CH:24]#[C:25][CH2:26][c:27]1[cH:28][cH:29][cH:30][cH:31][cH:32]1,1
18,0.381,0.619,CC(C)(C)OC(=O)N1CCN(c2cccc3c2CCCC3)CC1,Cl[CH2:1][CH2:2][NH:3][CH2:4][CH2:5]Cl.[NH2:7][c:8]1[cH:9][cH:10][cH:11][c:12]2[c:13]1[CH2:14][CH2:15][CH2:16][CH2:17]2,1
19,0.138,0.862,C=Cc1cc(=O)c2cc(F)ccc2[nH]1,CO[C:1]([CH2:2][C:3](=O)[CH2:4][CH3:5])=[O:6].[NH2:7][c:8]1[cH:9][cH:10][c:11]([F:12])[cH:13][cH:14]1,1
20,0.743,0.257,C1CC2(CCN1)CO2.O=[N+]([O-])c1cc(F)c(F)c(F)c1,C[S+](C)(=O)[CH3:1].[O:2]=[C:3]1[CH2:4][CH2:5][N:6]([c:7]2[c:8]([F:9])[cH:10][c:11]([N+:12](=[O:13])[O-:14])[cH:15][c:16]2[F:17])[CH2:18][CH2:19]1,1
21,0.707,0.29300000000000004,BrC1CCCC1.COC(=O)c1[nH]c2nc(Cl)ncc2c1C,Br[c:1]1[cH:2][n:3][c:4]([Cl:5])[n:6][c:7]1[NH:8][CH:9]1[CH2:10][CH2:11][CH2:12][CH2:13]1.[CH3:14][C:15]#[C:16][C:17](=[O:18])[O:19][CH3:20],1
22,0.482,0.518,CCOC(=O)c1cc(C(C)(C)C)[nH]c1C.OB(O)c1ccc(F)cc1,O=[C:1]([CH2:2][CH:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[C:9](=O)[CH3:10])[C:11]([CH3:12])([CH3:13])[CH3:14].[NH2:15][c:16]1[cH:17][cH:18][c:19]([F:20])[cH:21][cH:22]1,1
23,0.042,0.958,O=C(O)C1=C(C(=O)Nc2ccc(F)cc2F)CCCC1,O1[C:1](=[O:2])[C:3]2=[C:4]([C:5]1=[O:6])[CH2:7][CH2:8][CH2:9][CH2:10]2.[NH2:11][c:12]1[cH:13][cH:14][c:15]([F:16])[cH:17][c:18]1[F:19],1
24,0.214,0.786,COC(=O)Cc1c(C)nn(-c2cccnc2)c1Br.OB(O)c1cccc(Cl)c1,O=[C:1]([CH:2]([CH2:3][C:4]([O:5][CH3:6])=[O:7])[C:8](=O)[c:9]1[cH:10][cH:11][cH:12][c:13]([Cl:14])[cH:15]1)[CH3:16].[NH2:17][NH:18][c:19]1[cH:20][cH:21][cH:22][n:23][cH:24]1,1
25,0.552,0.44799999999999995,CC(O)(CCl)c1ccc(F)cc1,C[S+](C)[CH3:1].[CH3:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1,1
26,0.363,0.637,CI.Cc1nc2ccc(-c3ccccc3Cl)c(C#N)c2[nH]1,O=[C:1](O)[CH3:2].[CH3:3][NH:4][c:5]1[c:6]([NH2:7])[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[Cl:17])[c:18]1[C:19]#[N:20],1
27,0.317,0.683,CC(=O)Cl.Cn1nc(C2CCNCC2)c2ccc(F)cc21,O=[C:1]([CH:2]1[CH2:3][CH2:4][N:5]([C:6]([CH3:7])=[O:8])[CH2:9][CH2:10]1)[c:11]1[cH:12][cH:13][c:14]([F:15])[cH:16][c:17]1F.[CH3:18][NH:19][NH2:20],1
28,0.24,0.76,Nc1nc(Br)cs1.O=[N+]([O-])c1cccc(B(O)O)c1,O=[C:1]([CH2:2]Br)[c:3]1[cH:4][cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11]1.[NH2:12][C:13]([NH2:14])=[S:15],1
29,0.059,0.9410000000000001,CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c]1ccc(C)cn1.CCOC(=O)c1cc(Br)n(-c2cccnc2)n1,O=[C:1]([C:2]([O:3][CH2:4][CH3:5])=[O:6])[CH2:7][C:8](=O)[c:9]1[cH:10][cH:11][c:12]([CH3:13])[cH:14][n:15]1.[NH2:16][NH:17][c:18]1[cH:19][cH:20][cH:21][n:22][cH:23]1,1
30,0.52,0.48,CC1CCc2[nH]c(-c3ccccc3)cc2C1.CCN(CC)CCCl,O=[C:1]1[CH2:2][CH2:3][CH:4]([CH3:5])[CH2:6][CH:7]1[CH2:8][C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.[CH3:16][CH2:17][N:18]([CH2:19][CH3:20])[CH2:21][CH2:22][NH2:23],1
31,0.197,0.8029999999999999,FC(F)(F)c1ccc(-c2ccc3[nH]c(-c4nnn[nH]4)cc3c2)nc1.OB(O)c1ccc(OC2CCCC2)cc1,[N-:1]=[N+:2]=[N-:3].[N:4]#[C:5][c:6]1[cH:7][c:8]2[cH:9][c:10](-[c:11]3[cH:12][cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][n:20]3)[cH:21][cH:22][c:23]2[n:24]1-[c:25]1[cH:26][cH:27][c:28]([O:29][CH:30]2[CH2:31][CH2:32][CH2:33][CH2:34]2)[cH:35][cH:36]1,1
32,0.74,0.26,COc1ccc(-c2nc3cnccc3[nH]2)c(O)c1.ClCCCBr,O=[C:1](O)[c:2]1[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]1[O:10][CH2:11][CH2:12][CH2:13][Cl:14].[NH2:15][c:16]1[cH:17][cH:18][n:19][cH:20][c:21]1[NH2:22],1
33,0.155,0.845,COc1cc2c(cc1Br)ncc1nc(C3CCOCC3)n(C(C)c3ccccn3)c12.Cc1noc(C)c1B(O)O,O=[C:1](O)[CH:2]1[CH2:3][CH2:4][O:5][CH2:6][CH2:7]1.[CH3:8][O:9][c:10]1[cH:11][c:12]2[c:13]([NH:14][C@H:15]([CH3:16])[c:17]3[cH:18][cH:19][cH:20][cH:21][n:22]3)[c:23]([NH2:24])[cH:25][n:26][c:27]2[cH:28][c:29]1-[c:30]1[c:31]([CH3:32])[n:33][o:34][c:35]1[CH3:36],1
34,0.12,0.88,CCOC(=O)c1cc(C)[nH]c1-c1ccccc1.CS(=O)(=O)c1cccc(B(O)O)c1,O=[C:1]([CH2:2][CH:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH3:16].[CH3:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][cH:24][c:25]([NH2:26])[cH:27]1,1
35,0.29,0.71,CSc1ncc(-c2cc(CCO)on2)c(OCc2ccccc2)n1.O=C1NC(=O)c2ccccc21,[CH3:1][S:2][c:3]1[n:4][cH:5][c:6]([CH:7]=[N:8][OH:9])[c:10]([O:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[n:19]1.[CH:20]#[C:21][CH2:22][CH2:23][N:24]1[C:25](=[O:26])[c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]2[C:33]1=[O:34],1
36,0.217,0.783,FC(F)(COCc1ccccc1)CN1CCOCC1,Br[CH2:1][CH2:2][O:3][CH2:4][CH2:5]Br.[NH2:6][CH2:7][C:8]([F:9])([F:10])[CH2:11][OH:12],1
37,0.988,0.01200000000000001,CC(C)(C)OC(=O)N[C@@H](C[C@H](Cc1cn(CCO)nn1)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C.CS(=O)(=O)Cl,[CH3:1][S:2](=[O:3])(=[O:4])[O:5][CH2:6][CH2:7][N:8]=[N+:9]=[N-:10].[CH:11]#[C:12][CH2:13][C@@H:14]([CH2:15][C@H:16]([NH:17][C:18](=[O:19])[O:20][C:21]([CH3:22])([CH3:23])[CH3:24])[C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38],1
38,0.13,0.87,CI.COc1cc(O)c2c(=O)[nH]c(-c3ccccc3C)nc2c1,O=[CH:1][c:2]1[c:3]([CH3:4])[cH:5][cH:6][cH:7][cH:8]1.[CH3:9][O:10][c:11]1[cH:12][c:13]([NH2:14])[c:15]([C:16]([NH2:17])=[O:18])[c:19]([O:20][CH3:21])[cH:22]1,1
39,0.271,0.729,CCOC(=O)c1cc(C)[nH]c1-c1ccccc1.OB(O)c1cccc(I)c1,O=[C:1]([CH2:2][CH:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[CH3:16].[NH2:17][c:18]1[cH:19][cH:20][cH:21][c:22]([I:23])[cH:24]1,1
40,0.117,0.883,OC(c1c[nH]cn1)c1nc2c(s1)CCc1c-2ccc2ccccc12,O=[C:1]1[c:2]2[cH:3][cH:4][c:5]3[cH:6][cH:7][cH:8][cH:9][c:10]3[c:11]2[CH2:12][CH2:13][CH:14]1Br.[NH2:15][C:16](=[S:17])[CH2:18][c:19]1[cH:20][nH:21][cH:22][n:23]1,1
41,0.629,0.371,CCOC(=O)c1cc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)no1,[CH:1]#[C:2][CH2:3][OH:4].[OH:5]/[N:6]=[CH:7]/[c:8]1[cH:9][c:10]([C:11]([F:12])([F:13])[F:14])[cH:15][c:16]([C:17]([F:18])([F:19])[F:20])[cH:21]1,1
42,0.413,0.587,CC(C)(C)OC(=O)N1CCN(c2c(F)cc(F)cc2F)CC1,Cl[CH2:1][CH2:2][NH:3][CH2:4][CH2:5]Cl.[NH2:7][c:8]1[c:9]([F:10])[cH:11][c:12]([F:13])[cH:14][c:15]1[F:16],1
43,0.42,0.5800000000000001,CCOC(=O)c1cnc(-c2ccc(C(CC3CCOCC3)c3ccc(S(=O)(=O)C4CC4)cc3)[nH]2)s1,O=[C:1]([CH2:2][CH2:3][C:4](=O)[CH:5]([CH2:6][CH:7]1[CH2:8][CH2:9][O:10][CH2:11][CH2:12]1)[c:13]1[cH:14][cH:15][c:16]([S:17](=[O:18])(=[O:19])[CH:20]2[CH2:21][CH2:22]2)[cH:23][cH:24]1)[c:25]1[n:26][cH:27][c:28]([CH2:29][OH:30])[s:31]1.[NH4+:32],1
44,0.75,0.25,COc1cc2c(Br)cnc(CNC(=O)OC(C)(C)C)c2cc1OC.Nc1nc(-c2ccccc2)cs1,O=[C:1]([CH2:2]Br)[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:9][O:10][c:11]1[cH:12][c:13]2[c:14]([NH:15][C:16]([NH2:17])=[S:18])[cH:19][n:20][c:21]([CH2:22][NH:23][C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30])[c:31]2[cH:32][c:33]1[O:34][CH3:35],1
45,0.752,0.248,C1COCCN1.COc1cc2c(cc1Br)C[C@@H]1[C@@H]3CCCC[C@]23CCN1C(=O)OCc1ccccc1,Cl[CH2:1][CH2:2][O:3][CH2:4][CH2:5]Cl.[CH3:6][O:7][c:8]1[cH:9][c:10]2[c:11]([cH:12][c:13]1[NH2:14])[CH2:15][C@@H:16]1[C@@H:17]3[CH2:18][CH2:19][CH2:20][CH2:21][C@:22]23[CH2:23][CH2:24][N:25]1[C:26](=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1,1
46,0.299,0.7010000000000001,COc1c(C(C)(C)C)cc(Cl)c(C)c1-c1nc2ccc(F)cc2c(=O)[nH]1,O=[CH:1][c:2]1[c:3]([CH3:4])[c:5]([Cl:6])[cH:7][c:8]([C:9]([CH3:10])([CH3:11])[CH3:12])[c:13]1[OH:14].[NH2:15][C:16](=[O:17])[c:18]1[cH:19][c:20]([F:21])[cH:22][cH:23][c:24]1[NH2:25],1
47,0.325,0.675,Cc1nc(Br)cs1.O=[N+]([O-])c1cc(B(O)O)ccc1Cl,O=[C:1]([CH2:2]Br)[c:3]1[cH:4][cH:5][c:6]([Cl:7])[c:8]([N+:9](=[O:10])[O-:11])[cH:12]1.[CH3:13][C:14]([NH2:15])=[S:16],1
48,0.362,0.638,CC(C)(C)C(=O)OCn1nncc1CO.Cc1ncccc1O,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[O:7][CH2:8][N:9]=[N+:10]=[N-:11].[CH:12]#[C:13][CH2:14][O:15][c:16]1[cH:17][cH:18][cH:19][n:20][c:21]1[CH3:22],1
49,0.423,0.577,CCc1[nH]c2c(Cl)ccc(O)c2c(=O)c1Cc1ccc(C(=O)N2CCCC2)cc1.COC(=O)CBr,CO[C:1]([CH:2]([C:3](=O)[CH2:4][CH3:5])[CH2:6][c:7]1[cH:8][cH:9][c:10]([C:11](=[O:12])[N:13]2[CH2:14][CH2:15][CH2:16][CH2:17]2)[cH:18][cH:19]1)=[O:20].[CH3:21][O:22][C:23](=[O:24])[CH2:25][O:26][c:27]1[cH:28][cH:29][c:30]([Cl:31])[c:32]([NH2:33])[cH:34]1,1
50,0.176,0.8240000000000001,CC(C)C(=O)Nc1cccc(C2CCNCC2)c1.Fc1cccc(-c2[nH]c3c(ccc4ccccc43)c2CCCCl)c1,N[NH:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]12.O=[C:12]([CH2:13][CH2:14][CH2:15][CH2:16][N:17]1[CH2:18][CH2:19][CH:20]([c:21]2[cH:22][cH:23][cH:24][c:25]([NH:26][C:27]([CH:28]([CH3:29])[CH3:30])=[O:31])[cH:32]2)[CH2:33][CH2:34]1)[c:35]1[cH:36][cH:37][cH:38][c:39]([F:40])[cH:41]1,1
51,0.091,0.909,CCc1cc(B2OC(C)(C)C(C)(C)O2)ccn1.COC(=O)Cc1csc(Br)n1,O=[C:1]([CH2:2][C:3]([O:4][CH3:5])=[O:6])[CH2:7]Cl.[CH3:8][CH2:9][c:10]1[cH:11][c:12]([C:13]([NH2:14])=[S:15])[cH:16][cH:17][n:18]1,1
52,0.059,0.9410000000000001,CC1(C)CCC2(Cc3ccc(Cl)cc3)OC12C(=O)O.CO,CC(=O)O[OH:1].[CH3:2][O:3][C:4](=[O:5])[C:6]1=[C:7]([CH2:8][c:9]2[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]2)[CH2:16][CH2:17][C:18]1([CH3:19])[CH3:20],1
53,0.776,0.22399999999999998,C1CC2(CCN1)CO2.CC(C)(C)OC(=O)N1CCN(CC(=O)O)CC1,C[S+](C)(=O)[CH3:1].[CH3:2][C:3]([CH3:4])([CH3:5])[O:6][C:7](=[O:8])[N:9]1[CH2:10][CH2:11][N:12]([CH2:13][C:14](=[O:15])[N:16]2[CH2:17][CH2:18][C:19](=[O:20])[CH2:21][CH2:22]2)[CH2:23][CH2:24]1,1
54,0.806,0.19399999999999995,Cc1nnc([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)o1.O=C(Cl)c1ccccc1,O=[C:5]([NH:4][NH:3][C:2](=[O:1])[C@H:7]1[CH2:8][C@H:9]2[CH2:10][S:11][C:12]([NH:13][C:14](=[O:15])[c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)=[N:22][C@@:23]2([c:24]2[cH:25][cH:26][c:27]([F:28])[cH:29][c:30]2[F:31])[CH2:32][O:33]1)[CH3:6],1
55,0.468,0.532,CC1=CC(n2cc(-c3cc(C)cc(N)c3)nn2)CCC1.FC(F)c1ccnc(Cl)n1,[CH3:1][C:2]1=[CH:3][CH:4]([N:5]=[N+:6]=[N-:7])[CH2:8][CH2:9][CH2:10]1.[CH:11]#[C:12][c:13]1[cH:14][c:15]([CH3:16])[cH:17][c:18]([NH:19][c:20]2[n:21][cH:22][cH:23][c:24]([CH:25]([F:26])[F:27])[n:28]2)[cH:29]1,1
56,0.209,0.791,CCc1cc(Cl)c2ccccc2n1.OCc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCCC[Sn](CCCC)(CCCC)[N:1]=[N+:2]=[N-:3].[CH3:4][CH2:5][c:6]1[cH:7][c:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][c:14](-[c:15]3[cH:16][cH:17][cH:18][cH:19][c:20]3[C:21]#[N:22])[cH:23][cH:24]2)[c:25]2[cH:26][cH:27][cH:28][cH:29][c:30]2[n:31]1,1
57,0.358,0.642,OCC1CCCCC1.Oc1ccc(Cc2nnn[nH]2)cc1,[N-:1]=[N+:2]=[N-:3].[N:4]#[C:5][CH2:6][c:7]1[cH:8][cH:9][c:10]([O:11][CH2:12][CH:13]2[CH2:14][CH2:15][CH2:16][CH2:17][CH2:18]2)[cH:19][cH:20]1,1
58,0.311,0.6890000000000001,CSc1ccc2nc[nH]c(=O)c2c1.Fc1ccc(Cn2c(NC3CCN(CCCl)CC3)nc3ccccc32)cc1,O=[CH:1][NH:2][CH2:3][CH2:4][N:5]1[CH2:6][CH2:7][CH:8]([NH:9][c:10]2[n:11][c:12]3[cH:13][cH:14][cH:15][cH:16][c:17]3[n:18]2[CH2:19][c:20]2[cH:21][cH:22][c:23]([F:24])[cH:25][cH:26]2)[CH2:27][CH2:28]1.O[C:29]([c:30]1[c:31]([NH2:32])[cH:33][cH:34][c:35]([S:36][CH3:37])[cH:38]1)=[O:39],1
59,0.706,0.29400000000000004,COc1cc(N)ccc1-n1cnc(C)c1.COc1cccc(Cc2nc(Cl)nc3c2CN(C(=O)OC(C)(C)C)CC3)c1,O=[C:1]([CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7]([O:8][CH3:9])[cH:10]1)[CH:11]1[CH2:12][N:13]([C:14](=[O:15])[O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[CH2:21][CH2:22][C:23]1=O.[CH3:24][O:25][c:26]1[cH:27][c:28]([NH:29][C:30](=[NH:31])[NH2:32])[cH:33][cH:34][c:35]1-[n:36]1[cH:37][n:38][c:39]([CH3:40])[cH:41]1,1
60,0.175,0.825,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CC(C)(C)c1ccc2[nH]c([C@@H](N)CCCOCc3ccccc3)nc2c1,O=[C:1](O)[C@@H:2]([NH:3][C:4]([O:5][C:6]([CH3:7])([CH3:8])[CH3:9])=[O:10])[CH2:11][CH2:12][CH2:13][O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[CH3:22][C:23]([CH3:24])([CH3:25])[c:26]1[cH:27][cH:28][c:29]([NH2:30])[c:31]([NH2:32])[cH:33]1,1
61,0.138,0.862,Brc1ccc2c(c1)c(Br)nn2C1CCCCO1.CCC[CH2][Sn]([CH2]CCC)([CH2]CCC)[c]1cnc(-c2ccncc2)[nH]1,O=[C:1]([CH2:2]Br)[c:3]1[n:4][n:5]([CH:6]2[CH2:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][c:15]([Br:16])[cH:17][c:18]12.[NH:19]=[C:20]([NH2:21])[c:22]1[cH:23][cH:24][n:25][cH:26][cH:27]1,1
62,0.308,0.692,C=Cc1ccc(-c2nc3ccccc3[nH]2)nc1,O=[C:1](O)[c:2]1[cH:3][cH:4][c:5]([CH2:6][CH3:7])[cH:8][n:9]1.[NH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17],1
63,0.45,0.55,COc1cc2c(c(C)c1C)NC(=O)C2Br.C[S-],CO[C:1](=[O:2])[CH2:3][S:4][CH3:5].[CH3:6][O:7][c:8]1[cH:9][cH:10][c:11]([NH2:12])[c:13]([CH3:14])[c:15]1[CH3:16],1
64,0.611,0.389,COC(=O)c1ccc(-n2nc(C)cc2C)cc1,O=[C:1]([CH3:2])[CH2:3][C:4](=O)[CH3:5].[NH2:6][NH:7][c:8]1[cH:9][cH:10][c:11]([C:12](=[O:13])[OH:14])[cH:15][cH:16]1,1
65,0.535,0.46499999999999997,COC(=O)c1ccc(B(O)O)cc1.FC(F)(F)c1ccc(-c2csc(Br)n2)cc1,O=[C:1]([CH2:2]Br)[c:3]1[cH:4][cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][cH:12]1.[CH3:13][O:14][C:15](=[O:16])[c:17]1[cH:18][cH:19][c:20]([C:21]([NH2:22])=[S:23])[cH:24][cH:25]1,1
66,0.546,0.45399999999999996,CC(C)(C)OC(=O)NCc1cn(-c2ccc([C@@H](O)[C@@H](CF)NC(=O)C(Cl)Cl)cc2)nn1,[CH:1]#[C:2][CH2:3][NH2:4].[N-:5]=[N+:6]=[N:7][c:8]1[cH:9][cH:10][c:11]([C@@H:12]([OH:13])[C@@H:14]([CH2:15][F:16])[NH:17][C:18](=[O:19])[CH:20]([Cl:21])[Cl:22])[cH:23][cH:24]1,1
