,Template,Frequency,Class
61,[C:1]-[C:2]>>Br-[C:1].Cl-[C:2]_00_00_00,1,62
62,[N:1]-[C:2]>>[N:1].F-C(-F)-C(=O)-O-[C:2]_10_00_00,1,63
63,[C:1]-[N:2]>>[c:1]:[n:2]_-1-1_00_00,1,64
64,[C:2]-[C:8]-[C:10]1-[C:7]-[C:9]-[C:5](-[C:4])-[C:6]-[C:3]-1-[N:11]-[C:1]>>Cl-[C:1].[C:2]-[C:3](-[C:4])-[C:5]1-[C:6]-[C:7]-[C:8]-[C:9]-[C:10]-1-[N:11]_00000000001_00000000000_00000000000,1,65
65,[c:1]-[c:2]>>Br-[c:1].C-C(-C)-O-B(-[c:2])-O-C(-C)-C_00_00_00,1,66
66,[n:1]:[c:2]>>[N:1].Br-[c:2]_10_00_00,1,67
67,[c:1]-[c:2]>>Cl-[c:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,1,68
68,[O:4]-[C:3]-[C:2]=[C:1]>>[c:1]:[c:2]:[c:3]=[O:4]_00-1-1_0000_0000,1,69
69,[O:1]-[C:2]>>[O:1].I-[C:2]_00_-10_00,1,70
70,[C:1]-[C:2]>>I-[C:1].[C:2]-[Mg+]_00_00_00,1,71
71,[N:1]-[C:2]>>[N:1].C-C-C-C-C(=O)-O-[C:2]_10_00_00,1,72
72,[c:1]-[C:2]>>Cl-[c:1].Br-[C:2]_00_00_00,1,73
73,[C:1]-[C:2]>>Br-[C:1].C-N(-C)-[C:2]_00_00_00,1,74
74,[c:1]-[B:2]>>Cl-[c:1].C-C1(-C)-O-B(-[B:2])-O-C-1(-C)-C_00_00_00,1,75
75,[c:1]-[S:3]=[O:2]>>F-[c:1].[O:2]-[S:3]_000_0-10_000,1,76
76,[C:1]-[P:3]=[O:2]>>Br-[C:1].C-C(-C)-[O:2]-[P:3]_000_000_000,1,77
77,[c:3]:[c:4].[c:1]=[O:2]>>[C:1]-[O:2].[C:3]=[C:4]_1100_0000_0000,1,78
78,[N:1]-[C:2]>>[N:1].F-[C:2]_00_-10_00,1,79
79,[C:1]-[C:2]>>Br-[C:1].C-O-N(-C)-[C:2]_00_00_00,1,80
80,[n:1]-[C:2]>>[n:1].C-C-O-[C:2]_10_00_00,1,81
81,[n:1]-[C:2]>>[n:1].Cl-[C:2]_10_00_01,1,82
82,[B:1]-[c:2]>>C-C1(-C)-O-B(-[B:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_00_00,1,83
83,[c:1]-[Sn:2]>>Br-[c:1].C-C-C-[CH2]-[Sn](-[Sn:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,1,84
84,[C:5]-[C:2](-[O:6])-[C:4](-[N:1])-[C:3]>>[N:1].O=[C:2](-[C:3])-[C:4](-[C:5])-[O:6]_1-10000_000000_000000,1,85
85,[c:1]-[c:2]>>I-[c:1].C-C(-C)-O-B(-[c:2])-O-C(-C)-C_00_00_00,1,86
86,[c:1]-[C:2]>>Cl-[c:1].Cl-[C:2]_00_00_00,1,87
87,[C:1]=[O:2]>>Br-[C:1].C-[N+](-C)(-C)-[O:2]_10_0-1_00,1,88
88,[c:1]-[C:2]>>I-[c:1].Cl-[C:2]_00_00_00,1,89
89,[C:1]-[C:2]>>Br-[C:1].Br-[C:2]_00_00_00,1,90
90,[O:3].[C:1]=[C:2]>>[C:1].O=[C:2].C-C(=O)-[O:3]_20-1_000_000,1,91
91,[C:1]-[C:2]-[O:3]>>Br-[C:1].[C:2]=[O:3]_00-1_000_200,1,92
92,[N:1]-[C:7]1-[C:8]-[C:13]-[C:11]2(-[O:6])-[C:2]3-[C:3]-[c:9]:[c:10]-[C:5]-2(-[C:4]-[C:14]-[N:15]-3)-[C:12]-1>>[N:1].O=[C:2]1-[C:3]-[C:4]-[C:5]2(-[O:6])-[C:7]3-[C:8]-[c:9]:[c:10]-[C:11]-2(-[C:12]-1)-[C:13]-[C:14]-[N:15]-3_1-10000000000000_000000000000000_000000100010000,1,93
93,[C:1]-[C:2]>>[C:1].C-C-O-[C:2]_10_00_00,1,94
94,[C:1]-[c:2]>>Cl-[C:1].[I]-[Zn]-[c:2]_00_00_00,1,95
95,[n:1]-[C:2]>>[n:1].Br-[C:2]_00_-10_00,1,96
96,[n:1]-[O:2]>>[n:1].C-C(=O)-O-[O:2]_01_-11_00,1,97
97,[c:1]-[c:2]>>Br-[c:1].[Zn+]-[c:2]_00_00_00,1,98
98,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,1,99
99,[B:1]-[C:2]>>C-C1(-C)-O-B(-[B:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,1,100
100,[c:1]-[c:2]>>Br-[c:1].O=C(-[O-])-C1-C=C-O-B(-[c:2])-O-1_00_00_00,1,101
101,[c:1]:[n:3]:[c:2]>>Cl-[c:1].[C:2]=[N:3]_001_000_000,1,102
102,[C:3]=[C:4]-[O:5]-[P:2]=[O:1]>>C-C-[O:1]-[P:2].Cl-[C:3]-[C:4]=[O:5]_00000_00000_00000,1,103
103,[C:1]-[c:2]>>Cl-[C:1].C-[Si](-C)(-C)-[c:2]_00_00_00,1,104
104,[N:1]-[C:2]>>[N:1].O=C(-O-[C:2])-C1-C-C-1_10_00_00,1,105
105,[N:1]-[C:2]>>[N:1].C-C(-C)(-C-O-[C:2])-N-S(=O)(=O)-C(-F)(-F)-F_10_00_00,1,106
106,[N:1]-[C:2]>>[N:1].Br-C-C(=O)-O-[C:2]_10_00_00,1,107
107,[O:1]-[c:2]>>[O:1].C-S(=O)(=O)-O-[c:2]_10_00_00,1,108
108,[c:1]-[S:3]=[O:2]>>Cl-[c:1].[O:2]-[S:3]_010_000_000,1,109
109,[N:1]-[c:2]>>[N:1].F-c1:c:c:c(-B2-O-B(-[c:2])-O-B(-c3:c:c:c(-F):c:c:3)-O-2):c:c:1_10_00_00,1,110
110,[N:1]-[C:2]>>[N:1].C-C-C-C(=O)-O-[C:2]_10_00_00,1,111
111,[C:6]-[C:1](-[c:5])-[C:4](-[N:2])-[C:3]>>C-O-C(=O)-[C:1](-[N:2])(-[C:3])-[C:4](-[c:5])-[C:6]_-100000_000000_000000,1,112
112,[c:1]-[c:2]>>Cl-[c:1].I-[c:2]_00_00_00,1,113
113,[N:1]-[C:2]>>[N:1].C-O-N=C(-C(=O)-O-[C:2])-c1:c:s:c(-N-C(-c2:c:c:c:c:c:2)(-c2:c:c:c:c:c:2)-c2:c:c:c:c:c:2):n:1_10_00_00,1,114
114,[C:1]1-[C:2]-[C:3]=[C:4]-[C:5]=[C:6]-1>>[c:1]1:[c:2]:[c:3]:[c:4]:[c:5]:[c:6]:1_-1-10000_000000_000000,1,115
115,[N:1]-[C:2]>>[N:1].C-O-c1:c:c(-c2:n:c:n(/C=C\C(=O)-O-[C:2]):n:2):c:c(-C(-F)(-F)-F):c:1_10_00_00,1,116
116,[C:2]-[C:4](-[C:3](-[C:1])-[O:5])-[C:6]>>[C:1]-[Mg+].[C:2]-[C:3](-[C:4]=[O:5])-[C:6]_0000-10_000000_000000,1,117
117,[c:1]-[C:2]>>[c:1].F-[C:2]_10_00_01,1,118
118,[C:1]-[C:2]>>[C:1].C-O-[C:2]_10_00_00,1,119
119,[C:1]-[c:2]>>Br-[C:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,1,120
120,[C:1]-[C:2]>>[C:1].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_10_00_00,1,121
121,[Cl:1]-[C:3]-[C:4]-[Cl:2]>>[Cl:1]-[Cl:2].[C:3]=[C:4]_0000_0000_0000,1,122
122,[C:1]=[C:2]>>O=[C:1].F-C(-F)(-F)-C-O-P(=O)(-[C:2])-O-C-C(-F)(-F)-F_01_00_00,1,123
123,[C:1]-[c:2]>>Br-[C:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,1,124
124,[C:1]-[C:2]>>Cl-[C:1].C-[Si](-C)(-C)-[C:2]_00_00_00,1,125
125,[c:1]=[C:2]>>[C:1].O=[C:2]_20_00_00,1,126
126,[N:1]-[C:2]>>[N:1].I-C-C(=O)-O-[C:2]_10_00_00,1,127
127,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-[C:2]_20_10_00,1,128
128,[C:1]-[C:2]>>I-[C:1].[C:2]-[Cu]_00_00_00,1,129
129,[C:1]-[C:2]>>Cl-[C:1].C-C-C-[CH2]-[Sn](-[C:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,1,130
130,[c:1]-[P:3]=[O:2]>>Br-[c:1].C-[O:2]-[P:3]_000_000_000,1,131
131,[n:1]-[C:2]>>[n:1].O-[C:2]_10_00_01,1,132
132,[N:1]-[C:2]>>[N:1].O=[N+](-[O-])-c1:c:c:c(-C-O-[C:2]):c:c:1_10_00_00,1,133
133,[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_01,1,134
134,[n:1]:[c:2]>>[N:1].C-O-[C:2]_10_00_00,1,135
135,[C:1]-[C:2]>>Cl-[C:1].[C:2]-[Cu]_00_00_00,1,136
136,[C:1]-[c:2]>>C-[Si](-C)(-C)-[C:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_00_00_00,1,137
137,[C:1]-[Br:2]>>O-[C:1].Br-C(-Br)(-Br)-[Br:2]_00_00_10,1,138
138,[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_02,1,139
139,[C:2]-[C:3]-[c:1]>>[c:1].[C:2]=[C:3]_1-10_000_000,2,140
140,[c:1]-[Br:2]>>N-[c:1].Br-C(-Br)-[Br:2]_00_00_00,2,141
141,[c:1]-[c:2]>>Cl-[c:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,2,142
142,[c:1]-[c:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[c:1].C-C-C-[CH2]-[Sn](-[c:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,2,143
143,[C:1]-[N:2]>>O=C(-[C:1])-[N:2]_00_00_00,2,144
144,[N:1]-[c:2]>>[N:1].F-[c:2]_00_-10_00,2,145
145,[S:1]-[C:2]>>[S:1].Cl-[C:2]_10_00_02,2,146
146,[C:1]-[C:2]>>Br-[C:1].C-[Si](-C)(-C)-[C:2]_00_00_00,2,147
147,[c:1]-[c:2]>>Br-[c:1].C-N1-C-C(=O)-O-B(-[c:2])-O-C(=O)-C-1_00_00_00,2,148
148,[S:1]-[C:2]>>[S:1].Br-[C:2]_10_00_01,2,149
149,[c:1]:[n:2]:[n:3]:[c:4]>>F-[c:1].[N:2]-[N:3]=[C:4]_0100_0000_0000,2,150
150,[n:1]:[c:2]>>[N:1].Cl-[c:2]_10_00_00,2,151
151,[S:1]-[c:2]>>[S:1].I-[c:2]_00_-10_00,2,152
152,[c:1]-[c:2]>>I-[c:1].[Zn+]-[c:2]_00_00_00,2,153
153,[N:1]-[C:2]>>[N:1].C-C(-C)-C(=O)-O-[C:2]_10_00_00,2,154
154,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_02,2,155
155,[C:1]-[C:2]>>[C:1].I-[C:2]_10_00_00,2,156
156,[S:1]-[C:2]>>[S:1].I-[C:2]_00_-10_00,2,157
157,[c:1]-[Sn:2]>>I-[c:1].[Cl]-[Sn:2]_00_00_00,2,158
158,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_01,2,159
159,[C:1]-[c:2]>>Cl-[C:1].I-[c:2]_00_00_00,2,160
160,[C:1]-[Cl:2]>>O-[C:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_20,2,161
161,[S:1]=[O:2]>>[S:1].Cl-c1:c:c:c:c:c:1-C(=O)-O-[O:2]_01_00_00,2,162
162,[N:1]=[C:2]>>[N:1].S=[C:2]_20_00_00,2,163
163,[c:1]:[c:2]:[c:3]>>Br-[c:1].[C:2]=[C:3]_010_000_000,2,164
164,[C:1]-[P:3]=[O:2]>>Cl-[C:1].C-[O:2]-[P:3]_000_000_000,2,165
165,[c:1]-[C:2]>>Cl-[c:1].I-[C:2]_00_00_00,2,166
166,[c:1]-[C:2]>>I-[c:1].C-B1-O-B(-C)-O-B(-[C:2])-O-1_00_00_00,2,167
167,[c:1]:[n:2]:[c:3]:[n:4]>>O=[C:1].[N:2]\[C:3]=[N:4]_0200_0000_0000,2,168
168,[O:1]-[C:3]-[C:4]-[O:2]>>[O:1].[O:2].O-[C:3]-[C:4]-O_1100_0000_0000,2,169
169,[N:4]-[C:3]-[C:2]=[C:1]>>[c:1]:[c:2]:[c:3]:[n:4]_00-1-1_0000_0000,2,170
170,[c:1]:[n:2]:[c:3]:[c:4]>>C-C-O-[C:1].[N:2]-[C:3]=[C:4]_0100_0000_0000,2,171
171,[n:1]:[c:2]>>[N:1].C-C-O-[C:2]_10_00_00,2,172
172,[C:1]-[c:2]>>Cl-[C:1].[CH3]-[Sn](-[CH3])(-[CH3])-[c:2]_00_00_00,2,173
173,[Sn:1]-[C:2]=[C:3]>>[Sn:1].[C:2]#[C:3]_10-1_000_000,2,174
174,[c:1]-[Sn:2]>>Br-[c:1].[CH3]-[Sn](-[CH3])(-[CH3])-[Sn:2]_00_00_00,2,175
175,[C:1]-[c:2]>>Br-[C:1].Br-[c:2]_00_00_00,2,176
176,[N:1]-[C:2]>>[N:1].C-C(=C)-C(=O)-O-[C:2]_10_00_00,2,177
177,[C:1]1-[C:2]-[C:3]-[C:4]=[C:5]-[C:6]-1>>[C:1]=[C:2].[C:3]=[C:4]/[C:5]=[C:6]_000000_000000_000000,2,178
178,[C:2]=[C:3]/[Sn:1]>>[Sn:1].[C:2]#[C:3]_1-10_000_000,2,179
179,[c:1]-[C:2]>>F-[c:1].[C:2]-[Mg+]_00_00_00,2,180
180,[c:1]:[n:2]:[c:3]:[n:4]>>C-C-O-[C:1].[N:2]=[C:3]\[N:4]_0100_0000_0000,2,181
181,[c:1]:[s:2]:[c:3]:[c:4]>>Cl-[c:1].[S:2]-[C:3]=[C:4]_0100_0000_0000,2,182
182,[C:1]-[P:3]=[O:2]>>Br-[C:1].C-[O:2]-[P:3]_000_000_000,2,183
183,[c:1]-[C:2]>>I-[c:1].C-N(-C)-[C:2]_00_00_00,2,184
184,[c:1]:[n:2]:[n:3]:[c:4]>>C-C-O-[C:1].[N:2]-[N:3]=[C:4]_0100_0000_0000,2,185
185,[C:1]-[C:2]-[O:3]>>[Br]-[Mg]-[C:1].[C:2]=[O:3]_00-1_000_000,2,186
186,[C:2]=[C:3].[C:1]-[C:5]-[O:4]>>Br-[C:1].[c:2]:[c:3].[O:4]=[c:5]_000-10_00000_00000,2,187
187,[c:1]-[c:2]>>Br-[c:1].[c:2]-B1-O-C-C-C-O-1_00_00_00,2,188
188,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_20_10_00,3,189
189,[c:1]-[C:2]>>Cl-[c:1].[C:2]-[Cu]_00_00_00,3,190
190,[c:1]-[c:2]>>Cl-[c:1].[Zn+]-[c:2]_00_00_00,3,191
191,[C:1]-[C:2]>>Cl-[C:1].[C:2]-[Mg+]_00_00_00,3,192
192,[C:1]-[C:2]-[O:3]>>I-[C:1].[C:2]=[O:3]_00-1_000_000,3,193
193,[c:1]-[C:2]>>Br-[c:1].C-[CH2]-[Sn](-[C:2])(-[CH2]-C)-[CH2]-C_00_00_00,3,194
194,[C:1]-[c:2]>>I-[C:1].I-[c:2]_00_00_00,3,195
195,[c:1]-[c:2]>>Br-[c:1].[Mg+]-[c:2]_00_00_00,3,196
196,[O:1]-[C:2]>>[O:1].Br-[C:2]_10_00_01,3,197
197,[N:1]-[S:2]>>[N:1].F-[S:2]_10_00_00,3,198
198,[O:3].[c:1]-[C:2]>>[c:1].[C:2]-[O:3]_10-1_000_000,3,199
199,[C:1]-[C:2]>>Cl-[C:1].Br-[C:2]_00_00_00,3,200
200,[N:1]-[C:2]=[N:3]>>[N:1].[C:2]#[N:3]_10-1_000_000,3,201
201,[C:1]-[S:3]=[O:2]>>Br-[C:1].[O:2]-[S:3]_010_000_000,3,202
202,[n:1]:[c:2]>>[N:1].F-[c:2]_10_00_00,3,203
203,[O:3]-[C:4].[C:1]=[C:2]>>[c:1]:[c:2].[O:3]=[c:4]_00-1-1_0000_0000,3,204
204,[c:1]-[c:2]>>Cl-[c:1].[Mg+]-[c:2]_00_00_00,3,205
205,[n:1]:[c:2]>>[N:1].O=[C:2]_20_00_00,3,206
206,[c:1]-[C:2]>>Br-[c:1].[Br]-[Zn]-[C:2]_00_00_00,3,207
207,[C:2]-[C:3]-[Cl:1]>>[Cl:1].[C:2]=[C:3]_1-10_000_000,3,208
208,[N:1]-[C:2]>>[N:1].[C:2]-O-C-c1:c:c:c:c:c:1_10_00_00,3,209
209,[C:1]-[c:2]>>Cl-[C:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,3,210
210,[O:1]-[C:2]>>[O:1].F-[C:2]_10_00_00,3,211
211,[c:1]:[c:2]>>[C:1].O=[C:2]_20_00_00,3,212
212,[O:1]-[C:2]>>[O:1].C-S(=O)(=O)-O-[C:2]_10_00_02,3,213
213,[N:4]-[C:3](-[N:1])=[S:2]>>[N:1].[S:2]-[C:3]#[N:4]_100-2_0-100_0000,3,214
214,[c:1]-[C:2]>>Br-[c:1].C=C-B1-O-B(-[C:2])-O-B(-C=C)-O-1_00_00_00,3,215
215,[c:1]-[C:2]>>I-[c:1].C-O-N(-C)-[C:2]_00_00_00,4,216
216,[c:1]-[C:2]>>I-[c:1].[C:2]-[Zn+]_00_00_00,4,217
217,[N:1]-[C:2]>>[N:1].O-[C:2]_10_00_01,4,218
218,[C:1]-[P:3]=[O:2]>>Cl-[C:1].C-C-[O:2]-[P:3]_000_000_000,4,219
219,[c:1]:[n:2]:[c:3]:[n:4]>>O=[C:1].[N:2]=[C:3]\[N:4]_0200_0000_0000,4,220
220,[c:1]-[c:2]>>I-[c:1].I-[c:2]_00_00_00,4,221
221,[N:1]-[C:2]>>[N:1].O-[C:2]_10_00_02,4,222
222,[C:1]-[c:2]>>Br-[C:1].I-[c:2]_00_00_00,4,223
223,[c:1]-[C:2]>>C-C1(-C)-O-B(-[c:1])-O-C-1(-C)-C.F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,4,224
224,[N:1]-[C:2]>>[N:1].F-[C:2]_10_00_00,4,225
225,[Br:1]-[C:2]-[C:3]>>[Br:1].[C:2]=[C:3]_10-1_000_000,4,226
226,[C:1]-[S:3]=[O:2]>>Br-[C:1].[O:2]-[S:3]_000_0-10_000,4,227
227,[c:1]-[S:3]=[O:2]>>I-[c:1].[O:2]-[S:3]_000_0-10_000,4,228
228,[c:1]-[C:2]>>Cl-[c:1].C-B1-O-B(-C)-O-B(-[C:2])-O-1_00_00_00,4,229
229,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_00_-10_02,4,230
230,[C:1]-[c:2]>>I-[C:1].O-B(-O)-[c:2]_00_00_00,4,231
231,[c:1]-[B:2]>>I-[c:1].C-C1(-C)-O-B(-[B:2])-O-C-1(-C)-C_00_00_00,4,232
232,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_00_-10_01,4,233
233,[N:1]-[C:2]>>[N:1].O=C(-O-[C:2])-c1:c:c:c:c:c:1_10_00_00,4,234
234,[O:1]-[S:2]>>[O:1].F-[S:2]_10_00_00,4,235
235,[C:1]1-[C:3]-[C:4]=[C:5]-[C:6]-[C:2]-1>>[C:1]=[C:2].[C:3]=[C:4]-[C:5]=[C:6]_000000_000000_000000,4,236
236,[C:1]1-[C:2]-[C:3]-[C:4]-[N:5]-[C:6]-1>>[c:1]1:[c:2]:[c:3]:[c:4]:[n:5]:[c:6]:1_-1-1-1-1-1-1_000000_000000,4,237
237,[N:1]-[C:2]>>[N:1].C-C-C-C-O-[C:2]_10_00_00,4,238
