,Template,edit_site,change_H,change_C,change_S,Frequency
26,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",782
27,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",323
28,[c:1]-[c:2]>>I-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",146
29,[C:1]-[C:2]-[O:3]>>[C:1].[C:2]=[O:3]_10-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: -1, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",48
30,[N:1]>>O=[N:1]-[O-]_-2_1_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 1},{1: 0},1277
31,[N:1]-[C:2]>>[N:1].C-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",287
32,[c:1]-[c:2]>>Cl-[c:1].O-B(-O)-[c:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",245
33,[C:1]-[Br:2]>>[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",157
34,[c:1]-[C:2]>>O-B(-O)-[c:1].F-C(-F)(-F)-S(=O)(=O)-O-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",12
35,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
36,[N:1]-[c:2]>>[N:1].F-[c:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",11
37,[O:1]>>C-C-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1123
38,[N:1]-[C:2]>>[N:1].C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",271
39,[C:1]-[C:2]>>[C:1]=[C:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",442
40,[N:1]>>C-C(-C)(-C)-O-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},1493
41,[n:1]-[C:2]>>[n:1].Br-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",457
42,[C:2]-[C:3]-[O:1]>>[O:1].[C:2]=[C:3]_1-10_000_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{3: 0, 2: -1, 1: 1}","{3: 0, 2: 0, 1: 0}","{3: 0, 2: 0, 1: 0}",107
43,[C:1]-[O:2]>>C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",228
44,[n:1]-[C:2]>>[n:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",307
45,[c:1]-[I:2]>>N-[c:1].I-C-[I:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",10
46,[O:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},169
47,[N:1]>>O=[N:1]_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},13
48,[C:1]-[c:2]>>[C:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",265
49,[N:1]-[C:2]>>[N:1].C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",174
50,[O:1]-[C:2]>>[O:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",804
51,[c:1]-[C:2]>>Br-[c:1].I-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",12
52,[N:1]-[C:3]-[c:2]>>[N:1].[c:2].O=[C:3]_110_000_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 1, 2: 1}","{3: 0, 1: 0, 2: 0}","{3: 0, 1: 0, 2: 0}",37
53,[O:1]-[c:2]>>[O:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",94
54,[O:1]>>C-C(=O)-[O:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},154
55,[O:1]-[c:2]>>[O:1].F-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",235
56,[C:1]=[C:2]>>O=[C:1].[C:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",142
57,[O:1]-[c:2]>>[O:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",452
58,[n:1]-[c:2]>>[n:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",86
59,[c:1]-[C:2]>>Cl-[c:1].C-C-C-[CH2]-[Sn](-[C:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",20
60,[C:1]>>O-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},97
61,[C:1]>>O=[C:1]_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},433
62,[S:1]-[c:2]>>[S:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",41
63,[N:1]>>C-C(=O)-[N:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},115
64,[c:1]-[C:2]>>Br-[c:1].C-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",40
65,[C:1]-[C:2]>>[c:1]:[c:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",48
66,[C:1]>>C-O-C(=O)-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},19
67,[O:1]-[C:2]>>[O:1].O-[C:2]_10_00_01,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 1, 1: 0}",12
68,[n:1]-[C:2]>>[n:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",49
69,[N:1]=[C:2]>>[N:1].O=[C:2]_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",446
70,[c:1]-[c:2]>>Br-[c:1].C-C1(-C)-C-O-B(-[c:2])-O-C-1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",9
71,[c:1]-[C:2]-[O:3]>>[Mg+]-[c:1].[C:2]=[O:3]_00-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",30
72,[C:1]-[N:2]>>[C:1]=[N:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",37
73,[N:1]>>O=C1-[N:1]-C(=O)-c2:c:c:c:c:c:2-1_-2_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -2},{1: 0},{1: 0},111
74,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_20,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: 1, 2: 1}","{1: 0, 2: 0}","{1: 2, 2: 0}",13
75,[S:1]=[O:2]>>[S:1].Cl-c1:c:c:c:c(-C(=O)-O-[O:2]):c:1_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",109
76,[c:1]>>Br-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},33
77,[S:1]-[c:2]>>[S:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",66
78,[c:1]-[S:3]=[O:2]>>Br-[c:1].[O:2]-[S:3]_000_0-10_000,"{'A': [], 'B': [(1, 3)], 'C': [], 'R': []}","{1: 0, 3: 0, 2: 0}","{1: 0, 3: 0, 2: -1}","{1: 0, 3: 0, 2: 0}",9
79,[C:1]=[O:2]>>[C:1]-[O:2]_11_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: 1, 2: 1}","{1: 0, 2: 0}","{1: 0, 2: 0}",413
80,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",42
81,[Sn:1]-[c:2]>>[Sn:1].Br-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
82,[C:1]-[O:2]>>C-C-O-[C:1]=[O:2]_-2-1_00_00,"{'A': [1], 'B': [], 'C': [], 'R': []}","{1: -2, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",196
83,[C:1]-[N:2]>>[C:1]#[N:2]_-2-2_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: -2, 2: -2}","{1: 0, 2: 0}","{1: 0, 2: 0}",179
84,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",24
85,[N:1]-[C:2]>>[N:1].C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
86,[N:1]-[C:2]>>[N:1].C-S(=O)(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",119
87,[c:1]-[C:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[c:1].C-C-C-[CH2]-[Sn](-[C:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",6
88,[c:1]-[C:2]>>Br-[c:1].C-C-C-[CH2]-[Sn](-[C:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",37
89,[S:1]-[C:2]>>[S:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",100
90,[c:1]>>Cl-[c:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},78
91,[n:1]-[c:2]>>[n:1].O-B(-O)-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",46
92,[C:1]-[C:2]>>[C:1].Br-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",30
93,[N:1]-[C:2]>>[N:1].O-[C:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",17
94,[C:1]=[C:2]>>O=[C:1].C-C-O-P(=O)(-[C:2])-O-C-C_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",88
95,[c:1]-[Cl:2]>>O-[c:1].Cl-C(-Cl)(-Cl)-[Cl:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
96,[C:1]=[O:2]>>C-O-[C:1]-[O:2]-C_00_00_00,"{'A': [2, 1], 'B': [], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",33
97,[N:1]-[C:2]>>[N:1].F-C(-F)(-F)-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",76
98,[N:1]-[C:2]>>[N:1].C-C(-C)(-C)-O-C(=O)-O-[C:2]_20_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",3
99,[N:1]-[C:2]>>[N:1].C-C(-C)-C-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
100,[n:1]-[c:2]>>[n:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",91
101,[c:1]-[C:2]>>Cl-[c:1].[C:2]-[Cu]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",3
102,[O:1]>>[O:1]-C-c1:c:c:c:c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},385
103,[C:1]-[c:2]>>[C:1].I-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",212
104,[c:1]-[c:2]>>Cl-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",142
105,[O:1]-[C:2]>>[O:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",307
106,[S:1]=[O:2]>>[S:1].O=S(-[O-])-O-[O:2]_01_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 1, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",7
107,[c:1]-[c:2]>>I-[c:1].C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",88
108,[N:1]-[C:2]>>[N:1].Br-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",77
109,[C:1]>>Cl-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},17
110,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_02,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 2, 1: 0}",1
111,[c:1]-[c:2]>>Br-[c:1].C-C-C-[CH2]-[Sn](-[c:2])(-[CH2]-C-C-C)-[CH2]-C-C-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",56
112,[C:1]-[C:3]-[N:2]>>[C:1].[N:2].O=[C:3]_010_-100_000,"{'A': [], 'B': [(1, 3), (2, 3)], 'C': [], 'R': []}","{3: 0, 1: 0, 2: 1}","{3: 0, 1: -1, 2: 0}","{3: 0, 1: 0, 2: 0}",18
113,[N:1]-[C:2]>>[N:1].Cl-[C:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",43
114,[N:1]-[C:2]>>[N:1].C-C-C(=O)-O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",6
115,[N:1]-[C:2]>>[N:1].O=[C:2]_2-1_10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: -1, 1: 2}","{2: 0, 1: 1}","{2: 0, 1: 0}",29
116,[c:1]-[c:2]>>Br-[c:1].C-C1-O-B(-[c:2])-O-C-1-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
117,[N:1]-[C:2]>>[N:1].I-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",258
118,[O:1]-[c:2]>>[O:1].Br-[c:2]_00_-10_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: -1}","{2: 0, 1: 0}",11
119,[N:1]=[C:2]>>[N:1].Cl-[C:2]-Cl_20_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 2}","{2: 0, 1: 0}","{2: 0, 1: 0}",18
120,[N:1]>>C-O-c1:c:c:c(-C-[N:1]):c:c:1_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},27
121,[c:1]-[C:2]>>I-[c:1].C-C1(-C)-O-B(-[C:2])-O-C-1(-C)-C_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",13
122,[C:1]-[C:2]>>I-[C:1].I-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 0, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1
